entity_id,label,row_min,row_max,col_min,col_max,anchor_row,anchor_col
0,'Table:_0',1,57,1,55,29.0,28.0
1,'Table:_1',1,57,1,55,29.0,28.0
2,'Table:_10',1,57,1,54,29.0,27.5
3,'Table:_11',1,57,1,54,29.0,27.5
4,'Table:_12',1,57,1,54,29.0,27.5
5,'Table:_13',1,57,1,54,29.0,27.5
6,'Table:_14',1,57,1,54,29.0,27.5
7,'Table:_15',1,57,1,54,29.0,27.5
8,'Table:_16',1,57,1,54,29.0,27.5
9,'Table:_17',1,57,1,54,29.0,27.5
10,'Table:_18',1,57,1,54,29.0,27.5
11,'Table:_19',1,57,1,54,29.0,27.5
12,'Table:_2',1,57,1,55,29.0,28.0
13,'Table:_20',1,57,1,54,29.0,27.5
14,'Table:_21',1,57,1,54,29.0,27.5
15,'Table:_22',1,57,1,54,29.0,27.5
16,'Table:_23',1,57,1,54,29.0,27.5
17,'Table:_24',1,57,1,54,29.0,27.5
18,'Table:_25',1,57,1,54,29.0,27.5
19,'Table:_26',1,57,1,54,29.0,27.5
20,'Table:_27',1,57,1,54,29.0,27.5
21,'Table:_28',1,57,1,54,29.0,27.5
22,'Table:_29',1,57,1,54,29.0,27.5
23,'Table:_3',1,57,1,55,29.0,28.0
24,'Table:_30',1,57,1,54,29.0,27.5
25,'Table:_31',1,57,1,54,29.0,27.5
26,'Table:_32',1,57,1,54,29.0,27.5
27,'Table:_33',1,57,1,54,29.0,27.5
28,'Table:_34',1,57,1,54,29.0,27.5
29,'Table:_35',1,57,1,54,29.0,27.5
30,'Table:_36',1,57,1,54,29.0,27.5
31,'Table:_37',1,57,1,54,29.0,27.5
32,'Table:_38',1,57,1,54,29.0,27.5
33,'Table:_39',1,57,1,54,29.0,27.5
34,'Table:_4',1,57,1,55,29.0,28.0
35,'Table:_40',1,57,1,54,29.0,27.5
36,'Table:_41',1,57,1,54,29.0,27.5
37,'Table:_42',1,57,1,54,29.0,27.5
38,'Table:_43',1,57,1,54,29.0,27.5
39,'Table:_44',1,57,1,54,29.0,27.5
40,'Table:_45',1,57,1,54,29.0,27.5
41,'Table:_46',1,57,1,54,29.0,27.5
42,'Table:_47',1,57,1,54,29.0,27.5
43,'Table:_48',1,57,1,54,29.0,27.5
44,'Table:_49',1,57,1,54,29.0,27.5
45,'Table:_5',1,57,1,55,29.0,28.0
46,'Table:_50',1,57,1,54,29.0,27.5
47,'Table:_51',1,57,1,54,29.0,27.5
48,'Table:_52',1,57,1,54,29.0,27.5
49,'Table:_53',1,57,1,54,29.0,27.5
50,'Table:_54',1,57,1,54,29.0,27.5
51,'Table:_55',1,57,1,54,29.0,27.5
52,'Table:_56',1,57,1,54,29.0,27.5
53,'Table:_57',1,57,1,54,29.0,27.5
54,'Table:_58',1,57,1,54,29.0,27.5
55,'Table:_59',1,57,1,54,29.0,27.5
56,'Table:_6',1,57,1,55,29.0,28.0
57,'Table:_60',1,57,1,54,29.0,27.5
58,'Table:_61',1,57,1,54,29.0,27.5
59,'Table:_62',1,57,1,54,29.0,27.5
60,'Table:_63',1,57,1,54,29.0,27.5
61,'Table:_64',1,57,1,54,29.0,27.5
62,'Table:_65',1,57,1,54,29.0,27.5
63,'Table:_66',1,57,1,54,29.0,27.5
64,'Table:_7',1,57,1,55,29.0,28.0
65,'Table:_8',1,57,1,55,29.0,28.0
66,'Table:_9',1,57,1,55,29.0,28.0
