pair_id,i_id,j_id,row_gap_i_before_j,row_gap_j_before_i,col_gap_i_before_j,col_gap_j_before_i
0,0,1,4.0,4.0,6.0,6.0
1,0,2,4.0,4.0,6.0,7.0
2,0,3,4.0,4.0,6.0,7.0
3,0,4,4.0,4.0,6.0,7.0
4,0,5,4.0,4.0,6.0,7.0
5,0,6,4.0,4.0,6.0,7.0
6,0,7,4.0,4.0,6.0,7.0
7,0,8,4.0,4.0,6.0,7.0
8,0,9,4.0,4.0,6.0,7.0
9,0,10,4.0,4.0,6.0,7.0
10,0,11,4.0,4.0,6.0,7.0
11,0,12,4.0,4.0,6.0,6.0
12,0,13,4.0,4.0,6.0,7.0
13,0,14,4.0,4.0,6.0,7.0
14,0,15,4.0,4.0,6.0,7.0
15,0,16,4.0,4.0,6.0,7.0
16,0,17,4.0,4.0,6.0,7.0
17,0,18,4.0,4.0,6.0,7.0
18,0,19,4.0,4.0,6.0,7.0
19,0,20,4.0,4.0,6.0,7.0
20,0,21,4.0,4.0,6.0,7.0
21,0,22,4.0,4.0,6.0,7.0
22,0,23,4.0,4.0,6.0,6.0
23,0,24,4.0,4.0,6.0,7.0
24,0,25,4.0,4.0,6.0,7.0
25,0,26,4.0,4.0,6.0,7.0
26,0,27,4.0,4.0,6.0,7.0
27,0,28,4.0,4.0,6.0,7.0
28,0,29,4.0,4.0,6.0,7.0
29,0,30,4.0,4.0,6.0,7.0
30,0,31,4.0,4.0,6.0,7.0
31,0,32,4.0,4.0,6.0,7.0
32,0,33,4.0,4.0,6.0,7.0
33,0,34,4.0,4.0,6.0,6.0
34,0,35,4.0,4.0,6.0,7.0
35,0,36,4.0,4.0,6.0,7.0
36,0,37,4.0,4.0,6.0,7.0
37,0,38,4.0,4.0,6.0,7.0
38,0,39,4.0,4.0,6.0,7.0
39,0,40,4.0,4.0,6.0,7.0
40,0,41,4.0,4.0,6.0,7.0
41,0,42,4.0,4.0,6.0,7.0
42,0,43,4.0,4.0,6.0,7.0
43,0,44,4.0,4.0,6.0,7.0
44,0,45,4.0,4.0,6.0,6.0
45,0,46,4.0,4.0,6.0,7.0
46,0,47,4.0,4.0,6.0,7.0
47,0,48,4.0,4.0,6.0,7.0
48,0,49,4.0,4.0,6.0,7.0
