edge_id,axis,rhs_for_v_minus_u,rhs_for_u_minus_v,min_axis_distance_if_axis_chosen,distance_ub
0,row,-2.0,2.0,7.0,64.0
0,col,-2.5,2.5,9.5,64.5
1,row,0.5,-0.5,5.5,62.5
1,col,-3.0,3.0,10.0,65.0
2,row,0.5,-0.5,5.5,62.5
2,col,-3.5,3.5,10.5,65.5
3,row,-1.0,1.0,7.0,63.0
3,col,-0.5,0.5,7.5,62.5
4,row,0.5,-0.5,5.5,62.5
4,col,0.0,0.0,7.0,62.0
5,row,-0.5,0.5,7.5,62.5
5,col,-1.0,1.0,11.0,63.0
6,row,0.5,-0.5,8.5,62.5
6,col,-1.0,1.0,11.0,63.0
7,row,-0.5,0.5,9.5,62.5
7,col,0.0,0.0,10.0,62.0
8,row,-1.0,1.0,6.0,63.0
8,col,-1.5,1.5,7.5,63.5
9,row,1.0,-1.0,6.0,63.0
9,col,-1.5,1.5,12.5,63.5
10,row,-0.5,0.5,7.5,62.5
10,col,-1.0,1.0,12.0,63.0
11,row,1.0,-1.0,8.0,63.0
11,col,0.0,0.0,10.0,62.0
12,row,1.5,-1.5,7.5,63.5
12,col,0.5,-0.5,9.5,62.5
13,row,-0.5,0.5,8.5,62.5
13,col,-1.0,1.0,9.0,63.0
14,row,0.5,-0.5,7.5,62.5
14,col,0.5,-0.5,7.5,62.5
15,row,-0.5,0.5,8.5,62.5
15,col,-2.0,2.0,10.0,64.0
16,row,1.0,-1.0,6.0,63.0
16,col,-1.5,1.5,11.5,63.5
17,row,-0.5,0.5,7.5,62.5
17,col,-0.5,0.5,10.5,62.5
18,row,0.5,-0.5,9.5,62.5
18,col,0.0,0.0,10.0,62.0
19,row,1.5,-1.5,8.5,63.5
19,col,0.0,0.0,10.0,62.0
20,row,-1.5,1.5,8.5,63.5
20,col,-1.5,1.5,8.5,63.5
21,row,0.0,0.0,8.0,62.0
21,col,-1.0,1.0,9.0,63.0
22,row,-0.5,0.5,8.5,62.5
22,col,0.0,0.0,10.0,62.0
23,row,-1.5,1.5,6.5,63.5
23,col,0.0,0.0,8.0,62.0
24,row,-0.5,0.5,7.5,62.5
24,col,-1.5,1.5,8.5,63.5
25,row,-1.5,1.5,6.5,63.5
25,col,-1.0,1.0,9.0,63.0
26,row,-0.5,0.5,7.5,62.5
26,col,-2.5,2.5,9.5,64.5
27,row,0.0,0.0,7.0,62.0
27,col,-2.0,2.0,9.0,64.0
28,row,0.0,0.0,7.0,62.0
28,col,-1.5,1.5,8.5,63.5
29,row,0.0,0.0,7.0,62.0
29,col,-1.0,1.0,8.0,63.0
30,row,-1.0,1.0,6.0,63.0
30,col,-1.0,1.0,8.0,63.0
31,row,-1.5,1.5,6.5,63.5
31,col,-1.0,1.0,7.0,63.0
32,row,1.0,-1.0,8.0,63.0
32,col,2.5,-2.5,9.5,64.5
