edge_id,u_id,v_id,weight,manhattan_lb
0,0,30,126,7.0
1,2,1,126,5.5
2,2,3,126,5.5
3,4,20,126,7.0
4,4,27,126,5.5
5,5,6,126,7.5
6,7,6,126,8.5
7,7,17,126,9.5
8,8,26,126,6.0
9,10,3,126,6.0
10,10,9,126,7.5
11,13,11,126,8.0
12,13,12,126,7.5
13,14,13,126,8.5
14,14,18,126,7.5
15,14,30,126,8.5
16,16,1,126,6.0
17,16,15,126,7.5
18,17,13,126,9.5
19,17,16,126,8.5
20,18,17,126,8.5
21,20,21,126,8.0
22,21,13,126,8.5
23,22,20,126,6.5
24,23,21,126,7.5
25,24,21,126,6.5
26,25,6,126,7.5
27,25,10,126,7.0
28,25,16,126,7.0
29,25,26,126,7.0
30,27,26,126,6.0
31,28,14,126,6.5
32,30,29,126,8.0
