entity_id,label,row_min,row_max,col_min,col_max,anchor_row,anchor_col
0,core_roles,1,58,1,56,29.5,28.5
1,entrycard_sample_attributes,1,58,1,50,29.5,25.5
2,entrycards,1,57,1,56,29.0,28.5
3,entrycards_occurrence_attributes,1,58,1,49,29.5,25.0
4,languages,1,57,1,56,29.0,28.5
5,location_attributes,1,56,1,53,28.5,27.0
6,location_attributes_values,1,55,1,51,28.0,26.0
7,locations,1,54,1,53,27.5,27.0
8,meanings,1,58,1,57,29.5,29.0
9,occurrence_attribute_values,1,55,1,50,28.0,25.5
10,occurrence_attributes,1,56,1,52,28.5,26.5
11,occurrence_comments,1,56,1,53,28.5,27.0
12,occurrence_images,1,57,1,54,29.0,27.5
13,occurrences,1,54,1,53,27.5,27.0
14,people,1,55,1,55,28.0,28.0
15,sample_attribute_values,1,55,1,52,28.0,26.5
16,sample_attributes,1,56,1,53,28.5,27.0
17,samples,1,53,1,53,27.0,27.0
18,surveys,1,56,1,56,28.5,28.5
19,system,1,57,1,55,29.0,28.0
20,taxa,1,55,1,55,28.0,28.0
21,taxa_taxon_lists,1,55,1,53,28.0,27.0
22,taxon_groups,1,58,1,55,29.5,28.0
23,taxon_lists,1,56,1,56,28.5,28.5
24,taxon_meanings,1,58,1,55,29.5,28.0
25,termlists,1,56,1,56,28.5,28.5
26,termlists_terms,1,56,1,54,28.5,27.5
27,terms,1,58,1,56,29.5,28.5
28,titles,1,58,1,57,29.5,29.0
29,user_tokens,1,56,1,56,28.5,28.5
30,users,1,54,1,51,27.5,26.0
