pair_id,i_id,j_id,row_gap_i_before_j,row_gap_j_before_i,col_gap_i_before_j,col_gap_j_before_i
0,0,1,5.0,5.0,7.0,13.0
1,0,2,5.0,6.0,7.0,7.0
2,0,3,5.0,5.0,7.0,14.0
3,0,4,5.0,6.0,7.0,7.0
4,0,5,5.0,7.0,7.0,10.0
5,0,6,5.0,8.0,7.0,12.0
6,0,7,5.0,9.0,7.0,10.0
7,0,8,5.0,5.0,7.0,6.0
8,0,9,5.0,8.0,7.0,13.0
9,0,10,5.0,7.0,7.0,11.0
10,0,11,5.0,7.0,7.0,10.0
11,0,12,5.0,6.0,7.0,9.0
12,0,13,5.0,9.0,7.0,10.0
13,0,14,5.0,8.0,7.0,8.0
14,0,15,5.0,8.0,7.0,11.0
15,0,16,5.0,7.0,7.0,10.0
16,0,17,5.0,10.0,7.0,10.0
17,0,18,5.0,7.0,7.0,7.0
18,0,19,5.0,6.0,7.0,8.0
19,0,20,5.0,8.0,7.0,8.0
20,0,21,5.0,8.0,7.0,10.0
21,0,22,5.0,5.0,7.0,8.0
22,0,23,5.0,7.0,7.0,7.0
23,0,24,5.0,5.0,7.0,8.0
24,0,25,5.0,7.0,7.0,7.0
25,0,26,5.0,7.0,7.0,9.0
26,0,27,5.0,5.0,7.0,7.0
27,0,28,5.0,5.0,7.0,6.0
28,0,29,5.0,7.0,7.0,7.0
29,0,30,5.0,9.0,7.0,12.0
30,1,2,5.0,6.0,13.0,7.0
31,1,3,5.0,5.0,13.0,14.0
32,1,4,5.0,6.0,13.0,7.0
33,1,5,5.0,7.0,13.0,10.0
34,1,6,5.0,8.0,13.0,12.0
35,1,7,5.0,9.0,13.0,10.0
36,1,8,5.0,5.0,13.0,6.0
37,1,9,5.0,8.0,13.0,13.0
38,1,10,5.0,7.0,13.0,11.0
39,1,11,5.0,7.0,13.0,10.0
40,1,12,5.0,6.0,13.0,9.0
41,1,13,5.0,9.0,13.0,10.0
42,1,14,5.0,8.0,13.0,8.0
43,1,15,5.0,8.0,13.0,11.0
44,1,16,5.0,7.0,13.0,10.0
45,1,17,5.0,10.0,13.0,10.0
46,1,18,5.0,7.0,13.0,7.0
47,1,19,5.0,6.0,13.0,8.0
48,1,20,5.0,8.0,13.0,8.0
49,1,21,5.0,8.0,13.0,10.0
50,1,22,5.0,5.0,13.0,8.0
51,1,23,5.0,7.0,13.0,7.0
52,1,24,5.0,5.0,13.0,8.0
53,1,25,5.0,7.0,13.0,7.0
54,1,26,5.0,7.0,13.0,9.0
55,1,27,5.0,5.0,13.0,7.0
56,1,28,5.0,5.0,13.0,6.0
57,1,29,5.0,7.0,13.0,7.0
58,1,30,5.0,9.0,13.0,12.0
59,2,3,6.0,5.0,7.0,14.0
60,2,4,6.0,6.0,7.0,7.0
61,2,5,6.0,7.0,7.0,10.0
62,2,6,6.0,8.0,7.0,12.0
63,2,7,6.0,9.0,7.0,10.0
64,2,8,6.0,5.0,7.0,6.0
65,2,9,6.0,8.0,7.0,13.0
66,2,10,6.0,7.0,7.0,11.0
67,2,11,6.0,7.0,7.0,10.0
