edge_id,axis,rhs_for_v_minus_u,rhs_for_u_minus_v,min_axis_distance_if_axis_chosen,distance_ub
0,row,0.0,0.0,5.0,82.0
0,col,-0.5,0.5,11.5,82.5
1,row,0.0,0.0,5.0,82.0
1,col,0.5,-0.5,10.5,82.5
2,row,0.0,0.0,5.0,82.0
2,col,0.5,-0.5,10.5,82.5
3,row,0.5,-0.5,5.5,82.5
3,col,0.5,-0.5,11.5,82.5
4,row,-0.5,0.5,6.5,82.5
4,col,0.0,0.0,12.0,82.0
5,row,0.0,0.0,5.0,82.0
5,col,0.0,0.0,12.0,82.0
6,row,0.0,0.0,6.0,82.0
6,col,-1.0,1.0,12.0,83.0
7,row,0.5,-0.5,5.5,82.5
7,col,0.0,0.0,11.0,82.0
8,row,0.5,-0.5,5.5,82.5
8,col,0.0,0.0,11.0,82.0
9,row,0.5,-0.5,5.5,82.5
9,col,-1.0,1.0,12.0,83.0
10,row,0.5,-0.5,5.5,82.5
10,col,1.0,-1.0,12.0,83.0
11,row,0.5,-0.5,5.5,82.5
11,col,0.5,-0.5,12.5,82.5
12,row,-1.5,1.5,6.5,83.5
12,col,0.0,0.0,12.0,82.0
13,row,1.5,-1.5,6.5,83.5
13,col,2.5,-2.5,13.5,84.5
14,row,1.5,-1.5,6.5,83.5
14,col,2.5,-2.5,13.5,84.5
15,row,2.0,-2.0,6.0,84.0
15,col,3.5,-3.5,12.5,85.5
16,row,0.0,0.0,8.0,82.0
16,col,-0.5,0.5,11.5,82.5
17,row,-0.5,0.5,8.5,82.5
17,col,-1.0,1.0,12.0,83.0
18,row,2.0,-2.0,6.0,84.0
18,col,1.0,-1.0,10.0,83.0
19,row,1.0,-1.0,6.0,83.0
19,col,-0.5,0.5,12.5,82.5
20,row,1.0,-1.0,6.0,83.0
20,col,0.0,0.0,12.0,82.0
21,row,1.0,-1.0,6.0,83.0
21,col,0.0,0.0,12.0,82.0
22,row,0.0,0.0,7.0,82.0
22,col,0.0,0.0,12.0,82.0
23,row,-1.0,1.0,6.0,83.0
23,col,0.0,0.0,12.0,82.0
24,row,1.5,-1.5,5.5,83.5
24,col,1.5,-1.5,10.5,83.5
25,row,0.0,0.0,7.0,82.0
25,col,0.0,0.0,11.0,82.0
26,row,-1.0,1.0,7.0,83.0
26,col,-2.5,2.5,13.5,84.5
27,row,1.0,-1.0,5.0,83.0
27,col,1.0,-1.0,10.0,83.0
28,row,0.5,-0.5,5.5,82.5
28,col,0.5,-0.5,11.5,82.5
29,row,-1.0,1.0,7.0,83.0
29,col,-2.5,2.5,13.5,84.5
30,row,1.0,-1.0,5.0,83.0
30,col,1.0,-1.0,10.0,83.0
31,row,2.0,-2.0,7.0,84.0
31,col,1.0,-1.0,12.0,83.0
32,row,1.5,-1.5,7.5,83.5
32,col,1.0,-1.0,12.0,83.0
33,row,1.0,-1.0,8.0,83.0
33,col,1.0,-1.0,12.0,83.0
34,row,2.0,-2.0,7.0,84.0
34,col,1.0,-1.0,12.0,83.0
35,row,2.0,-2.0,7.0,84.0
35,col,1.0,-1.0,12.0,83.0
36,row,-0.5,0.5,4.5,82.5
36,col,-1.0,1.0,10.0,83.0
37,row,-0.5,0.5,4.5,82.5
37,col,-2.0,2.0,11.0,84.0
38,row,-2.5,2.5,6.5,84.5
38,col,-2.0,2.0,11.0,84.0
39,row,0.0,0.0,5.0,82.0
39,col,0.0,0.0,10.0,82.0
40,row,0.5,-0.5,5.5,82.5
40,col,0.5,-0.5,10.5,82.5
41,row,1.0,-1.0,6.0,83.0
41,col,-0.5,0.5,11.5,82.5
42,row,0.5,-0.5,6.5,82.5
42,col,0.0,0.0,11.0,82.0
43,row,0.5,-0.5,6.5,82.5
43,col,0.0,0.0,11.0,82.0
44,row,0.5,-0.5,6.5,82.5
44,col,-0.5,0.5,11.5,82.5
45,row,-0.5,0.5,5.5,82.5
45,col,0.0,0.0,11.0,82.0
46,row,-1.0,1.0,6.0,83.0
46,col,-0.5,0.5,11.5,82.5
47,row,-1.0,1.0,6.0,83.0
47,col,-0.5,0.5,11.5,82.5
48,row,0.0,0.0,5.0,82.0
48,col,0.5,-0.5,11.5,82.5
49,row,1.5,-1.5,5.5,83.5
49,col,1.5,-1.5,10.5,83.5
50,row,0.0,0.0,7.0,82.0
50,col,0.0,0.0,11.0,82.0
51,row,0.5,-0.5,7.5,82.5
51,col,0.5,-0.5,11.5,82.5
52,row,1.0,-1.0,7.0,83.0
52,col,0.5,-0.5,11.5,82.5
53,row,0.0,0.0,5.0,82.0
53,col,-0.5,0.5,10.5,82.5
