edge_id,u_id,v_id,weight,manhattan_lb
0,1,4,166,5.0
1,1,30,166,5.0
2,1,34,166,5.0
3,2,6,166,5.5
4,2,32,166,6.5
5,3,4,166,5.0
6,5,7,166,6.0
7,5,8,166,5.5
8,5,10,166,5.5
9,5,16,166,5.5
10,7,6,166,5.5
11,7,9,166,5.5
12,9,44,166,6.5
13,12,1,166,6.5
14,13,1,166,6.5
15,13,27,166,6.0
16,14,0,166,8.0
17,14,26,166,8.5
18,14,27,166,6.0
19,15,16,166,6.0
20,15,17,166,6.0
21,15,18,166,6.0
22,15,35,166,7.0
23,19,15,166,6.0
24,20,27,166,5.5
25,21,36,166,7.0
26,22,13,166,7.0
27,22,27,166,5.0
28,23,1,166,5.5
29,24,13,166,7.0
30,24,27,166,5.0
31,26,25,166,7.0
32,26,28,166,7.5
33,26,36,166,8.0
34,26,37,166,7.0
35,26,45,166,7.0
36,27,1,166,4.5
37,27,16,166,4.5
38,27,26,166,6.5
39,29,30,166,5.0
40,33,34,166,5.5
41,36,18,166,6.0
42,36,39,166,6.5
43,36,42,166,6.5
44,36,43,166,6.5
45,37,5,166,5.5
46,37,15,166,6.0
47,37,35,166,6.0
48,38,25,166,5.0
49,40,27,166,5.5
50,41,36,166,7.0
51,44,36,166,7.5
52,44,42,166,7.0
53,46,8,166,5.0
