entity_id,label,row_min,row_max,col_min,col_max,anchor_row,anchor_col
0,alert,1,75,1,71,38.0,36.0
1,availabilityelementid,1,78,1,72,39.5,36.5
2,categorydefinition,1,77,1,71,39.0,36.0
3,dependentunavailable2...,1,78,1,71,39.5,36.0
4,dependentunavailablestart,1,78,1,71,39.5,36.0
5,devicepackage,1,77,1,72,39.0,36.5
6,devicepackagetocategory,1,78,1,72,39.5,36.5
7,devicepackagetograph,1,77,1,70,39.0,35.5
8,devicepackagetoven...,1,78,1,72,39.5,36.5
9,devicetographtothres...,1,78,1,71,39.5,36.0
10,devicetypetosysoid,1,78,1,72,39.5,36.5
11,downtime2012_02_08_17,1,78,1,72,39.5,36.5
12,elementavailabilitydaily2012_02_08_17,1,75,1,67,38.0,34.0
13,elementavailabilityhourly2012_02_08_17,1,75,1,67,38.0,34.0
14,event_2012_02_08...,1,75,1,72,38.0,36.5
15,graphdetails,1,76,1,71,38.5,36.0
16,graphdiagnostics,1,78,1,70,39.5,35.5
17,graphoidcolumninfo,1,78,1,71,39.5,36.0
18,graphtopollmap,1,78,1,71,39.5,36.0
19,graphtype,1,78,1,71,39.5,36.0
20,ifhcdailyrate_2012_02...,1,76,1,71,38.5,36.0
21,ifhcdailysum_2012_...,1,76,1,72,38.5,36.5
22,ifhchourlyrate_2012_...,1,77,1,72,39.0,36.5
23,ifhchourlysum_2012_02_...,1,77,1,71,39.0,36.0
24,ifhcraw_2012_02_08...,1,77,1,72,39.0,36.5
25,ipaddress,1,78,1,72,39.5,36.5
26,managedobject,1,74,1,70,37.5,35.5
27,managedobjectid,1,79,1,74,40.0,37.5
28,node,1,77,1,72,39.0,36.5
29,onhold2012_02_08_17,1,78,1,73,39.5,37.0
30,onholdstart,1,78,1,73,39.5,37.0
31,onmaintenance2012_02_08...,1,78,1,71,39.5,36.0
32,opmanagerobject,1,76,1,71,38.5,36.0
33,parentdown2012_02_08_17,1,77,1,72,39.0,36.5
34,parentdownstart,1,78,1,73,39.5,37.0
35,polldatatemplate,1,76,1,71,38.5,36.0
36,polleddata,1,76,1,72,38.5,36.5
37,protocoldetails,1,78,1,72,39.5,36.5
38,snmpinterface,1,78,1,71,39.5,36.0
39,statsdata2_9_2012,1,77,1,72,39.0,36.5
40,statsdata_daily_2012_...,1,76,1,71,38.5,36.0
41,statsdata_hourly_201...,1,76,1,72,38.5,36.5
42,statsdatasumdaily_20...,1,77,1,72,39.0,36.5
43,statsdatasumhourly_2012...,1,77,1,71,39.0,36.0
44,thresholdobjects,1,75,1,71,38.0,36.0
45,topoobject,1,78,1,72,39.5,36.5
46,vendordetails,1,78,1,73,39.5,37.0
47,wmipolleddata,1,76,1,70,38.5,35.5
