pair_id,i_id,j_id,row_gap_i_before_j,row_gap_j_before_i,col_gap_i_before_j,col_gap_j_before_i
0,0,1,8.0,5.0,12.0,11.0
1,0,2,8.0,6.0,12.0,12.0
2,0,3,8.0,5.0,12.0,12.0
3,0,4,8.0,5.0,12.0,12.0
4,0,5,8.0,6.0,12.0,11.0
5,0,6,8.0,5.0,12.0,11.0
6,0,7,8.0,6.0,12.0,13.0
7,0,8,8.0,5.0,12.0,11.0
8,0,9,8.0,5.0,12.0,12.0
9,0,10,8.0,5.0,12.0,11.0
10,0,11,8.0,5.0,12.0,11.0
11,0,12,8.0,8.0,12.0,16.0
12,0,13,8.0,8.0,12.0,16.0
13,0,14,8.0,8.0,12.0,11.0
14,0,15,8.0,7.0,12.0,12.0
15,0,16,8.0,5.0,12.0,13.0
16,0,17,8.0,5.0,12.0,12.0
17,0,18,8.0,5.0,12.0,12.0
18,0,19,8.0,5.0,12.0,12.0
19,0,20,8.0,7.0,12.0,12.0
20,0,21,8.0,7.0,12.0,11.0
21,0,22,8.0,6.0,12.0,11.0
22,0,23,8.0,6.0,12.0,12.0
23,0,24,8.0,6.0,12.0,11.0
24,0,25,8.0,5.0,12.0,11.0
25,0,26,8.0,9.0,12.0,13.0
26,0,27,8.0,4.0,12.0,9.0
27,0,28,8.0,6.0,12.0,11.0
28,0,29,8.0,5.0,12.0,10.0
29,0,30,8.0,5.0,12.0,10.0
30,0,31,8.0,5.0,12.0,12.0
31,0,32,8.0,7.0,12.0,12.0
32,0,33,8.0,6.0,12.0,11.0
33,0,34,8.0,5.0,12.0,10.0
34,0,35,8.0,7.0,12.0,12.0
35,0,36,8.0,7.0,12.0,11.0
36,0,37,8.0,5.0,12.0,11.0
37,0,38,8.0,5.0,12.0,12.0
38,0,39,8.0,6.0,12.0,11.0
39,0,40,8.0,7.0,12.0,12.0
40,0,41,8.0,7.0,12.0,11.0
41,0,42,8.0,6.0,12.0,11.0
42,0,43,8.0,6.0,12.0,12.0
43,0,44,8.0,8.0,12.0,12.0
44,0,45,8.0,5.0,12.0,11.0
45,0,46,8.0,5.0,12.0,10.0
46,0,47,8.0,7.0,12.0,13.0
47,1,2,5.0,6.0,11.0,12.0
48,1,3,5.0,5.0,11.0,12.0
49,1,4,5.0,5.0,11.0,12.0
50,1,5,5.0,6.0,11.0,11.0
51,1,6,5.0,5.0,11.0,11.0
52,1,7,5.0,6.0,11.0,13.0
53,1,8,5.0,5.0,11.0,11.0
54,1,9,5.0,5.0,11.0,12.0
55,1,10,5.0,5.0,11.0,11.0
56,1,11,5.0,5.0,11.0,11.0
