VehicleID,1,2,3,4,5,6,7,8,9,10,11,12
1,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0
2,45.0,45.0,45.0,45.0,28.0,28.0,45.0,45.0,45.0,45.0,28.0,28.0
3,40.0,40.0,40.0,40.0,45.0,45.0,40.0,40.0,40.0,40.0,45.0,45.0
4,30.0,30.0,30.0,30.0,16.5,16.5,30.0,30.0,30.0,30.0,16.5,16.5
5,32.0,32.0,32.0,32.0,45.0,45.0,32.0,32.0,32.0,32.0,45.0,45.0
6,50.0,50.0,50.0,52.0,52.0,52.0,50.0,50.0,50.0,52.0,52.0,52.0
7,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,45.0,45.0
8,45.0,45.0,45.0,44.0,0.0,0.0,45.0,45.0,45.0,44.0,0.0,0.0
9,2534.0,2534.0,2534.0,2534.0,2519.0,2519.0,2534.0,2534.0,2534.0,2534.0,2519.0,2519.0
10,22.0,22.0,22.0,22.0,25.0,25.0,22.0,22.0,22.0,22.0,25.0,25.0
11,56.0,56.0,56.0,56.0,34.0,34.0,56.0,56.0,56.0,56.0,34.0,34.0
12,30.0,30.0,30.0,30.0,25.0,25.0,30.0,30.0,30.0,30.0,25.0,25.0
13,30.0,30.0,30.0,30.0,19.0,19.0,30.0,30.0,30.0,30.0,19.0,19.0
14,23.0,23.0,23.0,23.0,56.0,56.0,23.0,23.0,23.0,23.0,56.0,56.0
15,42.0,42.0,42.0,42.0,34.0,34.0,42.0,42.0,42.0,42.0,34.0,34.0
16,56.0,56.0,56.0,56.0,34.0,34.0,56.0,56.0,56.0,56.0,34.0,34.0
17,28.0,28.0,28.0,28.0,25.0,25.0,28.0,28.0,28.0,28.0,25.0,25.0
