id,value
1,277.0
2,-7.0
3,-4.0
4,-5.0
5,-4.0
6,-5.0
7,-10.0
8,-2.0
9,-6.0
10,-1.0
11,-8.0
12,-9.0
13,-1.0
14,-1.0
15,-5.0
16,-1.0
17,-7.0
18,-7.0
19,-5.0
20,-1.0
21,-2.0
22,-4.0
23,-4.0
24,-3.0
25,-8.0
26,-6.0
27,-8.0
28,-9.0
29,-10.0
30,-3.0
31,-9.0
32,-10.0
33,-6.0
34,-4.0
35,-2.0
36,-4.0
37,-4.0
38,-10.0
39,-10.0
40,-8.0
41,-6.0
42,-3.0
43,-2.0
44,-2.0
45,-8.0
46,-7.0
47,-8.0
48,-9.0
49,-10.0
50,-9.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
