id,value
1,384.0
2,-2.0
3,-7.0
4,-5.0
5,-2.0
6,-4.0
7,-9.0
8,-9.0
9,-2.0
10,-9.0
11,-3.0
12,-4.0
13,-7.0
14,-8.0
15,-1.0
16,-1.0
17,-7.0
18,-2.0
19,-2.0
20,-10.0
21,-10.0
22,0.0
23,-10.0
24,-9.0
25,0.0
26,-3.0
27,-6.0
28,-5.0
29,-3.0
30,-1.0
31,-4.0
32,-7.0
33,-1.0
34,-7.0
35,0.0
36,-1.0
37,-5.0
38,0.0
39,-5.0
40,-5.0
41,-1.0
42,-7.0
43,-7.0
44,-7.0
45,-3.0
46,0.0
47,-7.0
48,-6.0
49,-7.0
50,-3.0
51,-5.0
52,0.0
53,-10.0
54,-9.0
55,-6.0
56,0.0
57,-3.0
58,-2.0
59,-9.0
60,-7.0
61,-2.0
62,-6.0
63,-7.0
64,-6.0
65,-7.0
66,0.0
67,-9.0
68,-8.0
69,-6.0
70,-10.0
71,-2.0
72,-9.0
73,-9.0
74,-8.0
75,0.0
76,-10.0
77,0.0
78,-2.0
79,0.0
80,-8.0
