edge_id,source,target,var_cost_fwd,fixed_cost_fwd,var_cost_bwd,fixed_cost_bwd
1,2,1,9.0,724.0,9.0,834.0
2,3,1,9.0,645.0,1.0,962.0
3,4,1,8.0,942.0,7.0,961.0
4,5,1,6.0,653.0,1.0,891.0
5,6,1,9.0,895.0,8.0,921.0
6,7,1,7.0,912.0,1.0,771.0
7,8,1,3.0,811.0,2.0,535.0
8,9,1,4.0,711.0,4.0,673.0
9,10,1,2.0,757.0,2.0,547.0
10,11,1,8.0,778.0,8.0,723.0
11,12,1,1.0,606.0,3.0,690.0
12,13,1,6.0,805.0,6.0,764.0
13,14,1,4.0,601.0,7.0,870.0
14,15,1,1.0,954.0,3.0,629.0
15,16,1,9.0,808.0,6.0,966.0
16,3,2,3.0,538.0,4.0,626.0
17,4,2,1.0,615.0,4.0,929.0
18,5,2,1.0,806.0,4.0,704.0
19,6,2,6.0,572.0,4.0,521.0
20,7,2,4.0,512.0,7.0,777.0
21,8,2,9.0,767.0,7.0,661.0
22,9,2,9.0,650.0,5.0,531.0
23,10,2,4.0,691.0,8.0,966.0
24,11,2,7.0,883.0,7.0,957.0
25,12,2,3.0,588.0,9.0,709.0
26,13,2,7.0,668.0,8.0,506.0
27,14,2,5.0,859.0,3.0,762.0
28,15,2,2.0,541.0,9.0,548.0
29,16,2,6.0,520.0,6.0,791.0
30,4,3,4.0,984.0,1.0,848.0
31,5,3,4.0,938.0,1.0,553.0
32,6,3,3.0,893.0,9.0,627.0
33,7,3,1.0,617.0,2.0,807.0
34,8,3,9.0,951.0,2.0,809.0
35,9,3,2.0,803.0,3.0,519.0
36,10,3,5.0,702.0,2.0,844.0
37,11,3,5.0,587.0,2.0,593.0
38,12,3,4.0,618.0,9.0,948.0
39,13,3,6.0,798.0,6.0,798.0
40,14,3,8.0,792.0,5.0,972.0
41,15,3,3.0,691.0,6.0,690.0
42,16,3,3.0,634.0,2.0,656.0
43,5,4,2.0,886.0,4.0,828.0
44,6,4,4.0,916.0,3.0,869.0
45,7,4,5.0,699.0,4.0,822.0
46,8,4,9.0,712.0,1.0,892.0
47,9,4,6.0,688.0,9.0,503.0
48,10,4,8.0,585.0,7.0,755.0
49,11,4,7.0,757.0,8.0,588.0
50,12,4,9.0,689.0,9.0,669.0
51,13,4,6.0,555.0,1.0,868.0
52,14,4,5.0,560.0,8.0,941.0
53,15,4,8.0,996.0,1.0,639.0
54,16,4,4.0,949.0,2.0,549.0
55,6,5,9.0,605.0,3.0,797.0
56,7,5,7.0,701.0,2.0,955.0
57,8,5,3.0,855.0,8.0,786.0
58,9,5,6.0,945.0,2.0,912.0
59,10,5,4.0,982.0,1.0,821.0
60,11,5,2.0,661.0,5.0,696.0
61,12,5,3.0,659.0,3.0,673.0
62,13,5,1.0,510.0,7.0,753.0
63,14,5,2.0,522.0,4.0,686.0
64,15,5,4.0,891.0,6.0,787.0
65,16,5,9.0,824.0,8.0,977.0
66,7,6,8.0,570.0,9.0,872.0
67,8,6,8.0,770.0,2.0,518.0
68,9,6,7.0,980.0,5.0,692.0
69,10,6,9.0,625.0,5.0,802.0
70,11,6,3.0,681.0,8.0,523.0
71,12,6,1.0,531.0,1.0,505.0
72,13,6,6.0,900.0,8.0,722.0
73,14,6,6.0,670.0,9.0,913.0
74,15,6,6.0,667.0,9.0,711.0
75,16,6,5.0,624.0,5.0,640.0
76,8,7,6.0,802.0,2.0,576.0
77,9,7,2.0,984.0,3.0,678.0
78,10,7,2.0,587.0,7.0,619.0
79,11,7,5.0,815.0,1.0,510.0
80,12,7,1.0,609.0,6.0,543.0
81,13,7,4.0,974.0,5.0,565.0
82,14,7,8.0,520.0,5.0,629.0
83,15,7,3.0,761.0,5.0,623.0
84,16,7,2.0,616.0,9.0,764.0
85,9,8,4.0,547.0,5.0,511.0
86,10,8,3.0,763.0,2.0,790.0
87,11,8,4.0,713.0,8.0,662.0
88,12,8,3.0,700.0,2.0,865.0
89,13,8,8.0,824.0,5.0,803.0
90,14,8,2.0,850.0,6.0,613.0
91,15,8,2.0,540.0,1.0,993.0
92,16,8,7.0,850.0,4.0,835.0
93,10,9,7.0,857.0,5.0,556.0
94,11,9,2.0,861.0,2.0,837.0
95,12,9,1.0,696.0,9.0,617.0
96,13,9,2.0,565.0,3.0,923.0
97,14,9,3.0,962.0,5.0,796.0
98,15,9,2.0,869.0,8.0,654.0
99,16,9,3.0,635.0,3.0,607.0
100,11,10,1.0,642.0,7.0,675.0
101,12,10,4.0,825.0,5.0,741.0
102,13,10,5.0,783.0,6.0,626.0
103,14,10,8.0,734.0,2.0,779.0
104,15,10,7.0,705.0,3.0,556.0
105,16,10,5.0,641.0,1.0,881.0
106,12,11,9.0,877.0,7.0,642.0
107,13,11,1.0,673.0,9.0,752.0
108,14,11,3.0,610.0,8.0,875.0
109,15,11,3.0,831.0,2.0,612.0
110,16,11,4.0,589.0,2.0,685.0
111,13,12,4.0,740.0,8.0,853.0
112,14,12,6.0,605.0,9.0,835.0
113,15,12,7.0,608.0,5.0,503.0
114,16,12,2.0,627.0,4.0,549.0
115,14,13,4.0,674.0,4.0,629.0
116,15,13,6.0,992.0,3.0,715.0
117,16,13,7.0,928.0,4.0,892.0
118,15,14,1.0,970.0,8.0,575.0
119,16,14,9.0,663.0,7.0,604.0
120,16,15,4.0,740.0,6.0,510.0
