option_id,unit_cost
1,8594600.16
2,10243498.88
3,18487992.48
4,20136891.20
5,16081900.32
6,19010597.76
7,24867992.64
8,27796690.08
9,30725387.52
10,33654084.96
11,36582782.40
12,9061801.44
13,10758689.92
14,14152466.88
15,21517379.84
16,7393225.44
17,8918721.92
18,13679150.88
19,9795974.88
20,11568275.84
21,15112877.76
22,16885178.72
23,18657479.68
24,20429780.64
25,22202081.60
26,23974382.56
27,25746683.52
28,27518984.48
29,29291285.44
30,31063586.40
31,37314959.36
32,40859561.28
33,44404163.20
34,47948765.12
35,51493367.04
36,14774371.20
37,17313401.60
38,29548742.40
39,34626803.20
40,20420197.92
41,23794514.56
42,30543147.84
43,33917464.48
44,37291781.12
45,40666097.76
46,44040414.40
47,47414731.04
48,50789047.68
49,54163364.32
50,57537680.96
51,60911997.60
52,47589029.12
53,61086295.68
54,67834928.96
55,74583562.24
56,81332195.52
57,88080828.80
58,10396662.24
59,12230664.32
60,15898668.48
61,17732670.56
62,19566672.64
63,21400674.72
64,23234676.80
65,25068678.88
66,26902680.96
67,20793324.48
68,24461328.64
69,31797336.96
70,35465341.12
71,39133345.28
72,14440656.00
73,16945408.00
74,21954912.00
75,24459664.00
76,26964416.00
77,29469168.00
78,31973920.00
79,34478672.00
80,36983424.00
81,39488176.00
82,41992928.00
83,44497680.00
84,28881312.00
85,33890816.00
86,43909824.00
87,48919328.00
88,53928832.00
89,58938336.00
90,63947840.00
91,13306024.32
92,15694229.76
93,22858846.08
94,27635256.96
95,30023462.40
96,32411667.84
97,34799873.28
98,37188078.72
99,39576284.16
100,41964489.60
101,25504748.64
102,29912059.52
103,38726681.28
104,43133992.16
105,47541303.04
106,51948613.92
107,56355924.80
108,60763235.68
109,65170546.56
110,69577857.44
111,73985168.32
112,78392479.20
113,13506253.44
114,15915025.92
115,20732570.88
116,23141343.36
117,25550115.84
118,27958888.32
119,30367660.80
120,32776433.28
121,35185205.76
122,27012506.88
123,31830051.84
124,41465141.76
125,46282686.72
126,51100231.68
127,5284779.84
128,6338341.12
129,9662488.80
130,11421078.40
131,14938257.60
132,16696847.20
133,18455436.80
134,20214026.40
135,21972616.00
136,23731205.60
137,25489795.20
138,19324977.60
139,22842156.80
140,29876515.20
141,33393694.40
142,36910873.60
143,12438364.80
144,14737446.40
145,19335609.60
146,21634691.20
147,23933772.80
148,26232854.40
149,28531936.00
150,30831017.60
151,33130099.20
152,23769429.60
153,27998492.80
154,36456619.20
155,40685682.40
156,44914745.60
157,11637448.32
158,13854261.76
159,18287888.64
160,22167596.64
161,26232123.52
162,9328773.60
163,11053084.80
164,19674640.80
165,21398952.00
166,17550247.20
167,20629769.60
168,26788814.40
169,29868336.80
170,32947859.20
171,36027381.60
172,39106904.00
173,42186426.40
174,45265948.80
175,48345471.20
176,51424993.60
177,54504516.00
178,17750476.32
179,20850565.76
180,34393652.64
181,40224731.52
182,23396303.04
183,27331678.72
184,39137805.76
185,43073181.44
186,47008557.12
187,50943932.80
188,54879308.48
189,58814684.16
190,62750059.84
191,66685435.52
192,70620811.20
193,45685306.08
194,53186957.44
195,68190260.16
196,75691911.52
197,83193562.88
198,90695214.24
199,98196865.60
200,12438364.80
201,14737446.40
202,21634691.20
203,26232854.40
204,28531936.00
205,30831017.60
206,33130099.20
207,35429180.80
208,37728262.40
209,40027344.00
210,23769429.60
211,27998492.80
212,36456619.20
213,40685682.40
214,44914745.60
215,49143808.80
216,53372872.00
217,57601935.20
218,61830998.40
219,66060061.60
220,70289124.80
221,74518188.00
222,13572996.48
223,15988624.64
224,23235509.12
225,28066765.44
226,30482393.60
227,32898021.76
228,35313649.92
229,37729278.08
230,40144906.24
231,42560534.40
232,26038692.96
233,30500849.28
234,39425161.92
235,43887318.24
236,48349474.56
237,52811630.88
238,57273787.20
239,61735943.52
240,66198099.84
241,70660256.16
242,75122412.48
243,79584568.80
244,11264321.76
245,13187447.68
246,17033699.52
247,18956825.44
248,20879951.36
249,22803077.28
250,24726203.20
251,26649329.12
252,28572455.04
253,30495580.96
254,32418706.88
255,34341832.80
256,34067399.04
257,37913650.88
258,41759902.72
259,45606154.56
260,49452406.40
261,53298658.24
262,57144910.08
263,60991161.92
264,64837413.76
265,68683665.60
266,13639739.52
267,16062223.36
268,23329674.88
269,28174642.56
270,30597126.40
271,33019610.24
272,35442094.08
273,37864577.92
274,40287061.76
275,42709545.60
276,26172179.04
277,30648046.72
278,39599782.08
279,44075649.76
280,48551517.44
281,53027385.12
282,57503252.80
283,61979120.48
284,66454988.16
285,70930855.84
286,75406723.52
287,79882591.20
288,9996204.00
289,11789072.00
290,15374808.00
291,19992408.00
292,23578144.00
293,12171392.64
294,14443051.52
295,21258028.16
296,25801345.92
297,28073004.80
298,23235485.28
299,27409703.04
300,35758138.56
301,39932356.32
302,44106574.08
303,48280791.84
304,52455009.60
305,56629227.36
306,60803445.12
307,13973454.72
308,16430216.96
309,19619281.44
310,22911329.92
311,29495426.88
312,32787475.36
313,36079523.84
314,39371572.32
315,42663620.80
316,45955669.28
317,49247717.76
318,52539766.24
319,55831814.72
320,59123863.20
321,45822659.84
322,58990853.76
323,65574950.72
324,72159047.68
325,78743144.64
326,85327241.60
327,18351163.68
328,21512954.24
329,27836535.36
330,30998325.92
331,34160116.48
332,37321907.04
333,40483697.60
334,43645488.16
335,46807278.72
336,36702327.36
337,43025908.48
338,55673070.72
339,61996651.84
340,68320232.96
341,21127039.68
342,24829322.24
343,32233887.36
344,35936169.92
345,39638452.48
346,43340735.04
347,47043017.60
348,50745300.16
349,54447582.72
350,41146779.36
351,48182244.48
352,62253174.72
353,69288639.84
354,76324104.96
355,6419411.52
356,7589519.36
357,9929735.04
358,11099842.88
359,12269950.72
360,13440058.56
361,14610166.40
362,15780274.24
363,16950382.08
364,12838823.04
365,15179038.72
366,19859470.08
367,22199685.76
368,24539901.44
369,13572996.48
370,15988624.64
371,23235509.12
372,28066765.44
373,30482393.60
374,35313649.92
375,37729278.08
376,40144906.24
377,42560534.40
378,26038692.96
379,30500849.28
380,39425161.92
381,43887318.24
382,48349474.56
383,52811630.88
384,57273787.20
385,61735943.52
386,66198099.84
387,70660256.16
388,75122412.48
389,79584568.80
390,17016302.88
391,20040979.84
392,22662129.60
393,26522092.80
394,38101982.40
395,41961945.60
396,45821908.80
397,49681872.00
398,53541835.20
399,57401798.40
400,61261761.60
401,65121724.80
402,68981688.00
403,44216959.20
404,51567785.60
405,66269438.40
406,73620264.80
407,80971091.20
408,88321917.60
409,95672744.00
410,18484649.76
411,21660151.68
412,28011155.52
413,31186657.44
414,34362159.36
415,37537661.28
416,40713163.20
417,43888665.12
418,47064167.04
419,36969299.52
420,43320303.36
421,56022311.04
422,62373314.88
423,68724318.72
424,21260525.76
425,24976519.68
426,32408507.52
427,36124501.44
428,39840495.36
429,43556489.28
430,47272483.20
431,50988477.12
432,54704471.04
433,41413751.52
434,48476639.36
435,62602415.04
436,69665302.88
437,76728190.72
438,14373912.96
439,16871809.28
440,21867601.92
441,24365498.24
442,26863394.56
443,29361290.88
444,31859187.20
445,34357083.52
446,36854979.84
447,28747825.92
448,33743618.56
449,43735203.84
450,48730996.48
451,53726789.12
452,17149788.96
453,20188177.28
454,26264953.92
455,29303342.24
456,32341730.56
457,35380118.88
458,38418507.20
459,41456895.52
460,44495283.84
461,33192277.92
462,38899954.56
463,50315307.84
464,56022984.48
465,61730661.12
466,13039052.16
467,15399834.88
468,20121400.32
469,22482183.04
470,24842965.76
471,27203748.48
472,29564531.20
473,31925313.92
474,34286096.64
475,24970804.32
476,29323269.76
477,38028200.64
478,42380666.08
479,46733131.52
480,15842259.84
481,18490981.12
482,23788423.68
483,26437144.96
484,29085866.24
485,31734587.52
486,34383308.80
487,37032030.08
488,39680751.36
489,42329472.64
490,44978193.92
491,47626915.20
492,31684519.68
493,36981962.24
494,47576847.36
495,52874289.92
496,58171732.48
497,63469175.04
498,68766617.60
499,74064060.16
500,79361502.72
501,84658945.28
502,89956387.84
503,95253830.40
504,10930606.56
505,12819454.08
506,16597149.12
507,18485996.64
508,20374844.16
509,22263691.68
510,24152539.20
511,26041386.72
512,27930234.24
513,29819081.76
514,31707929.28
515,33596776.80
516,33194298.24
517,36971993.28
518,40749688.32
519,44527383.36
520,48305078.40
521,52082773.44
522,55860468.48
523,59638163.52
524,63415858.56
525,67193553.60
526,13973454.72
527,16430216.96
528,21343741.44
529,23800503.68
530,26257265.92
531,28714028.16
532,31170790.40
533,33627552.64
534,36084314.88
535,38541077.12
536,40997839.36
537,43454601.60
538,42687482.88
539,47601007.36
540,52514531.84
541,57428056.32
542,62341580.80
543,67255105.28
544,72168629.76
545,77082154.24
546,81995678.72
547,86909203.20
548,12171392.64
549,14443051.52
550,21258028.16
551,25801345.92
552,28073004.80
553,30344663.68
554,32616322.56
555,34887981.44
556,37159640.32
557,39431299.20
558,23235485.28
559,27409703.04
560,35758138.56
561,39932356.32
562,44106574.08
563,48280791.84
564,52455009.60
565,56629227.36
566,60803445.12
567,17083045.92
568,20114578.56
569,26177643.84
570,29209176.48
571,32240709.12
572,35272241.76
573,38303774.40
574,41335307.04
575,44366839.68
576,33058791.84
577,38752757.12
578,50140687.68
579,55834652.96
580,61528618.24
581,18751621.92
582,21954546.56
583,28360395.84
584,31563320.48
585,34766245.12
586,37969169.76
587,41172094.40
588,44375019.04
589,47577943.68
590,37503243.84
591,43909093.12
592,56720791.68
593,63126640.96
594,69532490.24
595,6085696.32
596,7221525.76
597,9493184.64
598,10629014.08
599,11764843.52
600,12900672.96
601,14036502.40
602,15172331.84
603,16308161.28
604,17443990.72
605,18579820.16
606,19715649.60
