resource_id,minimum_required
1,4.00
2,17.00
3,15.00
4,12.00
5,7.00
6,8.00
7,17.00
8,8.00
9,9.00
10,6.00
11,6.00
12,23.00
13,17.00
14,9.00
15,11.00
16,7.00
17,7.00
18,8.00
19,6.00
20,7.00
21,6.00
22,25.00
23,4.00
24,20.00
25,19.00
26,13.00
27,6.00
28,4.00
29,10.00
30,4.00
31,12.00
32,11.00
33,40.00
34,11.00
35,15.00
36,30.00
37,16.00
38,10.00
39,4.00
40,4.00
41,3.00
42,6.00
43,6.00
44,16.00
45,13.00
46,6.00
47,9.00
48,10.00
49,1.00
50,2.00
51,2.00
52,2.00
53,2.00
54,2.00
55,2.00
56,2.00
57,2.00
58,2.00
59,2.00
60,2.00
61,2.00
62,2.00
63,2.00
64,2.00
65,2.00
66,2.00
67,2.00
68,2.00
69,2.00
70,2.00
71,1.00
72,2.00
73,2.00
74,2.00
75,2.00
76,1.00
77,2.00
78,1.00
79,2.00
80,2.00
81,2.00
82,2.00
83,2.00
84,2.00
85,2.00
86,2.00
87,1.00
88,1.00
89,1.00
90,2.00
91,2.00
92,2.00
93,2.00
94,2.00
95,2.00
96,2.00
97,1.00
98,1.00
99,1.00
100,1.00
101,1.00
102,1.00
103,1.00
104,2.00
105,2.00
106,2.00
107,2.00
108,2.00
109,2.00
110,2.00
111,2.00
112,2.00
113,2.00
114,2.00
115,2.00
116,2.00
117,2.00
118,2.00
119,2.00
120,2.00
121,2.00
122,2.00
123,2.00
124,2.00
125,2.00
126,2.00
127,2.00
128,2.00
129,2.00
130,2.00
131,2.00
132,2.00
133,2.00
134,2.00
135,2.00
136,2.00
137,2.00
138,2.00
139,2.00
140,2.00
141,2.00
142,2.00
143,2.00
144,2.00
145,2.00
146,2.00
147,2.00
148,2.00
149,2.00
150,2.00
151,2.00
152,3.00
153,3.00
154,3.00
155,3.00
