package_id,package_name,market_0,market_1,market_2,market_3,market_4,market_5
0,Bundle 1,25,97,95,1,3,69
1,Bundle 2,35,64,71,27,94,72
2,Bundle 3,14,24,19,46,51,94
3,Bundle 4,76,63,15,48,4,56
4,Bundle 5,58,58,66,66,25,90
5,Bundle 6,10,45,76,58,46,20
6,Bundle 7,20,20,4,52,30,56
7,Bundle 8,51,71,50,6,2,50
8,Bundle 9,58,32,50,14,89,79
9,Bundle 10,1,7,97,26,65,59
10,Bundle 11,35,28,83,55,28,36
11,Bundle 12,40,77,14,61,46,24
12,Bundle 13,65,95,27,60,36,42
13,Bundle 14,59,96,14,3,53,9
14,Bundle 15,24,70,34,33,30,29
15,Bundle 16,44,22,9,99,73,68
16,Bundle 17,1,93,99,36,37,10
17,Bundle 18,93,32,62,55,60,1
18,Bundle 19,24,17,92,70,21,44
19,Bundle 20,68,56,39,73,41,74
20,Bundle 21,38,74,56,70,2,61
21,Bundle 22,64,62,53,38,21,37
22,Bundle 23,93,94,91,66,93,71
23,Bundle 24,14,9,81,39,82,63
24,Bundle 25,83,92,46,43,16,44
25,Bundle 26,6,90,94,63,97,77
26,Bundle 27,58,40,76,88,75,57
27,Bundle 28,14,45,53,47,50,46
28,Bundle 29,71,84,58,18,13,51
29,Bundle 30,17,62,23,73,43,43
30,Bundle 31,18,62,15,40,45,4
31,Bundle 32,8,34,63,91,64,85
32,Bundle 33,57,21,2,96,78,59
33,Bundle 34,48,2,31,49,78,7
34,Bundle 35,35,75,55,13,6,25
35,Bundle 36,13,42,71,27,35,46
36,Bundle 37,47,75,97,22,72,25
37,Bundle 38,46,29,71,71,31,70
38,Bundle 39,8,4,55,99,28,78
39,Bundle 40,82,64,8,66,56,88
40,Bundle 41,51,80,57,57,60,20
41,Bundle 42,49,17,14,1,23,40
42,Bundle 43,85,55,76,54,70,40
43,Bundle 44,66,73,1,35,46,16
44,Bundle 45,45,23,46,52,88,3
45,Bundle 46,99,13,87,66,20,3
46,Bundle 47,21,91,22,26,69,5
47,Bundle 48,75,70,97,1,13,77
48,Bundle 49,78,73,99,26,40,88
49,Bundle 50,43,28,92,12,73,16
