package_code,package_name,estimated_cost
PKG-000,Bundle 1,4174
PKG-001,Bundle 2,4507
PKG-002,Bundle 3,1860
PKG-003,Bundle 4,2294
PKG-004,Bundle 5,2130
PKG-005,Bundle 6,2095
PKG-006,Bundle 7,4772
PKG-007,Bundle 8,4092
PKG-008,Bundle 9,2638
PKG-009,Bundle 10,3169
PKG-010,Bundle 11,1466
PKG-011,Bundle 12,2238
PKG-012,Bundle 13,1330
PKG-013,Bundle 14,2482
PKG-014,Bundle 15,3135
PKG-015,Bundle 16,4444
PKG-016,Bundle 17,4171
PKG-017,Bundle 18,3919
PKG-018,Bundle 19,4735
PKG-019,Bundle 20,1130
PKG-020,Bundle 21,2685
PKG-021,Bundle 22,4380
PKG-022,Bundle 23,1769
PKG-023,Bundle 24,3391
PKG-024,Bundle 25,2515
PKG-025,Bundle 26,4485
PKG-026,Bundle 27,3853
PKG-027,Bundle 28,3433
PKG-028,Bundle 29,2215
PKG-029,Bundle 30,1955
PKG-030,Bundle 31,3324
PKG-031,Bundle 32,2184
PKG-032,Bundle 33,1459
PKG-033,Bundle 34,4385
PKG-034,Bundle 35,1021
PKG-035,Bundle 36,3300
PKG-036,Bundle 37,1747
PKG-037,Bundle 38,3904
PKG-038,Bundle 39,4632
PKG-039,Bundle 40,1474
