pattern_id,item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
0,3857.5340376,4264.0,4264.0,4264.0,4264.0,4264.0,4264.0,4264.0,4264.0,4264.0,4264.0
1,125.76760563,5339.0,5339.0,5339.0,4264.0,5339.0,5339.0,3875.8958001,1218.3024772,2349.7029047,3717.0066721
2,7165.7769953,5997.5298448,4020.0,2551.0705817,7749.0,5950.0,8260.0,4091.5157068,0.0,5954.3061901,3906.0
3,2876.0,2876.0,2876.0,2876.0,2876.0,2876.0,2876.0,2876.0,2876.0,2876.0,2876.0
4,9723.0,0.0,0.0,9723.0,9723.0,9723.0,8445.0,9723.0,0.0,9723.0,7630.8567538
5,7310.0,7310.0,7310.0,7310.0,0.0,0.0,7310.0,0.0,0.0,7310.0,7310.0
6,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0,1529.0
7,1585.0,1585.0,1585.0,1585.0,1585.0,1585.0,1585.0,1585.0,1585.0,1585.0,1585.0
8,2949.0,2949.0,2949.0,2949.0,2949.0,2949.0,2949.0,2949.0,2949.0,2949.0,2949.0
9,7097.0,4194.6948608,7097.0,7097.0,5307.6683033,3402.7992571,7097.0,7097.0,0.0,7097.0,3993.4803922
10,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0
11,6449.0,9402.0,5213.0,5460.1237005,4623.3631424,6449.0,2364.3477082,9402.0,0.0,6019.7713621,0.0
12,4596.07277,8025.0,5205.5725555,6988.5590257,5095.7938067,3647.0,2463.0,141.85254951,2623.8400161,8025.0,996.84041394
13,8037.0,8037.0,0.0,8037.0,8037.0,0.0,8037.0,8037.0,8037.0,0.0,8037.0
14,7123.0,7123.0,3447.1997813,7123.0,7123.0,4517.0858346,7123.0,0.0,7123.0,7123.0,0.0
15,8067.0,4956.3455567,5187.6249609,8067.0,8067.0,0.0,0.0,0.0,3697.4308858,8067.0,0.0
16,5704.0,5704.0,5704.0,5704.0,5704.0,5704.0,2933.0,5704.0,5704.0,5704.0,5704.0
17,1582.0,1582.0,1506.6047419,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0
18,8713.0,0.0,8713.0,4132.4582009,6570.524825,7115.7257058,8713.0,0.0,8713.0,8713.0,7955.7135076
19,9232.0,0.0,9232.0,0.0,9232.0,0.0,9232.0,8172.0,8172.0,9232.0,9232.0
20,3371.0,4450.6085385,4600.0,4035.0,4035.0,3371.0,4600.0,4600.0,4600.0,4600.0,4600.0
21,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0
22,7131.0,2834.0627677,3022.4184269,5161.2867944,5112.4181569,7131.0,6859.5538378,6201.8467448,3993.954677,7131.0,6771.8233932
23,418.3028169,6800.7326017,1444.7264377,4438.6399605,4376.4583031,5896.5208271,2400.0713317,4056.0,9861.0,4486.3993937,425.53118192
24,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0,3647.0
25,5688.4859155,5067.3705835,8494.0,4130.3600395,6202.6957438,8494.0,2923.0,4370.0,8494.0,5761.3993937,2913.3760893
26,7832.5997653,9897.0,0.0,9897.0,0.0,379.40517583,1683.2694603,692.80030731,1978.1561741,3143.4143401,2587.7352941
27,4409.1255869,5880.0,4579.0,5880.0,5880.0,5880.0,5880.0,1252.0,5880.0,4322.1433305,3416.7352941
28,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0
29,2869.0,2869.0,2869.0,2869.0,2869.0,2869.0,2781.1171684,2869.0,2869.0,2869.0,2869.0
30,5410.0,5410.0,5410.0,4453.0,5410.0,5410.0,1920.896664,5410.0,5410.0,5410.0,1867.9586057
31,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0,3948.0
32,6049.0,6049.0,6049.0,6049.0,6049.0,6049.0,6049.0,6049.0,6049.0,6049.0,6049.0
33,9317.0,0.0,9317.0,0.0,9317.0,0.0,9317.0,9317.0,9317.0,0.0,0.0
34,6880.0,6880.0,179.5,1950.0,6880.0,2814.2200099,2633.4930838,4584.1996927,2002.5472941,4666.1862662,6880.0
35,3779.0,3779.0,3779.0,3779.0,3779.0,3779.0,3779.0,3779.0,3779.0,3779.0,3779.0
36,3641.0,3641.0,3641.0,3641.0,3641.0,3641.0,3641.0,3641.0,3641.0,3641.0,3641.0
37,5567.0,4989.1615364,5567.0,5567.0,5567.0,5567.0,5567.0,5567.0,5567.0,5353.0,5567.0
38,2197.0,2197.0,2197.0,2197.0,2197.0,2197.0,2197.0,2197.0,2197.0,2197.0,2197.0
39,2842.0,2842.0,2842.0,2842.0,2842.0,2842.0,2842.0,2842.0,2842.0,2842.0,2842.0
40,4846.0,4846.0,4846.0,4846.0,4846.0,4846.0,4846.0,4846.0,4846.0,4846.0,4846.0
41,4616.0,4616.0,4616.0,4616.0,4386.6285041,4616.0,4616.0,4616.0,4616.0,4616.0,4616.0
42,8807.0,0.0,8807.0,8807.0,0.0,0.0,8807.0,8807.0,8807.0,8807.0,8807.0
43,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0
44,3553.0,3553.0,3553.0,3553.0,3553.0,3553.0,3553.0,3553.0,3553.0,3553.0,3553.0
45,5239.0,5239.0,5239.0,5239.0,5239.0,5239.0,5239.0,5239.0,5239.0,5239.0,5239.0
46,6665.0,6665.0,6665.0,6665.0,6665.0,6665.0,0.0,6665.0,6665.0,6665.0,0.0
47,3257.4906103,6513.6694995,8172.0,0.0,8172.0,5519.3776127,8172.0,8172.0,8172.0,8172.0,8172.0
48,7219.556338,6513.6694995,8425.0,0.0,8425.0,5519.3776127,8425.0,0.0,0.0,8425.0,4380.7073802
49,2536.0,2536.0,2536.0,2536.0,2536.0,2536.0,2536.0,2536.0,2536.0,2536.0,2536.0
50,8013.0,5762.0,0.0,5175.6917691,2922.0679176,2679.7992571,6292.9194467,7163.2213749,5780.0146168,8013.0,5333.267293
51,3541.0,3541.0,3541.0,3541.0,922.71451306,3541.0,3541.0,3541.0,3541.0,3541.0,3541.0
52,8080.0,8080.0,0.0,8080.0,8080.0,0.0,0.0,8080.0,8080.0,8080.0,8080.0
53,5593.0586854,6767.0,4966.4377418,2857.9555159,6767.0,5991.3240713,4602.7549498,3568.8679718,6701.5752929,6767.0,3547.4434913
54,5036.0,5036.0,5036.0,5036.0,5036.0,5036.0,5036.0,5036.0,5036.0,5036.0,5036.0
55,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0
56,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,3895.0,769.38126362
57,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0,4205.0
58,7772.0,7772.0,7772.0,0.0,0.0,7772.0,0.0,7772.0,7772.0,6995.3832487,0.0
59,9326.0,0.0,6887.3290528,2548.0705817,9326.0,9326.0,5781.2161649,0.0,9326.0,9326.0,0.0
60,4757.0,4757.0,1337.1303919,1766.2736704,0.0,0.0,3828.0930296,2546.4977806,4720.6651742,1936.0,1374.3269336
61,5355.0,5355.0,5355.0,5355.0,5355.0,5355.0,5355.0,920.44109948,5355.0,5355.0,5355.0
62,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0,1919.0
63,7510.5774648,7988.4333512,6185.1233268,0.0,5491.8578076,6851.4383853,6803.6804991,0.0,3921.3900634,7066.1811901,1296.5245098
64,7341.0,7341.0,7341.0,7341.0,0.0,0.0,7341.0,6295.6057364,0.0,7341.0,0.0
65,8541.0,8541.0,0.0,0.0,4655.0,8541.0,4655.0,3195.0,8541.0,4655.0,8541.0
66,8352.0,8352.0,0.0,8352.0,0.0,8352.0,0.0,0.0,8352.0,8352.0,8352.0
