source,target,var_cost_fwd,fixed_cost_fwd,var_cost_bwd,fixed_cost_bwd
0,1,0.0,40.0,0.0,40.0
0,20,0.0,5.0,0.0,5.0
1,2,0.0,1.0,0.0,1.0
1,21,0.0,4.0,0.0,4.0
2,3,0.0,4.0,0.0,4.0
2,22,0.0,9.0,0.0,9.0
3,4,0.0,4.0,0.0,4.0
3,23,0.0,9.0,0.0,9.0
4,5,0.0,6.0,0.0,6.0
4,24,0.0,6.0,0.0,6.0
5,6,0.0,6.0,0.0,6.0
5,25,0.0,6.0,0.0,6.0
6,7,0.0,9.0,0.0,9.0
6,26,0.0,5.0,0.0,5.0
7,8,0.0,8.0,0.0,8.0
7,27,0.0,1.0,0.0,1.0
8,9,0.0,9.0,0.0,9.0
8,28,0.0,6.0,0.0,6.0
9,10,0.0,45.0,0.0,45.0
9,29,0.0,2.0,0.0,2.0
10,11,0.0,39.0,0.0,39.0
10,30,0.0,8.0,0.0,8.0
11,12,0.0,8.0,0.0,8.0
11,31,0.0,40.0,0.0,40.0
12,13,0.0,5.0,0.0,5.0
12,32,0.0,7.0,0.0,7.0
13,14,0.0,3.0,0.0,3.0
13,33,0.0,41.0,0.0,41.0
14,15,0.0,9.0,0.0,9.0
14,34,0.0,8.0,0.0,8.0
15,16,0.0,9.0,0.0,9.0
15,35,0.0,8.0,0.0,8.0
16,17,0.0,7.0,0.0,7.0
16,36,0.0,8.0,0.0,8.0
17,18,0.0,38.0,0.0,38.0
17,37,0.0,7.0,0.0,7.0
18,19,0.0,7.0,0.0,7.0
18,38,0.0,37.0,0.0,37.0
19,39,0.0,9.0,0.0,9.0
20,21,0.0,6.0,0.0,6.0
20,40,0.0,7.0,0.0,7.0
21,22,0.0,8.0,0.0,8.0
21,41,0.0,8.0,0.0,8.0
22,23,0.0,6.0,0.0,6.0
22,42,0.0,8.0,0.0,8.0
23,24,0.0,4.0,0.0,4.0
23,43,0.0,5.0,0.0,5.0
24,25,0.0,42.0,0.0,42.0
24,44,0.0,44.0,0.0,44.0
25,26,0.0,5.0,0.0,5.0
25,45,0.0,5.0,0.0,5.0
26,27,0.0,8.0,0.0,8.0
26,46,0.0,4.0,0.0,4.0
27,28,0.0,3.0,0.0,3.0
27,47,0.0,4.0,0.0,4.0
28,29,0.0,8.0,0.0,8.0
28,48,0.0,2.0,0.0,2.0
29,30,0.0,4.0,0.0,4.0
29,49,0.0,6.0,0.0,6.0
30,31,0.0,7.0,0.0,7.0
30,50,0.0,5.0,0.0,5.0
31,32,0.0,45.0,0.0,45.0
31,51,0.0,44.0,0.0,44.0
32,33,0.0,41.0,0.0,41.0
32,52,0.0,43.0,0.0,43.0
33,34,0.0,9.0,0.0,9.0
33,53,0.0,38.0,0.0,38.0
34,35,0.0,3.0,0.0,3.0
34,54,0.0,1.0,0.0,1.0
35,36,0.0,7.0,0.0,7.0
35,55,0.0,8.0,0.0,8.0
36,37,0.0,3.0,0.0,3.0
36,56,0.0,42.0,0.0,42.0
37,38,0.0,2.0,0.0,2.0
37,57,0.0,6.0,0.0,6.0
38,39,0.0,3.0,0.0,3.0
38,58,0.0,3.0,0.0,3.0
39,59,0.0,8.0,0.0,8.0
40,41,0.0,4.0,0.0,4.0
40,60,0.0,43.0,0.0,43.0
41,42,0.0,6.0,0.0,6.0
41,61,0.0,7.0,0.0,7.0
42,43,0.0,6.0,0.0,6.0
42,62,0.0,1.0,0.0,1.0
43,44,0.0,44.0,0.0,44.0
43,63,0.0,40.0,0.0,40.0
44,45,0.0,6.0,0.0,6.0
44,64,0.0,3.0,0.0,3.0
45,46,0.0,4.0,0.0,4.0
45,65,0.0,4.0,0.0,4.0
46,47,0.0,4.0,0.0,4.0
46,66,0.0,7.0,0.0,7.0
47,48,0.0,1.0,0.0,1.0
47,67,0.0,41.0,0.0,41.0
48,49,0.0,6.0,0.0,6.0
48,68,0.0,5.0,0.0,5.0
49,50,0.0,4.0,0.0,4.0
49,69,0.0,5.0,0.0,5.0
50,51,0.0,44.0,0.0,44.0
50,70,0.0,44.0,0.0,44.0
51,52,0.0,41.0,0.0,41.0
51,71,0.0,6.0,0.0,6.0
52,53,0.0,38.0,0.0,38.0
52,72,0.0,8.0,0.0,8.0
53,54,0.0,5.0,0.0,5.0
53,73,0.0,40.0,0.0,40.0
54,55,0.0,2.0,0.0,2.0
54,74,0.0,4.0,0.0,4.0
55,56,0.0,9.0,0.0,9.0
55,75,0.0,2.0,0.0,2.0
56,57,0.0,7.0,0.0,7.0
56,76,0.0,39.0,0.0,39.0
57,58,0.0,1.0,0.0,1.0
57,77,0.0,8.0,0.0,8.0
58,59,0.0,9.0,0.0,9.0
58,78,0.0,3.0,0.0,3.0
59,79,0.0,2.0,0.0,2.0
60,61,0.0,37.0,0.0,37.0
60,80,0.0,37.0,0.0,37.0
61,62,0.0,43.0,0.0,43.0
61,81,0.0,3.0,0.0,3.0
62,63,0.0,43.0,0.0,43.0
62,82,0.0,9.0,0.0,9.0
63,64,0.0,1.0,0.0,1.0
63,83,0.0,45.0,0.0,45.0
64,65,0.0,1.0,0.0,1.0
64,84,0.0,1.0,0.0,1.0
65,66,0.0,2.0,0.0,2.0
65,85,0.0,39.0,0.0,39.0
66,67,0.0,6.0,0.0,6.0
66,86,0.0,6.0,0.0,6.0
67,68,0.0,9.0,0.0,9.0
67,87,0.0,9.0,0.0,9.0
68,69,0.0,9.0,0.0,9.0
68,88,0.0,4.0,0.0,4.0
69,70,0.0,3.0,0.0,3.0
69,89,0.0,3.0,0.0,3.0
70,71,0.0,1.0,0.0,1.0
70,90,0.0,1.0,0.0,1.0
