id,lab_value,lab_load,base_capacity
1,864.0,1100.0,993.0
2,862.0,1200.0,963.0
3,1285.0,1500.0,969.0
4,1244.0,1500.0,953.0
5,1237.0,1700.0,955.0
6,998.0,1100.0,971.0
7,676.0,1100.0,999.0
8,1143.0,1600.0,969.0
9,1003.0,1200.0,993.0
10,1226.0,1500.0,953.0
11,1054.0,1100.0,981.0
12,944.0,1300.0,997.0
13,1498.0,1800.0,981.0
14,1468.0,1700.0,971.0
15,976.0,1200.0,971.0
16,1258.0,1400.0,983.0
17,1141.0,1600.0,971.0
18,1198.0,1300.0,997.0
19,1077.0,1200.0,959.0
20,1119.0,1400.0,985.0
21,843.0,1200.0,959.0
22,1044.0,1200.0,963.0
23,1260.0,1300.0,977.0
24,1795.0,1800.0,959.0
25,875.0,1100.0,987.0
26,1462.0,1500.0,963.0
27,748.0,1100.0,999.0
28,1291.0,1700.0,985.0
29,1656.0,1700.0,989.0
30,878.0,1300.0,959.0
31,654.0,1100.0,989.0
32,1324.0,1700.0,999.0
33,979.0,1100.0,953.0
34,878.0,1200.0,965.0
35,876.0,1000.0,969.0
36,1007.0,1400.0,981.0
37,1757.0,1800.0,957.0
38,1282.0,1500.0,997.0
39,1123.0,1300.0,951.0
40,1155.0,1300.0,971.0
41,1276.0,1700.0,993.0
42,1047.0,1400.0,965.0
43,1187.0,1500.0,955.0
44,991.0,1000.0,983.0
45,882.0,1200.0,995.0
46,1014.0,1200.0,959.0
47,1097.0,1100.0,993.0
48,1557.0,1600.0,975.0
49,1460.0,1700.0,977.0
50,1075.0,1200.0,991.0
51,1106.0,1500.0,975.0
52,1135.0,1500.0,983.0
53,1382.0,1400.0,961.0
54,1219.0,1300.0,985.0
55,646.0,1000.0,981.0
56,667.0,1000.0,977.0
57,1288.0,1400.0,995.0
58,964.0,1400.0,981.0
59,1206.0,1500.0,967.0
60,1262.0,1700.0,977.0
61,1583.0,1800.0,989.0
62,1146.0,1300.0,989.0
63,1399.0,1400.0,977.0
64,756.0,1100.0,955.0
65,1186.0,1200.0,993.0
66,1541.0,1600.0,999.0
67,1189.0,1500.0,989.0
68,1291.0,1500.0,965.0
69,721.0,1100.0,959.0
70,1522.0,1700.0,973.0
71,1046.0,1100.0,995.0
72,1075.0,1100.0,957.0
73,1397.0,1600.0,971.0
74,1072.0,1400.0,975.0
75,1145.0,1600.0,961.0
