Constraint_ID,Limit_Value,Channel_IDs
R0001,4.0,"['C0001', 'C0007', 'C0025', 'C0037', 'C0073', 'C0085', 'C0103']"
R0002,4.0,"['C0002', 'C0008', 'C0026', 'C0038', 'C0074', 'C0086', 'C0104']"
R0003,4.0,"['C0003', 'C0009', 'C0027', 'C0039', 'C0075', 'C0087', 'C0105']"
R0004,4.0,"['C0004', 'C0010', 'C0028', 'C0040', 'C0076', 'C0088', 'C0106']"
R0005,4.0,"['C0005', 'C0011', 'C0029', 'C0041', 'C0077', 'C0089', 'C0107']"
R0006,4.0,"['C0006', 'C0012', 'C0030', 'C0042', 'C0078', 'C0090', 'C0108']"
R0007,4.0,"['C0001', 'C0007', 'C0025', 'C0043', 'C0073', 'C0085', 'C0103']"
R0008,4.0,"['C0002', 'C0008', 'C0026', 'C0044', 'C0074', 'C0086', 'C0104']"
R0009,4.0,"['C0003', 'C0009', 'C0027', 'C0045', 'C0075', 'C0087', 'C0105']"
R0010,4.0,"['C0004', 'C0010', 'C0028', 'C0046', 'C0076', 'C0088', 'C0106']"
R0011,4.0,"['C0005', 'C0011', 'C0029', 'C0047', 'C0077', 'C0089', 'C0107']"
R0012,4.0,"['C0006', 'C0012', 'C0030', 'C0048', 'C0078', 'C0090', 'C0108']"
R0013,4.0,"['C0001', 'C0007', 'C0031', 'C0037', 'C0073', 'C0085', 'C0103']"
R0014,4.0,"['C0002', 'C0008', 'C0032', 'C0038', 'C0074', 'C0086', 'C0104']"
R0015,4.0,"['C0003', 'C0009', 'C0033', 'C0039', 'C0075', 'C0087', 'C0105']"
R0016,4.0,"['C0004', 'C0010', 'C0034', 'C0040', 'C0076', 'C0088', 'C0106']"
R0017,4.0,"['C0005', 'C0011', 'C0035', 'C0041', 'C0077', 'C0089', 'C0107']"
R0018,4.0,"['C0006', 'C0012', 'C0036', 'C0042', 'C0078', 'C0090', 'C0108']"
R0019,4.0,"['C0001', 'C0007', 'C0031', 'C0043', 'C0073', 'C0085', 'C0103']"
R0020,4.0,"['C0002', 'C0008', 'C0032', 'C0044', 'C0074', 'C0086', 'C0104']"
R0021,4.0,"['C0003', 'C0009', 'C0033', 'C0045', 'C0075', 'C0087', 'C0105']"
R0022,4.0,"['C0004', 'C0010', 'C0034', 'C0046', 'C0076', 'C0088', 'C0106']"
R0023,4.0,"['C0005', 'C0011', 'C0035', 'C0047', 'C0077', 'C0089', 'C0107']"
R0024,4.0,"['C0006', 'C0012', 'C0036', 'C0048', 'C0078', 'C0090', 'C0108']"
R0025,4.0,"['C0007', 'C0013', 'C0025', 'C0037', 'C0073', 'C0079', 'C0085', 'C0103']"
R0026,4.0,"['C0008', 'C0014', 'C0026', 'C0038', 'C0074', 'C0080', 'C0086', 'C0104']"
R0027,4.0,"['C0009', 'C0015', 'C0027', 'C0039', 'C0075', 'C0081', 'C0087', 'C0105']"
R0028,4.0,"['C0010', 'C0016', 'C0028', 'C0040', 'C0076', 'C0082', 'C0088', 'C0106']"
R0029,4.0,"['C0011', 'C0017', 'C0029', 'C0041', 'C0077', 'C0083', 'C0089', 'C0107']"
R0030,4.0,"['C0012', 'C0018', 'C0030', 'C0042', 'C0078', 'C0084', 'C0090', 'C0108']"
R0031,4.0,"['C0007', 'C0013', 'C0025', 'C0043', 'C0073', 'C0079', 'C0085', 'C0103']"
