Channel_ID,Max_Power
C0001,3.0
C0002,3.0
C0003,3.0
C0004,3.0
C0005,3.0
C0006,3.0
C0007,3.0
C0008,3.0
C0009,3.0
C0010,3.0
C0011,3.0
C0012,3.0
C0013,3.0
C0014,3.0
C0015,3.0
C0016,3.0
C0017,3.0
C0018,3.0
C0019,3.0
C0020,3.0
C0021,3.0
C0022,3.0
C0023,3.0
C0024,3.0
C0025,3.0
C0026,3.0
C0027,3.0
C0028,3.0
C0029,3.0
C0030,3.0
C0031,3.0
C0032,3.0
C0033,3.0
C0034,3.0
C0035,3.0
C0036,3.0
C0037,3.0
C0038,3.0
C0039,3.0
C0040,3.0
C0041,3.0
C0042,3.0
C0043,3.0
C0044,3.0
C0045,3.0
C0046,3.0
C0047,3.0
C0048,3.0
C0049,3.0
C0050,3.0
C0051,3.0
C0052,3.0
C0053,3.0
C0054,3.0
C0055,3.0
C0056,3.0
C0057,3.0
C0058,3.0
C0059,3.0
C0060,3.0
C0061,3.0
C0062,3.0
C0063,3.0
C0064,3.0
C0065,3.0
C0066,3.0
C0067,3.0
C0068,3.0
C0069,3.0
C0070,3.0
C0071,3.0
C0072,3.0
C0073,3.0
C0074,3.0
C0075,3.0
C0076,3.0
C0077,3.0
C0078,3.0
C0079,3.0
C0080,3.0
C0081,3.0
C0082,3.0
C0083,3.0
C0084,3.0
C0085,3.0
C0086,3.0
C0087,3.0
C0088,3.0
C0089,3.0
C0090,3.0
C0091,3.0
C0092,3.0
C0093,3.0
C0094,3.0
C0095,3.0
C0096,3.0
C0097,3.0
C0098,3.0
C0099,3.0
C0100,3.0
C0101,3.0
C0102,3.0
C0103,3.0
C0104,3.0
C0105,3.0
C0106,3.0
C0107,3.0
C0108,3.0
C0109,3.0
C0110,3.0
C0111,3.0
C0112,3.0
C0113,3.0
C0114,3.0
C0115,3.0
C0116,3.0
C0117,3.0
C0118,3.0
C0119,3.0
C0120,3.0
C0121,3.0
C0122,3.0
C0123,3.0
C0124,3.0
C0125,3.0
C0126,3.0
C0127,3.0
C0128,3.0
C0129,3.0
C0130,3.0
C0131,3.0
C0132,3.0
C0133,3.0
C0134,3.0
C0135,3.0
C0136,3.0
C0137,3.0
C0138,3.0
C0139,3.0
C0140,3.0
C0141,3.0
C0142,3.0
C0143,3.0
C0144,3.0
C0145,3.0
C0146,3.0
C0147,3.0
C0148,3.0
C0149,3.0
C0150,3.0
C0151,3.0
C0152,3.0
C0153,3.0
C0154,3.0
C0155,3.0
C0156,3.0
