Master_Channel_ID,Slave_Channel_IDs
C0001,"['C0025', 'C0031', 'C0085', 'C0103']"
C0002,"['C0026', 'C0032', 'C0086', 'C0104']"
C0003,"['C0027', 'C0033', 'C0087', 'C0105']"
C0004,"['C0028', 'C0034', 'C0088', 'C0106']"
C0005,"['C0029', 'C0035', 'C0089', 'C0107']"
C0006,"['C0030', 'C0036', 'C0090', 'C0108']"
C0007,"['C0001', 'C0013', 'C0019', 'C0025', 'C0031', 'C0037', 'C0073', 'C0079', 'C0091', 'C0097', 'C0103', 'C0109']"
C0008,"['C0002', 'C0014', 'C0020', 'C0026', 'C0032', 'C0038', 'C0074', 'C0080', 'C0092', 'C0098', 'C0104', 'C0110']"
C0009,"['C0003', 'C0015', 'C0021', 'C0027', 'C0033', 'C0039', 'C0075', 'C0081', 'C0093', 'C0099', 'C0105', 'C0111']"
C0010,"['C0004', 'C0016', 'C0022', 'C0028', 'C0034', 'C0040', 'C0076', 'C0082', 'C0094', 'C0100', 'C0106', 'C0112']"
C0011,"['C0005', 'C0017', 'C0023', 'C0029', 'C0035', 'C0041', 'C0077', 'C0083', 'C0095', 'C0101', 'C0107', 'C0113']"
C0012,"['C0006', 'C0018', 'C0024', 'C0030', 'C0036', 'C0042', 'C0078', 'C0084', 'C0096', 'C0102', 'C0108', 'C0114']"
C0013,"['C0007', 'C0037', 'C0043', 'C0073', 'C0079', 'C0085', 'C0091', 'C0097', 'C0103']"
C0014,"['C0008', 'C0038', 'C0044', 'C0074', 'C0080', 'C0086', 'C0092', 'C0098', 'C0104']"
C0015,"['C0009', 'C0039', 'C0045', 'C0075', 'C0081', 'C0087', 'C0093', 'C0099', 'C0105']"
C0016,"['C0010', 'C0040', 'C0046', 'C0076', 'C0082', 'C0088', 'C0094', 'C0100', 'C0106']"
C0017,"['C0011', 'C0041', 'C0047', 'C0077', 'C0083', 'C0089', 'C0095', 'C0101', 'C0107']"
C0018,"['C0012', 'C0042', 'C0048', 'C0078', 'C0084', 'C0090', 'C0096', 'C0102', 'C0108']"
C0019,"['C0025', 'C0031', 'C0043', 'C0073', 'C0085', 'C0091', 'C0097']"
C0020,"['C0026', 'C0032', 'C0044', 'C0074', 'C0086', 'C0092', 'C0098']"
C0021,"['C0027', 'C0033', 'C0045', 'C0075', 'C0087', 'C0093', 'C0099']"
C0022,"['C0028', 'C0034', 'C0046', 'C0076', 'C0088', 'C0094', 'C0100']"
C0023,"['C0029', 'C0035', 'C0047', 'C0077', 'C0089', 'C0095', 'C0101']"
C0024,"['C0030', 'C0036', 'C0048', 'C0078', 'C0090', 'C0096', 'C0102']"
C0025,"['C0001', 'C0013', 'C0019', 'C0079', 'C0085']"
C0026,"['C0002', 'C0014', 'C0020', 'C0080', 'C0086']"
C0027,"['C0003', 'C0015', 'C0021', 'C0081', 'C0087']"
C0028,"['C0004', 'C0016', 'C0022', 'C0082', 'C0088']"
C0029,"['C0005', 'C0017', 'C0023', 'C0083', 'C0089']"
C0030,"['C0006', 'C0018', 'C0024', 'C0084', 'C0090']"
C0031,"['C0001', 'C0007', 'C0013', 'C0019', 'C0079', 'C0085', 'C0091', 'C0097']"
C0032,"['C0002', 'C0008', 'C0014', 'C0020', 'C0080', 'C0086', 'C0092', 'C0098']"
C0033,"['C0003', 'C0009', 'C0015', 'C0021', 'C0081', 'C0087', 'C0093', 'C0099']"
C0034,"['C0004', 'C0010', 'C0016', 'C0022', 'C0082', 'C0088', 'C0094', 'C0100']"
C0035,"['C0005', 'C0011', 'C0017', 'C0023', 'C0083', 'C0089', 'C0095', 'C0101']"
C0036,"['C0006', 'C0012', 'C0018', 'C0024', 'C0084', 'C0090', 'C0096', 'C0102']"
C0037,"['C0001', 'C0013', 'C0025', 'C0031', 'C0073', 'C0085', 'C0091', 'C0097']"
C0038,"['C0002', 'C0014', 'C0026', 'C0032', 'C0074', 'C0086', 'C0092', 'C0098']"
