Constraint_Group_Type,Period_ID,Variable_Name,Coefficient
Resource,1,C0001,0.08
Resource,1,C0007,0.088
Resource,1,C0014,0.0968
Resource,1,C0022,0.10648
Resource,1,C0031,0.117128
Resource,1,C0041,0.1288408
Resource,1,C0052,0.14172488
Resource,1,C0064,-0.8
Resource,1,C0128,1.0
Resource,1,C0134,0.5
Resource,1,C0149,0.4
Resource,1,C0164,0.15
Resource,1,C0179,0.165
Resource,1,C0194,0.1815
Resource,1,C0209,0.19965
Resource,1,C0224,0.219615
Resource,1,C0239,0.2415765
Resource,1,C0254,0.26573415
Resource,1,C0311,-1.6
Resource,1,C0327,-1.36
Resource,1,C0343,-1.156
Resource,1,C0359,-0.9826
Resource,1,C0375,-0.83521
Resource,1,C0391,-0.7099285
Resource,1,C0431,-0.68
Resource,1,C0440,-0.578
Resource,1,C0448,-0.4913
Resource,1,C0455,-0.417605
Resource,1,C0461,-0.35496425
Resource,1,C0469,2.0
Resource,2,C0002,0.08
Resource,2,C0008,0.088
Resource,2,C0015,0.0968
Resource,2,C0023,0.10648
Resource,2,C0032,0.117128
Resource,2,C0042,0.1288408
Resource,2,C0053,0.14172488
Resource,2,C0065,-0.808
Resource,2,C0071,-0.6868
Resource,2,C0078,-0.58378
Resource,2,C0086,-0.496213
Resource,2,C0095,-0.42178105
Resource,2,C0105,-0.358513893
Resource,2,C0116,-0.304736809
Resource,2,C0129,1.01
Resource,2,C0135,0.55
Resource,2,C0150,0.44
Resource,2,C0165,0.15
Resource,2,C0180,0.165
Resource,2,C0195,0.1815
Resource,2,C0210,0.19965
Resource,2,C0225,0.219615
Resource,2,C0240,0.2415765
Resource,2,C0255,0.26573415
Resource,2,C0312,-1.616
Resource,2,C0328,-1.3736
Resource,2,C0344,-1.16756
Resource,2,C0360,-0.992426
Resource,2,C0376,-0.8435621
Resource,2,C0392,-0.717027785
Resource,2,C0407,-0.609473617
Resource,2,C0470,2.02
Resource,3,C0003,0.08
Resource,3,C0009,0.088
Resource,3,C0016,0.0968
Resource,3,C0024,0.10648
Resource,3,C0033,0.117128
Resource,3,C0043,0.1288408
