Logic_Constraint_ID,Variable_Name,Coefficient,RHS_Value,Sense
61,C0179,1.0,4.0,=
61,C0311,1.0,4.0,=
62,C0194,1.0,5.0,=
62,C0327,1.0,5.0,=
63,C0209,1.0,5.0,=
63,C0343,1.0,5.0,=
64,C0224,1.0,6.0,=
64,C0359,1.0,6.0,=
65,C0239,1.0,6.0,=
65,C0375,1.0,6.0,=
66,C0254,1.0,8.0,=
66,C0391,1.0,8.0,=
67,C0007,1.0,1.0,=
67,C0064,1.0,1.0,=
68,C0014,1.0,2.0,=
68,C0431,1.0,2.0,=
69,C0022,1.0,2.0,=
69,C0440,1.0,2.0,=
70,C0031,1.0,3.0,=
70,C0448,1.0,3.0,=
71,C0041,1.0,3.0,=
71,C0455,1.0,3.0,=
72,C0052,1.0,5.0,=
72,C0461,1.0,5.0,=
73,C0164,1.0,0.0,=
73,C0180,-1.0,0.0,=
73,C0312,-1.0,0.0,=
74,C0165,1.0,0.0,=
74,C0181,-1.0,0.0,=
74,C0313,-1.0,0.0,=
75,C0166,1.0,0.0,=
75,C0182,-1.0,0.0,=
75,C0314,-1.0,0.0,=
76,C0167,1.0,0.0,=
76,C0183,-1.0,0.0,=
76,C0315,-1.0,0.0,=
77,C0168,1.0,0.0,=
77,C0184,-1.0,0.0,=
77,C0316,-1.0,0.0,=
78,C0169,1.0,0.0,=
78,C0185,-1.0,0.0,=
78,C0317,-1.0,0.0,=
79,C0170,1.0,0.0,=
79,C0186,-1.0,0.0,=
79,C0318,-1.0,0.0,=
80,C0171,1.0,0.0,=
80,C0187,-1.0,0.0,=
80,C0319,-1.0,0.0,=
81,C0172,1.0,0.0,=
81,C0188,-1.0,0.0,=
81,C0320,-1.0,0.0,=
82,C0173,1.0,0.0,=
82,C0189,-1.0,0.0,=
82,C0321,-1.0,0.0,=
83,C0174,1.0,0.0,=
83,C0190,-1.0,0.0,=
83,C0322,-1.0,0.0,=
84,C0175,1.0,0.0,=
84,C0191,-1.0,0.0,=
84,C0323,-1.0,0.0,=
85,C0176,1.0,0.0,=
85,C0192,-1.0,0.0,=
85,C0324,-1.0,0.0,=
86,C0177,1.0,0.0,=
86,C0193,-1.0,0.0,=
86,C0325,-1.0,0.0,=
87,C0179,1.0,0.0,=
87,C0195,-1.0,0.0,=
87,C0328,-1.0,0.0,=
88,C0180,1.0,0.0,=
88,C0196,-1.0,0.0,=
88,C0329,-1.0,0.0,=
89,C0181,1.0,0.0,=
89,C0197,-1.0,0.0,=
89,C0330,-1.0,0.0,=
90,C0182,1.0,0.0,=
90,C0198,-1.0,0.0,=
90,C0331,-1.0,0.0,=
91,C0183,1.0,0.0,=
91,C0199,-1.0,0.0,=
91,C0332,-1.0,0.0,=
92,C0184,1.0,0.0,=
92,C0200,-1.0,0.0,=
92,C0333,-1.0,0.0,=
93,C0185,1.0,0.0,=
93,C0201,-1.0,0.0,=
93,C0334,-1.0,0.0,=
94,C0186,1.0,0.0,=
94,C0202,-1.0,0.0,=
94,C0335,-1.0,0.0,=
95,C0187,1.0,0.0,=
95,C0203,-1.0,0.0,=
95,C0336,-1.0,0.0,=
96,C0188,1.0,0.0,=
96,C0204,-1.0,0.0,=
96,C0337,-1.0,0.0,=
97,C0189,1.0,0.0,=
97,C0205,-1.0,0.0,=
97,C0338,-1.0,0.0,=
98,C0190,1.0,0.0,=
98,C0206,-1.0,0.0,=
98,C0339,-1.0,0.0,=
99,C0191,1.0,0.0,=
99,C0207,-1.0,0.0,=
99,C0340,-1.0,0.0,=
100,C0192,1.0,0.0,=
100,C0208,-1.0,0.0,=
100,C0341,-1.0,0.0,=
101,C0194,1.0,0.0,=
101,C0210,-1.0,0.0,=
