Variable_Name,Variable_Type,Lower_Bound,Upper_Bound,Objective_Coefficient
C0001,Integer,0.0,1.0,0.0
C0002,Integer,0.0,1.0,0.0
C0003,Integer,0.0,1.0,0.0
C0004,Integer,0.0,1.0,0.0
C0005,Integer,0.0,1.0,0.0
C0006,Integer,0.0,1.0,0.0
C0007,Integer,0.0,1.0,0.0
C0008,Integer,0.0,1.0,0.0
C0009,Integer,0.0,1.0,0.0
C0010,Integer,0.0,1.0,0.0
C0011,Integer,0.0,1.0,0.0
C0012,Integer,0.0,1.0,0.0
C0013,Integer,0.0,1.0,0.0
C0014,Integer,0.0,1.0,0.0
C0015,Integer,0.0,1.0,0.0
C0016,Integer,0.0,1.0,0.0
C0017,Integer,0.0,1.0,0.0
C0018,Integer,0.0,1.0,0.0
C0019,Integer,0.0,1.0,0.0
C0020,Integer,0.0,1.0,0.0
C0021,Integer,0.0,1.0,0.0
C0022,Integer,0.0,1.0,0.0
C0023,Integer,0.0,1.0,0.0
C0024,Integer,0.0,1.0,0.0
C0025,Integer,0.0,1.0,0.0
C0026,Integer,0.0,1.0,0.0
C0027,Integer,0.0,1.0,0.0
C0028,Integer,0.0,1.0,0.0
C0029,Integer,0.0,1.0,0.0
C0030,Integer,0.0,1.0,0.0
C0031,Integer,0.0,1.0,0.0
C0032,Integer,0.0,1.0,0.0
C0033,Integer,0.0,1.0,0.0
C0034,Integer,0.0,1.0,0.0
C0035,Integer,0.0,1.0,0.0
C0036,Integer,0.0,1.0,0.0
C0037,Integer,0.0,1.0,0.0
C0038,Integer,0.0,1.0,0.0
C0039,Integer,0.0,1.0,0.0
C0040,Integer,0.0,1.0,0.0
C0041,Integer,0.0,1.0,0.0
C0042,Integer,0.0,1.0,0.0
C0043,Integer,0.0,1.0,0.0
C0044,Integer,0.0,1.0,0.0
C0045,Integer,0.0,1.0,0.0
C0046,Integer,0.0,1.0,0.0
C0047,Integer,0.0,1.0,0.0
C0048,Integer,0.0,1.0,0.0
C0049,Integer,0.0,1.0,0.0
C0050,Integer,0.0,1.0,0.0
C0051,Integer,0.0,1.0,0.0
C0052,Integer,0.0,1.0,0.0
C0053,Integer,0.0,1.0,0.0
C0054,Integer,0.0,1.0,0.0
C0055,Integer,0.0,1.0,0.0
C0056,Integer,0.0,1.0,0.0
C0057,Integer,0.0,1.0,0.0
C0058,Integer,0.0,1.0,0.0
C0059,Integer,0.0,1.0,0.0
C0060,Integer,0.0,1.0,0.0
C0061,Integer,0.0,1.0,0.0
C0062,Integer,0.0,1.0,0.0
C0063,Integer,0.0,1.0,0.0
C0064,Integer,0.0,1.0,0.0
C0065,Integer,0.0,1.0,0.0
C0066,Integer,0.0,1.0,0.0
C0067,Integer,0.0,1.0,0.0
C0068,Integer,0.0,1.0,0.0
C0069,Integer,0.0,1.0,0.0
C0070,Integer,0.0,1.0,0.0
C0071,Integer,0.0,1.0,0.0
C0072,Integer,0.0,1.0,0.0
C0073,Integer,0.0,1.0,0.0
C0074,Integer,0.0,1.0,0.0
C0075,Integer,0.0,1.0,0.0
C0076,Integer,0.0,1.0,0.0
C0077,Integer,0.0,1.0,0.0
C0078,Integer,0.0,1.0,0.0
C0079,Integer,0.0,1.0,0.0
C0080,Integer,0.0,1.0,0.0
C0081,Integer,0.0,1.0,0.0
C0082,Integer,0.0,1.0,0.0
C0083,Integer,0.0,1.0,0.0
C0084,Integer,0.0,1.0,0.0
C0085,Integer,0.0,1.0,0.0
C0086,Integer,0.0,1.0,0.0
C0087,Integer,0.0,1.0,0.0
C0088,Integer,0.0,1.0,0.0
C0089,Integer,0.0,1.0,0.0
C0090,Integer,0.0,1.0,0.0
C0091,Integer,0.0,1.0,0.0
C0092,Integer,0.0,1.0,0.0
C0093,Integer,0.0,1.0,0.0
C0094,Integer,0.0,1.0,0.0
C0095,Integer,0.0,1.0,0.0
C0096,Integer,0.0,1.0,0.0
C0097,Integer,0.0,1.0,0.0
C0098,Integer,0.0,1.0,0.0
C0099,Integer,0.0,1.0,0.0
C0100,Integer,0.0,1.0,0.0
C0101,Integer,0.0,1.0,0.0
C0102,Integer,0.0,1.0,0.0
C0103,Integer,0.0,1.0,0.0
C0104,Integer,0.0,1.0,0.0
C0105,Integer,0.0,1.0,0.0
C0106,Integer,0.0,1.0,0.0
C0107,Integer,0.0,1.0,0.0
C0108,Integer,0.0,1.0,0.0
C0109,Integer,0.0,1.0,0.0
C0110,Integer,0.0,1.0,0.0
C0111,Integer,0.0,1.0,0.0
C0112,Integer,0.0,1.0,0.0
C0113,Integer,0.0,1.0,0.0
C0114,Integer,0.0,1.0,0.0
C0115,Integer,0.0,1.0,0.0
C0116,Integer,0.0,1.0,0.0
C0117,Integer,0.0,1.0,0.0
C0118,Integer,0.0,1.0,0.0
C0119,Integer,0.0,1.0,0.0
C0120,Integer,0.0,1.0,0.0
C0121,Integer,0.0,1.0,0.0
C0122,Integer,0.0,1.0,0.0
C0123,Integer,0.0,1.0,0.0
C0124,Integer,0.0,1.0,0.0
C0125,Integer,0.0,1.0,0.0
C0126,Integer,0.0,1.0,0.0
C0127,Integer,0.0,1.0,0.0
C0128,Integer,0.0,1.0,0.0
C0129,Integer,0.0,1.0,0.0
C0130,Integer,0.0,1.0,0.0
C0131,Integer,0.0,1.0,0.0
C0132,Integer,0.0,1.0,0.0
C0133,Integer,0.0,1.0,0.0
C0134,Integer,0.0,1.0,0.0
C0135,Integer,0.0,1.0,0.0
C0136,Integer,0.0,1.0,0.0
C0137,Integer,0.0,1.0,0.0
C0138,Integer,0.0,1.0,0.0
C0139,Integer,0.0,1.0,0.0
C0140,Integer,0.0,1.0,0.0
C0141,Integer,0.0,1.0,0.0
C0142,Integer,0.0,1.0,0.0
C0143,Integer,0.0,1.0,0.0
C0144,Integer,0.0,1.0,0.0
C0145,Integer,0.0,1.0,0.0
C0146,Integer,0.0,1.0,0.0
C0147,Integer,0.0,1.0,0.0
C0148,Integer,0.0,1.0,0.0
C0149,Integer,0.0,1.0,0.0
C0150,Integer,0.0,1.0,0.0
C0151,Integer,0.0,1.0,0.0
C0152,Integer,0.0,1.0,0.0
C0153,Integer,0.0,1.0,0.0
C0154,Integer,0.0,1.0,0.0
C0155,Integer,0.0,1.0,0.0
C0156,Integer,0.0,1.0,0.0
C0157,Integer,0.0,1.0,0.0
C0158,Integer,0.0,1.0,0.0
C0159,Integer,0.0,1.0,0.0
C0160,Integer,0.0,1.0,0.0
C0161,Integer,0.0,1.0,0.0
C0162,Integer,0.0,1.0,0.0
C0163,Integer,0.0,1.0,0.0
C0164,Integer,0.0,23.0,0.0
