Period_ID,Resource_Limit_L_t,Cumulative_Demand_D_t,Min_Production_P_min_t,Max_Inventory_I_max_t
1,1.5,7000.0,4000.0,3000.0
2,0.8,7350.0,4200.0,3150.0
3,1.5,7718.0,4410.0,3308.0
4,1.0,8104.0,4631.0,3473.0
5,0.5,8510.0,4863.0,3647.0
6,0.8,8937.0,5107.0,3830.0
7,1.5,9384.0,5363.0,4021.0
8,0.8,9855.0,5632.0,4223.0
9,1.5,10348.0,5914.0,4434.0
10,0.8,10866.0,6210.0,4656.0
11,1.0,11410.0,6521.0,4889.0
12,0.8,11982.0,6848.0,5134.0
13,1.5,12582.0,7191.0,5391.0
14,0.5,13212.0,7551.0,5661.0
15,1.0,13873.0,7929.0,5944.0
