Constraint_Group_Type,Period_ID,Variable_Name,Coefficient
Resource,1,C0001,0.165
Resource,1,C0003,0.19965
Resource,1,C0007,0.2415765
Resource,1,C0010,0.26573415
Resource,1,C0014,0.08
Resource,1,C0020,0.088
Resource,1,C0027,0.0968
Resource,1,C0035,0.10648
Resource,1,C0044,0.117128
Resource,1,C0054,0.1288408
Resource,1,C0065,0.14172488
Resource,1,C0077,-1.6
Resource,1,C0079,-1.156
Resource,1,C0083,-0.83521
Resource,1,C0086,-0.7099285
Resource,1,C0157,1.0
Resource,1,C0163,0.5
Resource,1,C0178,0.4
Resource,1,C0193,0.15
Resource,1,C0222,0.1815
Resource,1,C0249,0.219615
Resource,1,C0342,-1.36
Resource,1,C0371,-0.9826
Resource,1,C0421,-0.8
Resource,1,C0431,-0.68
Resource,1,C0440,-0.578
Resource,1,C0448,-0.4913
Resource,1,C0455,-0.417605
Resource,1,C0461,-0.35496425
Resource,1,C0469,2.0
Resource,2,C0002,0.1815
Resource,2,C0005,0.219615
Resource,2,C0011,0.26573415
Resource,2,C0015,0.08
Resource,2,C0021,0.088
Resource,2,C0028,0.0968
Resource,2,C0036,0.10648
Resource,2,C0045,0.117128
Resource,2,C0055,0.1288408
Resource,2,C0066,0.14172488
Resource,2,C0078,-1.3736
Resource,2,C0081,-0.992426
Resource,2,C0087,-0.717027785
Resource,2,C0090,-0.609473617
Resource,2,C0094,-0.808
Resource,2,C0100,-0.6868
Resource,2,C0107,-0.58378
Resource,2,C0115,-0.496213
Resource,2,C0124,-0.42178105
Resource,2,C0134,-0.358513893
Resource,2,C0145,-0.304736809
Resource,2,C0158,1.01
Resource,2,C0164,0.55
Resource,2,C0179,0.44
Resource,2,C0194,0.15
Resource,2,C0208,0.165
Resource,2,C0236,0.19965
Resource,2,C0262,0.2415765
Resource,2,C0327,-1.616
Resource,2,C0357,-1.16756
Resource,2,C0385,-0.8435621
Resource,2,C0470,2.02
Resource,3,C0004,0.19965
Resource,3,C0008,0.2415765
Resource,3,C0016,0.08
Resource,3,C0022,0.088
Resource,3,C0029,0.0968
Resource,3,C0037,0.10648
Resource,3,C0046,0.117128
Resource,3,C0056,0.1288408
Resource,3,C0067,0.14172488
Resource,3,C0080,-1.1792356
Resource,3,C0084,-0.851997721
Resource,3,C0091,-0.615568353
Resource,3,C0095,-0.81608
Resource,3,C0101,-0.693668
Resource,3,C0108,-0.5896178
Resource,3,C0116,-0.50117513
Resource,3,C0125,-0.425998861
Resource,3,C0135,-0.362099031
Resource,3,C0146,-0.307784177
Resource,3,C0159,1.0201
Resource,3,C0165,0.605
Resource,3,C0180,0.484
Resource,3,C0195,0.15
Resource,3,C0209,0.165
Resource,3,C0223,0.1815
Resource,3,C0250,0.219615
Resource,3,C0274,0.26573415
Resource,3,C0328,-1.63216
