Logic_Constraint_ID,Variable_Name,Coefficient,RHS_Value,Sense
61,C0001,1.0,1.0,=
61,C0077,1.0,1.0,=
62,C0222,1.0,2.0,=
62,C0342,1.0,2.0,=
63,C0003,1.0,1.0,=
63,C0079,1.0,1.0,=
64,C0249,1.0,2.0,=
64,C0371,1.0,2.0,=
65,C0007,1.0,1.0,=
65,C0083,1.0,1.0,=
66,C0010,1.0,1.0,=
66,C0086,1.0,1.0,=
67,C0020,1.0,4.0,=
67,C0421,1.0,4.0,=
68,C0027,1.0,6.0,=
68,C0431,1.0,6.0,=
69,C0035,1.0,5.0,=
69,C0440,1.0,5.0,=
70,C0044,1.0,4.0,=
70,C0448,1.0,4.0,=
71,C0054,1.0,2.0,=
71,C0455,1.0,2.0,=
72,C0065,1.0,5.0,=
72,C0461,1.0,5.0,=
73,C0193,1.0,0.0,=
73,C0208,-1.0,0.0,=
73,C0327,-1.0,0.0,=
74,C0194,1.0,0.0,=
74,C0209,-1.0,0.0,=
74,C0328,-1.0,0.0,=
75,C0195,1.0,0.0,=
75,C0210,-1.0,0.0,=
75,C0329,-1.0,0.0,=
76,C0196,1.0,0.0,=
76,C0211,-1.0,0.0,=
76,C0330,-1.0,0.0,=
77,C0197,1.0,0.0,=
77,C0212,-1.0,0.0,=
77,C0331,-1.0,0.0,=
78,C0198,1.0,0.0,=
78,C0213,-1.0,0.0,=
78,C0332,-1.0,0.0,=
79,C0199,1.0,0.0,=
79,C0214,-1.0,0.0,=
79,C0333,-1.0,0.0,=
80,C0200,1.0,0.0,=
80,C0215,-1.0,0.0,=
80,C0334,-1.0,0.0,=
81,C0201,1.0,0.0,=
81,C0216,-1.0,0.0,=
81,C0335,-1.0,0.0,=
82,C0202,1.0,0.0,=
82,C0217,-1.0,0.0,=
82,C0336,-1.0,0.0,=
83,C0203,1.0,0.0,=
83,C0218,-1.0,0.0,=
83,C0337,-1.0,0.0,=
84,C0204,1.0,0.0,=
84,C0219,-1.0,0.0,=
84,C0338,-1.0,0.0,=
85,C0205,1.0,0.0,=
85,C0220,-1.0,0.0,=
85,C0339,-1.0,0.0,=
86,C0206,1.0,0.0,=
86,C0221,-1.0,0.0,=
86,C0340,-1.0,0.0,=
87,C0001,1.0,0.0,=
87,C0002,-1.0,0.0,=
87,C0078,-1.0,0.0,=
88,C0208,1.0,0.0,=
88,C0223,-1.0,0.0,=
88,C0343,-1.0,0.0,=
89,C0209,1.0,0.0,=
89,C0224,-1.0,0.0,=
89,C0344,-1.0,0.0,=
90,C0210,1.0,0.0,=
90,C0225,-1.0,0.0,=
90,C0345,-1.0,0.0,=
91,C0211,1.0,0.0,=
91,C0226,-1.0,0.0,=
91,C0346,-1.0,0.0,=
92,C0212,1.0,0.0,=
92,C0227,-1.0,0.0,=
92,C0347,-1.0,0.0,=
93,C0213,1.0,0.0,=
93,C0228,-1.0,0.0,=
93,C0348,-1.0,0.0,=
94,C0214,1.0,0.0,=
94,C0229,-1.0,0.0,=
94,C0349,-1.0,0.0,=
95,C0215,1.0,0.0,=
95,C0230,-1.0,0.0,=
95,C0350,-1.0,0.0,=
96,C0216,1.0,0.0,=
96,C0231,-1.0,0.0,=
96,C0351,-1.0,0.0,=
97,C0217,1.0,0.0,=
97,C0232,-1.0,0.0,=
97,C0352,-1.0,0.0,=
98,C0218,1.0,0.0,=
98,C0233,-1.0,0.0,=
98,C0353,-1.0,0.0,=
99,C0219,1.0,0.0,=
99,C0234,-1.0,0.0,=
99,C0354,-1.0,0.0,=
100,C0220,1.0,0.0,=
100,C0235,-1.0,0.0,=
100,C0355,-1.0,0.0,=
101,C0222,1.0,0.0,=
101,C0236,-1.0,0.0,=
101,C0357,-1.0,0.0,=
102,C0002,1.0,0.0,=
102,C0004,-1.0,0.0,=
102,C0080,-1.0,0.0,=
103,C0223,1.0,0.0,=
103,C0237,-1.0,0.0,=
103,C0358,-1.0,0.0,=
104,C0224,1.0,0.0,=
104,C0238,-1.0,0.0,=
104,C0359,-1.0,0.0,=
105,C0225,1.0,0.0,=
105,C0239,-1.0,0.0,=
105,C0360,-1.0,0.0,=
106,C0226,1.0,0.0,=
106,C0240,-1.0,0.0,=
106,C0361,-1.0,0.0,=
107,C0227,1.0,0.0,=
107,C0241,-1.0,0.0,=
107,C0362,-1.0,0.0,=
108,C0228,1.0,0.0,=
108,C0242,-1.0,0.0,=
108,C0363,-1.0,0.0,=
109,C0229,1.0,0.0,=
109,C0243,-1.0,0.0,=
109,C0364,-1.0,0.0,=
110,C0230,1.0,0.0,=
110,C0244,-1.0,0.0,=
110,C0365,-1.0,0.0,=
111,C0231,1.0,0.0,=
111,C0245,-1.0,0.0,=
111,C0366,-1.0,0.0,=
112,C0232,1.0,0.0,=
112,C0246,-1.0,0.0,=
112,C0367,-1.0,0.0,=
113,C0233,1.0,0.0,=
113,C0247,-1.0,0.0,=
113,C0368,-1.0,0.0,=
114,C0234,1.0,0.0,=
114,C0248,-1.0,0.0,=
114,C0369,-1.0,0.0,=
115,C0003,1.0,0.0,=
115,C0005,-1.0,0.0,=
115,C0081,-1.0,0.0,=
116,C0236,1.0,0.0,=
116,C0250,-1.0,0.0,=
116,C0372,-1.0,0.0,=
117,C0004,1.0,0.0,=
117,C0006,-1.0,0.0,=
117,C0082,-1.0,0.0,=
118,C0237,1.0,0.0,=
118,C0251,-1.0,0.0,=
118,C0373,-1.0,0.0,=
119,C0238,1.0,0.0,=
119,C0252,-1.0,0.0,=
119,C0374,-1.0,0.0,=
120,C0239,1.0,0.0,=
120,C0253,-1.0,0.0,=
120,C0375,-1.0,0.0,=
121,C0240,1.0,0.0,=
121,C0254,-1.0,0.0,=
121,C0376,-1.0,0.0,=
122,C0241,1.0,0.0,=
122,C0255,-1.0,0.0,=
122,C0377,-1.0,0.0,=
123,C0242,1.0,0.0,=
123,C0256,-1.0,0.0,=
123,C0378,-1.0,0.0,=
124,C0243,1.0,0.0,=
124,C0257,-1.0,0.0,=
124,C0379,-1.0,0.0,=
125,C0244,1.0,0.0,=
125,C0258,-1.0,0.0,=
125,C0380,-1.0,0.0,=
126,C0245,1.0,0.0,=
126,C0259,-1.0,0.0,=
126,C0381,-1.0,0.0,=
127,C0246,1.0,0.0,=
127,C0260,-1.0,0.0,=
127,C0382,-1.0,0.0,=
128,C0247,1.0,0.0,=
128,C0261,-1.0,0.0,=
128,C0383,-1.0,0.0,=
129,C0249,1.0,0.0,=
129,C0262,-1.0,0.0,=
129,C0385,-1.0,0.0,=
130,C0005,1.0,0.0,=
130,C0008,-1.0,0.0,=
130,C0084,-1.0,0.0,=
131,C0250,1.0,0.0,=
131,C0263,-1.0,0.0,=
131,C0386,-1.0,0.0,=
132,C0006,1.0,0.0,=
132,C0009,-1.0,0.0,=
132,C0085,-1.0,0.0,=
133,C0251,1.0,0.0,=
133,C0264,-1.0,0.0,=
133,C0387,-1.0,0.0,=
134,C0252,1.0,0.0,=
134,C0265,-1.0,0.0,=
134,C0388,-1.0,0.0,=
135,C0253,1.0,0.0,=
135,C0266,-1.0,0.0,=
135,C0389,-1.0,0.0,=
136,C0254,1.0,0.0,=
136,C0267,-1.0,0.0,=
136,C0390,-1.0,0.0,=
137,C0255,1.0,0.0,=
137,C0268,-1.0,0.0,=
137,C0391,-1.0,0.0,=
138,C0256,1.0,0.0,=
138,C0269,-1.0,0.0,=
138,C0392,-1.0,0.0,=
139,C0257,1.0,0.0,=
139,C0270,-1.0,0.0,=
139,C0393,-1.0,0.0,=
140,C0258,1.0,0.0,=
140,C0271,-1.0,0.0,=
140,C0394,-1.0,0.0,=
141,C0259,1.0,0.0,=
141,C0272,-1.0,0.0,=
141,C0395,-1.0,0.0,=
142,C0260,1.0,0.0,=
142,C0273,-1.0,0.0,=
142,C0396,-1.0,0.0,=
143,C0007,1.0,0.0,=
143,C0011,-1.0,0.0,=
143,C0087,-1.0,0.0,=
144,C0262,1.0,0.0,=
144,C0274,-1.0,0.0,=
144,C0398,-1.0,0.0,=
145,C0008,1.0,0.0,=
145,C0012,-1.0,0.0,=
