Constraint_Group_Type,Period_ID,Variable_Name,Coefficient
Resource,1,C0001,0.165
Resource,1,C0003,0.19965
Resource,1,C0007,0.2415765
Resource,1,C0013,0.08
Resource,1,C0021,0.088
Resource,1,C0030,0.0968
Resource,1,C0040,0.10648
Resource,1,C0051,0.117128
Resource,1,C0063,0.1288408
Resource,1,C0076,0.14172488
Resource,1,C0090,-1.6
Resource,1,C0092,-1.156
Resource,1,C0096,-0.83521
Resource,1,C0182,1.0
Resource,1,C0190,0.5
Resource,1,C0205,0.4
Resource,1,C0220,0.15
Resource,1,C0249,0.1815
Resource,1,C0276,0.219615
Resource,1,C0301,0.26573415
Resource,1,C0356,-1.36
Resource,1,C0385,-0.9826
Resource,1,C0412,-0.7099285
Resource,1,C0437,-0.8
Resource,1,C0445,-0.68
Resource,1,C0452,-0.578
Resource,1,C0458,-0.4913
Resource,1,C0463,-0.417605
Resource,1,C0467,-0.35496425
Resource,1,C0471,2.0
Resource,2,C0002,0.1815
Resource,2,C0005,0.219615
Resource,2,C0010,0.26573415
Resource,2,C0014,0.08
Resource,2,C0022,0.088
Resource,2,C0031,0.0968
Resource,2,C0041,0.10648
Resource,2,C0052,0.117128
Resource,2,C0064,0.1288408
Resource,2,C0077,0.14172488
Resource,2,C0091,-1.3736
Resource,2,C0094,-0.992426
Resource,2,C0099,-0.717027785
Resource,2,C0105,-0.808
Resource,2,C0113,-0.6868
Resource,2,C0122,-0.58378
Resource,2,C0132,-0.496213
Resource,2,C0143,-0.42178105
Resource,2,C0155,-0.358513893
Resource,2,C0168,-0.304736809
Resource,2,C0183,1.01
Resource,2,C0191,0.55
Resource,2,C0206,0.44
Resource,2,C0221,0.15
Resource,2,C0235,0.165
Resource,2,C0263,0.19965
Resource,2,C0289,0.2415765
Resource,2,C0341,-1.616
Resource,2,C0371,-1.16756
Resource,2,C0399,-0.8435621
Resource,2,C0425,-0.609473617
Resource,2,C0472,2.02
Resource,3,C0004,0.19965
Resource,3,C0008,0.2415765
Resource,3,C0015,0.08
Resource,3,C0023,0.088
Resource,3,C0032,0.0968
Resource,3,C0042,0.10648
Resource,3,C0053,0.117128
Resource,3,C0065,0.1288408
Resource,3,C0078,0.14172488
Resource,3,C0093,-1.1792356
Resource,3,C0097,-0.851997721
Resource,3,C0102,-0.615568353
Resource,3,C0106,-0.81608
Resource,3,C0114,-0.693668
Resource,3,C0123,-0.5896178
Resource,3,C0133,-0.50117513
Resource,3,C0144,-0.425998861
Resource,3,C0156,-0.362099031
Resource,3,C0169,-0.307784177
Resource,3,C0184,1.0201
Resource,3,C0192,0.605
Resource,3,C0207,0.484
Resource,3,C0222,0.15
Resource,3,C0236,0.165
Resource,3,C0250,0.1815
Resource,3,C0277,0.219615
Resource,3,C0302,0.26573415
Resource,3,C0342,-1.63216
