Logic_Constraint_ID,Variable_Name,Coefficient,RHS_Value,Sense
61,C0001,1.0,1.0,=
61,C0090,1.0,1.0,=
62,C0249,1.0,2.0,=
62,C0356,1.0,2.0,=
63,C0003,1.0,1.0,=
63,C0092,1.0,1.0,=
64,C0276,1.0,2.0,=
64,C0385,1.0,2.0,=
65,C0007,1.0,1.0,=
65,C0096,1.0,1.0,=
66,C0301,1.0,2.0,=
66,C0412,1.0,2.0,=
67,C0021,1.0,2.0,=
67,C0437,1.0,2.0,=
68,C0030,1.0,3.0,=
68,C0445,1.0,3.0,=
69,C0040,1.0,4.0,=
69,C0452,1.0,4.0,=
70,C0051,1.0,2.0,=
70,C0458,1.0,2.0,=
71,C0063,1.0,3.0,=
71,C0463,1.0,3.0,=
72,C0076,1.0,4.0,=
72,C0467,1.0,4.0,=
73,C0220,1.0,0.0,=
73,C0235,-1.0,0.0,=
73,C0341,-1.0,0.0,=
74,C0221,1.0,0.0,=
74,C0236,-1.0,0.0,=
74,C0342,-1.0,0.0,=
75,C0222,1.0,0.0,=
75,C0237,-1.0,0.0,=
75,C0343,-1.0,0.0,=
76,C0223,1.0,0.0,=
76,C0238,-1.0,0.0,=
76,C0344,-1.0,0.0,=
77,C0224,1.0,0.0,=
77,C0239,-1.0,0.0,=
77,C0345,-1.0,0.0,=
78,C0225,1.0,0.0,=
78,C0240,-1.0,0.0,=
78,C0346,-1.0,0.0,=
79,C0226,1.0,0.0,=
79,C0241,-1.0,0.0,=
79,C0347,-1.0,0.0,=
80,C0227,1.0,0.0,=
80,C0242,-1.0,0.0,=
80,C0348,-1.0,0.0,=
81,C0228,1.0,0.0,=
81,C0243,-1.0,0.0,=
81,C0349,-1.0,0.0,=
82,C0229,1.0,0.0,=
82,C0244,-1.0,0.0,=
82,C0350,-1.0,0.0,=
83,C0230,1.0,0.0,=
83,C0245,-1.0,0.0,=
83,C0351,-1.0,0.0,=
84,C0231,1.0,0.0,=
84,C0246,-1.0,0.0,=
84,C0352,-1.0,0.0,=
85,C0232,1.0,0.0,=
85,C0247,-1.0,0.0,=
85,C0353,-1.0,0.0,=
86,C0233,1.0,0.0,=
86,C0248,-1.0,0.0,=
86,C0354,-1.0,0.0,=
87,C0001,1.0,0.0,=
87,C0002,-1.0,0.0,=
87,C0091,-1.0,0.0,=
88,C0235,1.0,0.0,=
88,C0250,-1.0,0.0,=
88,C0357,-1.0,0.0,=
89,C0236,1.0,0.0,=
89,C0251,-1.0,0.0,=
89,C0358,-1.0,0.0,=
90,C0237,1.0,0.0,=
90,C0252,-1.0,0.0,=
90,C0359,-1.0,0.0,=
91,C0238,1.0,0.0,=
91,C0253,-1.0,0.0,=
91,C0360,-1.0,0.0,=
92,C0239,1.0,0.0,=
92,C0254,-1.0,0.0,=
92,C0361,-1.0,0.0,=
93,C0240,1.0,0.0,=
93,C0255,-1.0,0.0,=
93,C0362,-1.0,0.0,=
94,C0241,1.0,0.0,=
94,C0256,-1.0,0.0,=
94,C0363,-1.0,0.0,=
95,C0242,1.0,0.0,=
95,C0257,-1.0,0.0,=
95,C0364,-1.0,0.0,=
96,C0243,1.0,0.0,=
