Period_ID,Resource_Limit_L_t,Cumulative_Demand_D_t,Min_Production_P_min_t,Max_Inventory_I_max_t
1,2.3,7000.0,4000.0,3000.0
2,2.3,7350.0,4200.0,3150.0
3,2.3,7718.0,4410.0,3308.0
4,2.3,8105.0,4631.0,3474.0
5,2.3,8511.0,4863.0,3648.0
6,2.3,8938.0,5107.0,3831.0
7,2.3,9386.0,5363.0,4023.0
8,2.3,9857.0,5632.0,4225.0
9,2.3,10351.0,5914.0,4437.0
10,2.3,10869.0,6210.0,4659.0
11,2.3,11413.0,6521.0,4892.0
12,2.3,11985.0,6848.0,5137.0
13,2.3,12585.0,7191.0,5394.0
14,2.3,13215.0,7551.0,5664.0
15,2.3,13877.0,7929.0,5948.0
