Constraint_Group_Type,Period_ID,Variable_Name,Coefficient
Resource,1,C0001,0.165
Resource,1,C0003,0.19965
Resource,1,C0007,0.2415765
Resource,1,C0013,0.08
Resource,1,C0019,0.088
Resource,1,C0026,0.0968
Resource,1,C0066,-1.6
Resource,1,C0068,-1.156
Resource,1,C0072,-0.83521
Resource,1,C0134,1.0
Resource,1,C0140,0.5
Resource,1,C0155,0.4
Resource,1,C0170,0.15
Resource,1,C0199,0.1815
Resource,1,C0226,0.219615
Resource,1,C0251,0.26573415
Resource,1,C0287,0.10648
Resource,1,C0294,0.117128
Resource,1,C0301,0.1288408
Resource,1,C0308,0.14172488
Resource,1,C0330,-1.36
Resource,1,C0359,-0.9826
Resource,1,C0386,-0.7099285
Resource,1,C0411,-0.8
Resource,1,C0421,-0.68
Resource,1,C0430,-0.578
Resource,1,C0438,-0.4913
Resource,1,C0446,-0.417605
Resource,1,C0454,-0.35496425
Resource,1,C0469,2.0
Resource,2,C0002,0.1815
Resource,2,C0005,0.219615
Resource,2,C0010,0.26573415
Resource,2,C0014,0.08
Resource,2,C0020,0.088
Resource,2,C0027,0.0968
Resource,2,C0034,0.10648
Resource,2,C0067,-1.3736
Resource,2,C0070,-0.992426
Resource,2,C0075,-0.717027785
Resource,2,C0081,-0.808
Resource,2,C0087,-0.6868
Resource,2,C0094,-0.58378
Resource,2,C0135,1.01
Resource,2,C0141,0.55
Resource,2,C0156,0.44
Resource,2,C0171,0.15
Resource,2,C0185,0.165
Resource,2,C0213,0.19965
Resource,2,C0239,0.2415765
Resource,2,C0295,0.117128
Resource,2,C0302,0.1288408
Resource,2,C0309,0.14172488
Resource,2,C0315,-1.616
Resource,2,C0345,-1.16756
Resource,2,C0373,-0.8435621
Resource,2,C0399,-0.609473617
Resource,2,C0439,-0.496213
Resource,2,C0447,-0.42178105
Resource,2,C0455,-0.358513893
Resource,2,C0462,-0.304736809
Resource,2,C0470,2.02
Resource,3,C0004,0.19965
Resource,3,C0008,0.2415765
Resource,3,C0015,0.08
Resource,3,C0021,0.088
Resource,3,C0028,0.0968
Resource,3,C0035,0.10648
Resource,3,C0042,0.117128
Resource,3,C0069,-1.1792356
Resource,3,C0073,-0.851997721
Resource,3,C0078,-0.615568353
Resource,3,C0082,-0.81608
Resource,3,C0088,-0.693668
Resource,3,C0095,-0.5896178
Resource,3,C0102,-0.50117513
Resource,3,C0136,1.0201
Resource,3,C0142,0.605
Resource,3,C0157,0.484
Resource,3,C0172,0.15
Resource,3,C0186,0.165
Resource,3,C0200,0.1815
Resource,3,C0227,0.219615
Resource,3,C0252,0.26573415
Resource,3,C0303,0.1288408
Resource,3,C0310,0.14172488
Resource,3,C0316,-1.63216
Resource,3,C0331,-1.387336
Resource,3,C0360,-1.00235026
Resource,3,C0387,-0.724198063
