Logic_Constraint_ID,Variable_Name,Coefficient,RHS_Value,Sense
61,C0001,1.0,1.0,=
61,C0066,1.0,1.0,=
62,C0199,1.0,2.0,=
62,C0330,1.0,2.0,=
63,C0003,1.0,1.0,=
63,C0068,1.0,1.0,=
64,C0226,1.0,2.0,=
64,C0359,1.0,2.0,=
65,C0007,1.0,1.0,=
65,C0072,1.0,1.0,=
66,C0251,1.0,2.0,=
66,C0386,1.0,2.0,=
67,C0019,1.0,2.0,=
67,C0411,1.0,2.0,=
68,C0026,1.0,3.0,=
68,C0421,1.0,3.0,=
69,C0287,1.0,4.0,=
69,C0430,1.0,4.0,=
70,C0294,1.0,2.0,=
70,C0438,1.0,2.0,=
71,C0301,1.0,3.0,=
71,C0446,1.0,3.0,=
72,C0308,1.0,4.0,=
72,C0454,1.0,4.0,=
73,C0170,1.0,0.0,=
73,C0185,-1.0,0.0,=
73,C0315,-1.0,0.0,=
74,C0171,1.0,0.0,=
74,C0186,-1.0,0.0,=
74,C0316,-1.0,0.0,=
75,C0172,1.0,0.0,=
75,C0187,-1.0,0.0,=
75,C0317,-1.0,0.0,=
76,C0173,1.0,0.0,=
76,C0188,-1.0,0.0,=
76,C0318,-1.0,0.0,=
77,C0174,1.0,0.0,=
77,C0189,-1.0,0.0,=
77,C0319,-1.0,0.0,=
78,C0175,1.0,0.0,=
78,C0190,-1.0,0.0,=
78,C0320,-1.0,0.0,=
79,C0176,1.0,0.0,=
79,C0191,-1.0,0.0,=
79,C0321,-1.0,0.0,=
80,C0177,1.0,0.0,=
80,C0192,-1.0,0.0,=
80,C0322,-1.0,0.0,=
81,C0178,1.0,0.0,=
81,C0193,-1.0,0.0,=
81,C0323,-1.0,0.0,=
82,C0179,1.0,0.0,=
82,C0194,-1.0,0.0,=
82,C0324,-1.0,0.0,=
83,C0180,1.0,0.0,=
83,C0195,-1.0,0.0,=
83,C0325,-1.0,0.0,=
84,C0181,1.0,0.0,=
84,C0196,-1.0,0.0,=
84,C0326,-1.0,0.0,=
85,C0182,1.0,0.0,=
85,C0197,-1.0,0.0,=
85,C0327,-1.0,0.0,=
86,C0183,1.0,0.0,=
86,C0198,-1.0,0.0,=
86,C0328,-1.0,0.0,=
87,C0001,1.0,0.0,=
87,C0002,-1.0,0.0,=
87,C0067,-1.0,0.0,=
88,C0185,1.0,0.0,=
88,C0200,-1.0,0.0,=
88,C0331,-1.0,0.0,=
89,C0186,1.0,0.0,=
89,C0201,-1.0,0.0,=
89,C0332,-1.0,0.0,=
90,C0187,1.0,0.0,=
90,C0202,-1.0,0.0,=
90,C0333,-1.0,0.0,=
91,C0188,1.0,0.0,=
91,C0203,-1.0,0.0,=
91,C0334,-1.0,0.0,=
92,C0189,1.0,0.0,=
92,C0204,-1.0,0.0,=
92,C0335,-1.0,0.0,=
93,C0190,1.0,0.0,=
93,C0205,-1.0,0.0,=
93,C0336,-1.0,0.0,=
94,C0191,1.0,0.0,=
94,C0206,-1.0,0.0,=
94,C0337,-1.0,0.0,=
95,C0192,1.0,0.0,=
95,C0207,-1.0,0.0,=
95,C0338,-1.0,0.0,=
96,C0193,1.0,0.0,=
96,C0208,-1.0,0.0,=
96,C0339,-1.0,0.0,=
97,C0194,1.0,0.0,=
97,C0209,-1.0,0.0,=
97,C0340,-1.0,0.0,=
98,C0195,1.0,0.0,=
98,C0210,-1.0,0.0,=
98,C0341,-1.0,0.0,=
99,C0196,1.0,0.0,=
99,C0211,-1.0,0.0,=
99,C0342,-1.0,0.0,=
100,C0197,1.0,0.0,=
100,C0212,-1.0,0.0,=
