Period_ID,Resource_Limit_L_t,Cumulative_Demand_D_t,Min_Production_P_min_t,Max_Inventory_I_max_t
1,2.7,8750.0,5000.0,3750.0
2,2.7,9188.0,5250.0,3938.0
3,2.7,9648.0,5513.0,4135.0
4,2.7,10131.0,5789.0,4342.0
5,2.7,10639.0,6079.0,4560.0
6,2.7,11171.0,6383.0,4788.0
7,2.7,11731.0,6703.0,5028.0
8,2.7,12319.0,7039.0,5280.0
9,2.7,12935.0,7391.0,5544.0
10,2.7,13582.0,7761.0,5821.0
11,2.7,14263.0,8150.0,6113.0
12,2.7,14977.0,8558.0,6419.0
13,2.7,15726.0,8986.0,6740.0
14,2.7,16513.0,9436.0,7077.0
15,2.7,17339.0,9908.0,7431.0
