Constraint_Group_Type,Period_ID,Variable_Name,Coefficient
Resource,1,C0001,0.165
Resource,1,C0003,0.19965
Resource,1,C0007,0.2415765
Resource,1,C0013,0.08
Resource,1,C0015,0.088
Resource,1,C0018,0.0968
Resource,1,C0022,0.10648
Resource,1,C0027,0.117128
Resource,1,C0033,0.1288408
Resource,1,C0040,0.14172488
Resource,1,C0048,-1.6
Resource,1,C0050,-1.156
Resource,1,C0054,-0.83521
Resource,1,C0098,1.0
Resource,1,C0100,0.5
Resource,1,C0115,0.4
Resource,1,C0130,0.15
Resource,1,C0159,0.1815
Resource,1,C0186,0.219615
Resource,1,C0211,0.26573415
Resource,1,C0308,-1.36
Resource,1,C0337,-0.9826
Resource,1,C0364,-0.7099285
Resource,1,C0389,-0.8
Resource,1,C0403,-0.68
Resource,1,C0416,-0.578
Resource,1,C0428,-0.4913
Resource,1,C0439,-0.417605
Resource,1,C0449,-0.35496425
Resource,1,C0465,2.0
Resource,2,C0002,0.1815
Resource,2,C0005,0.219615
Resource,2,C0010,0.26573415
Resource,2,C0014,0.08
Resource,2,C0016,0.088
Resource,2,C0019,0.0968
Resource,2,C0023,0.10648
Resource,2,C0028,0.117128
Resource,2,C0034,0.1288408
Resource,2,C0041,0.14172488
Resource,2,C0049,-1.3736
Resource,2,C0052,-0.992426
Resource,2,C0057,-0.717027785
Resource,2,C0063,-0.808
Resource,2,C0065,-0.6868
Resource,2,C0068,-0.58378
Resource,2,C0072,-0.496213
Resource,2,C0077,-0.42178105
Resource,2,C0083,-0.358513893
Resource,2,C0090,-0.304736809
Resource,2,C0099,1.01
Resource,2,C0101,0.55
Resource,2,C0116,0.44
Resource,2,C0131,0.15
Resource,2,C0145,0.165
Resource,2,C0173,0.19965
Resource,2,C0199,0.2415765
Resource,2,C0293,-1.616
Resource,2,C0323,-1.16756
Resource,2,C0351,-0.8435621
Resource,2,C0377,-0.609473617
Resource,2,C0466,2.02
Resource,3,C0004,0.19965
Resource,3,C0008,0.2415765
Resource,3,C0017,0.088
Resource,3,C0020,0.0968
Resource,3,C0024,0.10648
Resource,3,C0029,0.117128
Resource,3,C0035,0.1288408
Resource,3,C0042,0.14172488
Resource,3,C0051,-1.1792356
Resource,3,C0055,-0.851997721
Resource,3,C0060,-0.615568353
Resource,3,C0064,-0.81608
Resource,3,C0066,-0.693668
Resource,3,C0069,-0.5896178
Resource,3,C0073,-0.50117513
Resource,3,C0078,-0.425998861
Resource,3,C0084,-0.362099031
Resource,3,C0091,-0.307784177
Resource,3,C0102,0.605
Resource,3,C0117,0.484
Resource,3,C0132,0.15
Resource,3,C0146,0.165
Resource,3,C0160,0.1815
Resource,3,C0187,0.219615
Resource,3,C0212,0.26573415
Resource,3,C0223,0.08
Resource,3,C0294,-1.63216
Resource,3,C0309,-1.387336
