Logic_Constraint_ID,Variable_Name,Coefficient,RHS_Value,Sense
61,C0001,1.0,1.0,=
61,C0048,1.0,1.0,=
62,C0159,1.0,2.0,=
62,C0308,1.0,2.0,=
63,C0003,1.0,1.0,=
63,C0050,1.0,1.0,=
64,C0186,1.0,2.0,=
64,C0337,1.0,2.0,=
65,C0007,1.0,1.0,=
65,C0054,1.0,1.0,=
66,C0211,1.0,2.0,=
66,C0364,1.0,2.0,=
67,C0015,1.0,2.0,=
67,C0389,1.0,2.0,=
68,C0018,1.0,3.0,=
68,C0403,1.0,3.0,=
69,C0022,1.0,4.0,=
69,C0416,1.0,4.0,=
70,C0027,1.0,2.0,=
70,C0428,1.0,2.0,=
71,C0033,1.0,3.0,=
71,C0439,1.0,3.0,=
72,C0040,1.0,4.0,=
72,C0449,1.0,4.0,=
73,C0130,1.0,0.0,=
73,C0145,-1.0,0.0,=
73,C0293,-1.0,0.0,=
74,C0131,1.0,0.0,=
74,C0146,-1.0,0.0,=
74,C0294,-1.0,0.0,=
75,C0132,1.0,0.0,=
75,C0147,-1.0,0.0,=
75,C0295,-1.0,0.0,=
76,C0133,1.0,0.0,=
76,C0148,-1.0,0.0,=
76,C0296,-1.0,0.0,=
77,C0134,1.0,0.0,=
77,C0149,-1.0,0.0,=
77,C0297,-1.0,0.0,=
78,C0135,1.0,0.0,=
78,C0150,-1.0,0.0,=
78,C0298,-1.0,0.0,=
79,C0136,1.0,0.0,=
79,C0151,-1.0,0.0,=
79,C0299,-1.0,0.0,=
80,C0137,1.0,0.0,=
80,C0152,-1.0,0.0,=
80,C0300,-1.0,0.0,=
81,C0138,1.0,0.0,=
81,C0153,-1.0,0.0,=
81,C0301,-1.0,0.0,=
82,C0139,1.0,0.0,=
82,C0154,-1.0,0.0,=
82,C0302,-1.0,0.0,=
83,C0140,1.0,0.0,=
83,C0155,-1.0,0.0,=
83,C0303,-1.0,0.0,=
84,C0141,1.0,0.0,=
84,C0156,-1.0,0.0,=
84,C0304,-1.0,0.0,=
85,C0142,1.0,0.0,=
85,C0157,-1.0,0.0,=
85,C0305,-1.0,0.0,=
86,C0143,1.0,0.0,=
86,C0158,-1.0,0.0,=
86,C0306,-1.0,0.0,=
87,C0001,1.0,0.0,=
87,C0002,-1.0,0.0,=
87,C0049,-1.0,0.0,=
88,C0145,1.0,0.0,=
88,C0160,-1.0,0.0,=
88,C0309,-1.0,0.0,=
89,C0146,1.0,0.0,=
89,C0161,-1.0,0.0,=
89,C0310,-1.0,0.0,=
90,C0147,1.0,0.0,=
90,C0162,-1.0,0.0,=
90,C0311,-1.0,0.0,=
91,C0148,1.0,0.0,=
91,C0163,-1.0,0.0,=
91,C0312,-1.0,0.0,=
92,C0149,1.0,0.0,=
92,C0164,-1.0,0.0,=
92,C0313,-1.0,0.0,=
93,C0150,1.0,0.0,=
93,C0165,-1.0,0.0,=
93,C0314,-1.0,0.0,=
94,C0151,1.0,0.0,=
94,C0166,-1.0,0.0,=
94,C0315,-1.0,0.0,=
95,C0152,1.0,0.0,=
95,C0167,-1.0,0.0,=
95,C0316,-1.0,0.0,=
96,C0153,1.0,0.0,=
96,C0168,-1.0,0.0,=
96,C0317,-1.0,0.0,=
97,C0154,1.0,0.0,=
97,C0169,-1.0,0.0,=
97,C0318,-1.0,0.0,=
98,C0155,1.0,0.0,=
98,C0170,-1.0,0.0,=
98,C0319,-1.0,0.0,=
99,C0156,1.0,0.0,=
99,C0171,-1.0,0.0,=
99,C0320,-1.0,0.0,=
100,C0157,1.0,0.0,=
100,C0172,-1.0,0.0,=
100,C0321,-1.0,0.0,=
101,C0159,1.0,0.0,=
101,C0173,-1.0,0.0,=
101,C0323,-1.0,0.0,=
102,C0002,1.0,0.0,=
102,C0004,-1.0,0.0,=
102,C0051,-1.0,0.0,=
103,C0160,1.0,0.0,=
103,C0174,-1.0,0.0,=
103,C0324,-1.0,0.0,=
104,C0161,1.0,0.0,=
104,C0175,-1.0,0.0,=
104,C0325,-1.0,0.0,=
105,C0162,1.0,0.0,=
105,C0176,-1.0,0.0,=
105,C0326,-1.0,0.0,=
106,C0163,1.0,0.0,=
106,C0177,-1.0,0.0,=
106,C0327,-1.0,0.0,=
107,C0164,1.0,0.0,=
107,C0178,-1.0,0.0,=
107,C0328,-1.0,0.0,=
108,C0165,1.0,0.0,=
108,C0179,-1.0,0.0,=
108,C0329,-1.0,0.0,=
109,C0166,1.0,0.0,=
109,C0180,-1.0,0.0,=
109,C0330,-1.0,0.0,=
110,C0167,1.0,0.0,=
110,C0181,-1.0,0.0,=
110,C0331,-1.0,0.0,=
111,C0168,1.0,0.0,=
111,C0182,-1.0,0.0,=
111,C0332,-1.0,0.0,=
112,C0169,1.0,0.0,=
112,C0183,-1.0,0.0,=
112,C0333,-1.0,0.0,=
113,C0170,1.0,0.0,=
113,C0184,-1.0,0.0,=
113,C0334,-1.0,0.0,=
114,C0171,1.0,0.0,=
114,C0185,-1.0,0.0,=
114,C0335,-1.0,0.0,=
115,C0003,1.0,0.0,=
115,C0005,-1.0,0.0,=
115,C0052,-1.0,0.0,=
116,C0173,1.0,0.0,=
116,C0187,-1.0,0.0,=
