Task_ID,1,2,3,4,5,6,7,8,9,10
1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
3,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
5,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
6,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
7,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
8,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
9,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
10,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
11,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
12,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
13,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
14,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
16,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
17,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
18,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
19,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
20,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
21,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
22,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
23,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
