Step_ID,Max_Natural_Increase,Max_Natural_Decrease
C0001->C0002,-1.68,
C0002->C0003,-1.14,
C0003->C0004,-2.8,
C0004->C0005,-2.47,
C0005->C0006,1.29,
C0006->C0007,-2.46,
C0007->C0008,-2.35,
C0008->C0009,-1.41,
C0009->C0010,1.35,
C0010->C0011,-2.08,
C0011->C0012,2.59,
C0012->C0013,-1.68,
C0013->C0014,1.66,
C0014->C0015,-1.48,
C0016->C0017,-1.89,
C0017->C0018,-2.36,
C0018->C0019,2.69,
C0019->C0020,1.3,
C0020->C0021,2.66,
C0021->C0022,-2.61,
C0022->C0023,-2.55,
C0023->C0024,1.89,
C0024->C0025,-2.28,
C0025->C0026,-1.79,
C0026->C0027,-1.47,
C0027->C0028,-2.14,
C0028->C0029,-2.85,
C0029->C0030,-1.35,
C0030->C0031,-2.86,
C0031->C0032,-2.55,
C0033->C0034,-1.61,
C0034->C0035,-2.76,
C0035->C0036,2.77,
C0036->C0037,-1.0,
C0037->C0038,-1.96,
C0038->C0039,2.56,
C0039->C0040,-1.74,
C0040->C0041,-1.48,
C0041->C0042,2.68,
C0042->C0043,-2.31,
C0043->C0044,-1.27,
C0044->C0045,-2.79,
C0045->C0046,2.14,
C0046->C0047,-1.78,
C0047->C0048,1.1,
C0048->C0049,1.25,
C0050->C0051,1.08,
C0051->C0052,-1.59,
C0052->C0053,-1.43,
C0053->C0054,-1.77,
C0054->C0055,2.22,
C0055->C0056,-1.34,
C0056->C0057,2.5,
C0057->C0058,-2.73,
C0058->C0059,-2.42,
C0059->C0060,-1.7,
C0060->C0061,1.15,
C0061->C0062,-1.18,
C0062->C0063,-2.01,
C0063->C0064,-2.76,
C0064->C0065,-1.3,
C0065->C0066,-2.83,
C0066->C0067,1.14,
C0067->C0068,-2.12,
C0068->C0069,-2.14,
C0070->C0071,1.48,
C0071->C0072,-2.55,
C0072->C0073,-1.17,
C0073->C0074,-2.09,
C0074->C0075,1.78,
C0075->C0076,-1.27,
C0076->C0077,-2.37,
C0077->C0078,-1.57,
C0078->C0079,-2.47,
C0079->C0080,-2.82,
C0080->C0081,-1.43,
C0081->C0082,-2.62,
C0082->C0083,-2.53,
C0083->C0084,-1.65,
C0084->C0085,-1.89,
C0085->C0086,2.83,
C0087->C0088,2.04,
C0088->C0089,-1.74,
C0089->C0090,2.79,
C0090->C0091,-2.78,
C0091->C0092,-1.94,
C0092->C0093,1.06,
C0093->C0094,-1.05,
C0094->C0095,-1.47,
C0095->C0096,-2.3,
C0096->C0097,2.35,
C0097->C0098,-2.33,
C0098->C0099,-1.48,
C0099->C0100,-1.14,
C0101->C0102,2.36,
C0102->C0103,-2.4,
C0103->C0104,-2.09,
C0104->C0105,-2.36,
C0105->C0106,-1.57,
C0106->C0107,-1.58,
C0107->C0108,-2.41,
C0108->C0109,-1.16,
C0109->C0110,-1.82,
C0110->C0111,-2.44,
C0111->C0112,-2.66,
C0112->C0113,-1.4,
C0113->C0114,-2.66,
C0114->C0115,-2.82,
C0115->C0116,-1.79,
C0116->C0117,-1.97,
C0118->C0119,1.87,
C0119->C0120,-2.54,
C0120->C0121,1.26,
C0121->C0122,-1.74,
C0122->C0123,-1.64,
C0123->C0124,-2.17,
C0124->C0125,2.94,
C0125->C0126,2.03,
C0126->C0127,-1.44,
C0127->C0128,-1.83,
C0128->C0129,-2.19,
C0129->C0130,-1.06,
C0130->C0131,-1.96,
C0131->C0132,-1.25,
C0133->C0134,-1.74,
C0134->C0135,-2.82,
C0135->C0136,2.63,
C0136->C0137,-2.67,
C0137->C0138,-1.51,
C0138->C0139,-2.13,
C0139->C0140,1.9,
C0140->C0141,2.75,
C0141->C0142,-1.1,
C0142->C0143,-2.8,
C0143->C0144,2.24,
C0144->C0145,1.52,
C0145->C0146,-1.08,
