Step_ID,Binary_Variable_ID,Relaxation_Factor
C0001->C0002,C0787,4.0
C0002->C0003,C0746,4.0
C0003->C0004,C0783,4.0
C0004->C0005,C0804,4.0
C0006->C0007,C0770,4.0
C0007->C0008,C0795,4.0
C0008->C0009,C0743,4.0
C0010->C0011,C0778,4.0
C0012->C0013,C0777,4.0
C0014->C0015,C0758,4.0
C0016->C0017,C0805,4.0
C0017->C0018,C0743,4.0
C0021->C0022,C0759,4.0
C0022->C0023,C0766,4.0
C0024->C0025,C0773,4.0
C0025->C0026,C0769,4.0
C0026->C0027,C0788,4.0
C0027->C0028,C0761,4.0
C0028->C0029,C0796,4.0
C0029->C0030,C0742,4.0
C0030->C0031,C0768,4.0
C0031->C0032,C0787,4.0
C0033->C0034,C0782,4.0
C0034->C0035,C0788,4.0
C0036->C0037,C0805,4.0
C0037->C0038,C0762,4.0
C0039->C0040,C0779,4.0
C0040->C0041,C0741,4.0
C0042->C0043,C0755,4.0
C0043->C0044,C0773,4.0
C0044->C0045,C0791,4.0
C0046->C0047,C0750,4.0
C0051->C0052,C0798,4.0
C0052->C0053,C0761,4.0
C0053->C0054,C0794,4.0
C0055->C0056,C0787,4.0
C0057->C0058,C0784,4.0
C0058->C0059,C0733,4.0
C0059->C0060,C0778,4.0
C0061->C0062,C0741,4.0
C0062->C0063,C0789,4.0
C0063->C0064,C0797,4.0
C0064->C0065,C0788,4.0
C0065->C0066,C0757,4.0
C0067->C0068,C0768,4.0
C0068->C0069,C0774,4.0
C0071->C0072,C0761,4.0
C0072->C0073,C0738,4.0
C0073->C0074,C0739,4.0
C0075->C0076,C0796,4.0
C0076->C0077,C0776,4.0
C0077->C0078,C0789,4.0
C0078->C0079,C0730,4.0
C0079->C0080,C0799,4.0
C0080->C0081,C0757,4.0
C0081->C0082,C0736,4.0
C0082->C0083,C0763,4.0
C0083->C0084,C0748,4.0
C0084->C0085,C0767,4.0
C0088->C0089,C0796,4.0
C0090->C0091,C0772,4.0
C0091->C0092,C0803,4.0
C0093->C0094,C0768,4.0
C0094->C0095,C0799,4.0
C0095->C0096,C0752,4.0
C0097->C0098,C0747,4.0
C0098->C0099,C0738,4.0
C0099->C0100,C0760,4.0
C0102->C0103,C0743,4.0
C0103->C0104,C0747,4.0
C0104->C0105,C0793,4.0
C0105->C0106,C0796,4.0
C0106->C0107,C0731,4.0
C0107->C0108,C0778,4.0
C0108->C0109,C0769,4.0
C0109->C0110,C0781,4.0
C0110->C0111,C0784,4.0
C0111->C0112,C0800,4.0
C0112->C0113,C0777,4.0
C0113->C0114,C0768,4.0
C0114->C0115,C0795,4.0
C0115->C0116,C0739,4.0
C0116->C0117,C0735,4.0
C0119->C0120,C0762,4.0
C0121->C0122,C0797,4.0
C0122->C0123,C0758,4.0
C0123->C0124,C0730,4.0
C0126->C0127,C0772,4.0
C0127->C0128,C0767,4.0
C0128->C0129,C0732,4.0
C0129->C0130,C0769,4.0
C0130->C0131,C0802,4.0
C0131->C0132,C0754,4.0
C0133->C0134,C0784,4.0
C0134->C0135,C0743,4.0
C0136->C0137,C0802,4.0
C0137->C0138,C0803,4.0
C0138->C0139,C0762,4.0
C0141->C0142,C0805,4.0
C0142->C0143,C0748,4.0
C0145->C0146,C0771,4.0
C0148->C0149,C0742,4.0
C0149->C0150,C0768,4.0
C0150->C0151,C0757,4.0
C0151->C0152,C0788,4.0
C0153->C0154,C0754,4.0
C0155->C0156,C0749,4.0
C0157->C0158,C0785,4.0
C0159->C0160,C0795,4.0
C0160->C0161,C0781,4.0
C0161->C0162,C0731,4.0
C0162->C0163,C0736,4.0
C0163->C0164,C0740,4.0
C0164->C0165,C0734,4.0
C0165->C0166,C0751,4.0
C0166->C0167,C0758,4.0
C0168->C0169,C0737,4.0
C0170->C0171,C0756,4.0
C0171->C0172,C0802,4.0
C0173->C0174,C0784,4.0
C0174->C0175,C0781,4.0
C0175->C0176,C0787,4.0
C0176->C0177,C0796,4.0
C0177->C0178,C0746,4.0
C0178->C0179,C0749,4.0
C0179->C0180,C0804,4.0
C0180->C0181,C0755,4.0
C0181->C0182,C0733,4.0
C0182->C0183,C0739,4.0
C0185->C0186,C0805,4.0
C0187->C0188,C0746,4.0
C0189->C0190,C0767,4.0
C0190->C0191,C0773,4.0
C0191->C0192,C0784,4.0
C0192->C0193,C0753,4.0
C0193->C0194,C0794,4.0
C0195->C0196,C0792,4.0
C0196->C0197,C0800,4.0
C0197->C0198,C0760,4.0
C0198->C0199,C0772,4.0
C0199->C0200,C0785,4.0
C0200->C0201,C0764,4.0
C0202->C0203,C0756,4.0
C0203->C0204,C0779,4.0
C0204->C0205,C0763,4.0
C0205->C0206,C0747,4.0
C0206->C0207,C0730,4.0
C0207->C0208,C0771,4.0
C0211->C0212,C0795,4.0
C0212->C0213,C0750,4.0
C0213->C0214,C0745,4.0
C0214->C0215,C0792,4.0
C0215->C0216,C0774,4.0
C0216->C0217,C0732,4.0
C0218->C0219,C0800,4.0
C0219->C0220,C0782,4.0
C0220->C0221,C0760,4.0
C0223->C0224,C0757,4.0
C0224->C0225,C0789,4.0
C0225->C0226,C0749,4.0
C0226->C0227,C0784,4.0
C0227->C0228,C0734,4.0
C0229->C0230,C0771,4.0
C0230->C0231,C0788,4.0
C0231->C0232,C0776,4.0
C0232->C0233,C0797,4.0
C0235->C0236,C0750,4.0
C0236->C0237,C0799,4.0
C0237->C0238,C0754,4.0
C0240->C0241,C0761,4.0
C0241->C0242,C0802,4.0
C0242->C0243,C0760,4.0
C0244->C0245,C0793,4.0
C0248->C0249,C0740,4.0
C0249->C0250,C0754,4.0
C0250->C0251,C0791,4.0
C0251->C0252,C0760,4.0
C0252->C0253,C0794,4.0
C0253->C0254,C0801,4.0
C0256->C0257,C0781,4.0
C0257->C0258,C0750,4.0
C0258->C0259,C0751,4.0
C0260->C0261,C0747,4.0
C0261->C0262,C0746,4.0
C0262->C0263,C0759,4.0
C0263->C0264,C0796,4.0
C0264->C0265,C0778,4.0
C0267->C0268,C0801,4.0
C0270->C0271,C0772,4.0
C0271->C0272,C0760,4.0
C0273->C0274,C0768,4.0
C0274->C0275,C0744,4.0
C0275->C0276,C0762,4.0
C0278->C0279,C0791,4.0
C0279->C0280,C0747,4.0
C0280->C0281,C0776,4.0
C0281->C0282,C0736,4.0
C0282->C0283,C0741,4.0
C0283->C0284,C0756,4.0
C0284->C0285,C0789,4.0
C0285->C0286,C0790,4.0
C0286->C0287,C0752,4.0
C0288->C0289,C0763,4.0
C0289->C0290,C0795,4.0
C0290->C0291,C0780,4.0
C0291->C0292,C0754,4.0
C0292->C0293,C0735,4.0
C0297->C0298,C0786,4.0
C0298->C0299,C0732,4.0
C0300->C0301,C0805,4.0
C0301->C0302,C0773,4.0
C0302->C0303,C0779,4.0
C0303->C0304,C0795,4.0
C0304->C0305,C0801,4.0
C0306->C0307,C0757,4.0
C0307->C0308,C0761,4.0
C0309->C0310,C0746,4.0
C0313->C0314,C0785,4.0
C0314->C0315,C0769,4.0
C0315->C0316,C0797,4.0
C0318->C0319,C0776,4.0
C0319->C0320,C0748,4.0
C0320->C0321,C0775,4.0
C0323->C0324,C0768,4.0
C0324->C0325,C0785,4.0
C0325->C0326,C0769,4.0
C0326->C0327,C0797,4.0
C0328->C0329,C0784,4.0
C0329->C0330,C0804,4.0
C0332->C0333,C0759,4.0
C0334->C0335,C0760,4.0
C0335->C0336,C0763,4.0
C0336->C0337,C0752,4.0
C0340->C0341,C0745,4.0
C0341->C0342,C0752,4.0
C0342->C0343,C0793,4.0
C0343->C0344,C0766,4.0
C0344->C0345,C0756,4.0
C0345->C0346,C0738,4.0
C0346->C0347,C0798,4.0
C0347->C0348,C0800,4.0
C0348->C0349,C0769,4.0
C0349->C0350,C0770,4.0
C0350->C0351,C0753,4.0
C0351->C0352,C0737,4.0
C0352->C0353,C0780,4.0
C0353->C0354,C0804,4.0
C0355->C0356,C0787,4.0
C0356->C0357,C0746,4.0
C0357->C0358,C0783,4.0
C0358->C0359,C0804,4.0
C0360->C0361,C0770,4.0
C0361->C0362,C0795,4.0
C0362->C0363,C0743,4.0
C0364->C0365,C0778,4.0
C0366->C0367,C0777,4.0
C0368->C0369,C0758,4.0
C0371->C0372,C0805,4.0
C0372->C0373,C0743,4.0
C0376->C0377,C0759,4.0
C0377->C0378,C0766,4.0
C0379->C0380,C0773,4.0
C0380->C0381,C0769,4.0
C0381->C0382,C0788,4.0
C0382->C0383,C0761,4.0
C0383->C0384,C0796,4.0
C0384->C0385,C0742,4.0
C0385->C0386,C0768,4.0
C0386->C0387,C0787,4.0
C0389->C0390,C0782,4.0
C0390->C0391,C0788,4.0
C0392->C0393,C0805,4.0
C0393->C0394,C0762,4.0
C0395->C0396,C0779,4.0
C0396->C0397,C0741,4.0
C0398->C0399,C0755,4.0
C0399->C0400,C0773,4.0
C0400->C0401,C0791,4.0
C0402->C0403,C0750,4.0
C0405->C0406,C0784,4.0
C0408->C0409,C0798,4.0
C0409->C0410,C0761,4.0
C0410->C0411,C0794,4.0
C0412->C0413,C0787,4.0
C0414->C0415,C0784,4.0
C0415->C0416,C0733,4.0
C0416->C0417,C0778,4.0
C0418->C0419,C0741,4.0
C0419->C0420,C0789,4.0
C0420->C0421,C0797,4.0
C0421->C0422,C0788,4.0
C0422->C0423,C0757,4.0
C0424->C0425,C0768,4.0
C0425->C0426,C0774,4.0
C0426->C0427,C0770,4.0
C0429->C0430,C0761,4.0
C0430->C0431,C0738,4.0
C0431->C0432,C0739,4.0
C0433->C0434,C0796,4.0
C0434->C0435,C0776,4.0
C0435->C0436,C0789,4.0
C0436->C0437,C0730,4.0
C0437->C0438,C0799,4.0
C0438->C0439,C0757,4.0
C0439->C0440,C0736,4.0
C0440->C0441,C0763,4.0
C0441->C0442,C0748,4.0
C0442->C0443,C0767,4.0
C0447->C0448,C0796,4.0
C0449->C0450,C0772,4.0
C0450->C0451,C0803,4.0
