Step_ID,Max_Natural_Increase,Max_Natural_Decrease
C0004->C0005,-1.78,
C0008->C0009,-1.59,
C0009->C0010,-1.6,
C0012->C0013,-1.08,
C0013->C0014,2.7,
C0014->C0015,-2.87,
C0016->C0017,1.19,
C0018->C0019,1.99,
C0019->C0020,2.47,
C0021->C0022,-1.87,
C0024->C0025,-2.1,
C0025->C0026,-2.05,
C0026->C0027,2.76,
C0027->C0028,2.72,
C0029->C0030,-2.88,
C0031->C0032,-2.64,
C0032->C0033,-1.79,
C0034->C0035,1.31,
C0035->C0036,-2.11,
C0036->C0037,-1.47,
C0037->C0038,1.87,
C0038->C0039,1.42,
C0041->C0042,-1.39,
C0043->C0044,2.03,
C0044->C0045,1.64,
C0045->C0046,-2.86,
C0046->C0047,-1.38,
C0047->C0048,-1.75,
C0051->C0052,-1.84,
C0054->C0055,-2.93,
C0055->C0056,1.89,
C0056->C0057,2.49,
C0057->C0058,-1.91,
C0059->C0060,1.06,
C0061->C0062,1.81,
C0063->C0064,-1.07,
C0064->C0065,1.96,
C0065->C0066,-1.39,
C0068->C0069,1.66,
C0072->C0073,-2.56,
C0073->C0074,2.99,
C0074->C0075,1.51,
C0076->C0077,-1.49,
C0077->C0078,-1.08,
C0078->C0079,-1.01,
C0081->C0082,1.12,
C0082->C0083,-2.53,
C0083->C0084,-1.32,
C0084->C0085,1.62,
C0085->C0086,2.86,
C0086->C0087,-2.33,
C0087->C0088,-2.83,
C0089->C0090,2.19,
C0090->C0091,-2.73,
C0092->C0093,2.13,
C0093->C0094,-1.86,
C0094->C0095,2.0,
C0095->C0096,-1.66,
C0097->C0098,-1.03,
C0100->C0101,-1.23,
C0102->C0103,1.32,
C0103->C0104,-2.03,
C0104->C0105,-1.94,
C0105->C0106,-1.83,
C0106->C0107,2.24,
C0112->C0113,-2.36,
C0113->C0114,-2.22,
C0114->C0115,2.07,
C0115->C0116,-1.28,
C0116->C0117,-1.31,
C0117->C0118,2.0,
C0120->C0121,1.41,
C0122->C0123,-1.31,
C0123->C0124,-1.58,
C0125->C0126,-1.44,
C0127->C0128,-2.38,
C0128->C0129,2.04,
C0130->C0131,-2.84,
C0131->C0132,-1.64,
C0132->C0133,2.57,
C0133->C0134,-2.61,
C0134->C0135,-1.84,
C0135->C0136,-2.02,
C0137->C0138,1.02,
C0138->C0139,-1.31,
C0139->C0140,-1.79,
C0141->C0142,2.87,
C0142->C0143,2.33,
C0144->C0145,-1.78,
C0147->C0148,-1.37,
C0148->C0149,-2.55,
C0149->C0150,-2.84,
C0151->C0152,-2.62,
C0152->C0153,-2.27,
C0154->C0155,-1.53,
C0155->C0156,1.48,
C0156->C0157,-1.32,
C0157->C0158,-2.5,
C0160->C0161,-2.67,
C0161->C0162,-1.15,
C0162->C0163,-1.17,
C0168->C0169,-1.56,
C0169->C0170,2.02,
C0171->C0172,-2.03,
C0172->C0173,-1.58,
C0173->C0174,-1.19,
C0176->C0177,-2.41,
C0180->C0181,1.77,
C0184->C0185,-2.48,
C0188->C0189,-1.24,
C0189->C0190,1.2,
C0190->C0191,-2.86,
C0191->C0192,-2.88,
C0192->C0193,-1.6,
C0193->C0194,-1.55,
C0194->C0195,-2.08,
C0197->C0198,1.15,
C0199->C0200,-1.57,
C0201->C0202,1.92,
C0202->C0203,-2.7,
C0203->C0204,1.54,
C0205->C0206,-1.04,
C0206->C0207,2.56,
C0209->C0210,-2.36,
C0210->C0211,1.96,
C0214->C0215,-1.25,
C0215->C0216,2.69,
C0216->C0217,-1.18,
C0219->C0220,-1.76,
C0220->C0221,-1.73,
C0222->C0223,-1.19,
C0225->C0226,2.98,
C0229->C0230,-1.97,
C0231->C0232,-1.92,
C0232->C0233,-1.46,
C0233->C0234,2.45,
C0234->C0235,2.73,
C0235->C0236,-2.82,
C0236->C0237,-1.91,
C0239->C0240,-2.66,
C0240->C0241,2.72,
C0241->C0242,-1.76,
C0242->C0243,-1.26,
C0243->C0244,2.81,
C0245->C0246,-1.77,
C0249->C0250,-2.78,
C0250->C0251,-2.93,
C0252->C0253,-1.94,
C0254->C0255,-1.02,
C0260->C0261,-1.64,
C0262->C0263,1.99,
C0263->C0264,-2.63,
C0264->C0265,2.96,
C0266->C0267,1.67,
C0270->C0271,-1.88,
C0273->C0274,-2.59,
C0276->C0277,-1.43,
C0277->C0278,2.03,
C0278->C0279,1.99,
C0280->C0281,-1.67,
C0283->C0284,1.3,
C0285->C0286,-2.4,
C0286->C0287,2.31,
C0287->C0288,-2.64,
C0288->C0289,-1.6,
C0290->C0291,-2.79,
C0292->C0293,-2.08,
C0294->C0295,1.69,
C0295->C0296,1.44,
C0296->C0297,1.18,
C0297->C0298,2.33,
C0298->C0299,-2.64,
C0301->C0302,-2.02,
C0303->C0304,1.62,
C0304->C0305,-1.41,
C0305->C0306,-1.59,
C0307->C0308,1.98,
C0310->C0311,-2.48,
C0311->C0312,-1.09,
C0312->C0313,2.75,
C0313->C0314,-2.08,
C0315->C0316,-2.72,
C0317->C0318,-2.54,
C0318->C0319,-2.33,
C0319->C0320,2.79,
C0324->C0325,2.99,
C0325->C0326,-1.03,
C0327->C0328,1.19,
C0328->C0329,1.35,
C0329->C0330,-1.64,
C0330->C0331,1.83,
C0331->C0332,-2.51,
C0332->C0333,-2.87,
C0333->C0334,-2.65,
C0334->C0335,-1.14,
C0335->C0336,2.48,
C0340->C0341,-1.53,
C0341->C0342,2.41,
C0343->C0344,-1.68,
C0345->C0346,-1.18,
C0347->C0348,-1.17,
C0348->C0349,1.26,
C0349->C0350,2.32,
C0351->C0352,2.82,
C0354->C0355,1.68,
C0355->C0356,-1.18,
C0356->C0357,2.02,
C0357->C0358,1.66,
C0360->C0361,1.17,
C0361->C0362,2.68,
C0364->C0365,-1.28,
C0366->C0367,-2.12,
C0367->C0368,2.42,
C0371->C0372,2.68,
C0372->C0373,-1.54,
C0377->C0378,,-1.56
C0381->C0382,,-1.03
C0382->C0383,,-1.59
C0385->C0386,,-2.55
C0386->C0387,,2.92
C0387->C0388,,-1.3
C0389->C0390,,1.88
C0391->C0392,,2.4
C0392->C0393,,1.99
C0393->C0394,,-1.53
C0395->C0396,,-1.33
