Step_ID,Binary_Variable_ID,Relaxation_Factor
C0004->C0005,C0776,4.0
C0008->C0009,C0768,4.0
C0009->C0010,C0781,4.0
C0012->C0013,C0774,4.0
C0014->C0015,C0801,4.0
C0021->C0022,C0774,4.0
C0024->C0025,C0771,4.0
C0025->C0026,C0799,4.0
C0029->C0030,C0792,4.0
C0031->C0032,C0783,4.0
C0032->C0033,C0776,4.0
C0035->C0036,C0777,4.0
C0036->C0037,C0795,4.0
C0041->C0042,C0791,4.0
C0045->C0046,C0778,4.0
C0046->C0047,C0768,4.0
C0047->C0048,C0802,4.0
C0051->C0052,C0775,4.0
C0054->C0055,C0804,4.0
C0057->C0058,C0786,4.0
C0063->C0064,C0793,4.0
C0065->C0066,C0803,4.0
C0072->C0073,C0796,4.0
C0076->C0077,C0805,4.0
C0077->C0078,C0768,4.0
C0078->C0079,C0773,4.0
C0082->C0083,C0795,4.0
C0083->C0084,C0789,4.0
C0086->C0087,C0802,4.0
C0087->C0088,C0800,4.0
C0090->C0091,C0785,4.0
C0093->C0094,C0779,4.0
C0095->C0096,C0794,4.0
C0097->C0098,C0771,4.0
C0100->C0101,C0783,4.0
C0103->C0104,C0793,4.0
C0104->C0105,C0786,4.0
C0105->C0106,C0803,4.0
C0112->C0113,C0779,4.0
C0113->C0114,C0804,4.0
C0115->C0116,C0771,4.0
C0116->C0117,C0790,4.0
C0122->C0123,C0801,4.0
C0123->C0124,C0780,4.0
C0125->C0126,C0795,4.0
C0127->C0128,C0781,4.0
C0130->C0131,C0803,4.0
C0131->C0132,C0770,4.0
C0133->C0134,C0802,4.0
C0134->C0135,C0796,4.0
C0135->C0136,C0804,4.0
C0138->C0139,C0778,4.0
C0139->C0140,C0785,4.0
C0144->C0145,C0795,4.0
C0147->C0148,C0784,4.0
C0148->C0149,C0785,4.0
C0149->C0150,C0794,4.0
C0151->C0152,C0792,4.0
C0152->C0153,C0793,4.0
C0154->C0155,C0788,4.0
C0156->C0157,C0780,4.0
C0157->C0158,C0774,4.0
C0160->C0161,C0786,4.0
C0161->C0162,C0768,4.0
C0162->C0163,C0771,4.0
C0168->C0169,C0802,4.0
C0171->C0172,C0800,4.0
C0172->C0173,C0787,4.0
C0173->C0174,C0777,4.0
C0176->C0177,C0805,4.0
C0184->C0185,C0792,4.0
C0188->C0189,C0781,4.0
C0190->C0191,C0800,4.0
C0191->C0192,C0795,4.0
C0192->C0193,C0798,4.0
C0193->C0194,C0790,4.0
C0194->C0195,C0793,4.0
C0199->C0200,C0800,4.0
C0202->C0203,C0789,4.0
C0205->C0206,C0772,4.0
C0209->C0210,C0769,4.0
C0214->C0215,C0793,4.0
C0216->C0217,C0768,4.0
C0219->C0220,C0779,4.0
C0220->C0221,C0805,4.0
C0222->C0223,C0777,4.0
C0229->C0230,C0801,4.0
C0231->C0232,C0794,4.0
C0232->C0233,C0800,4.0
C0235->C0236,C0776,4.0
C0236->C0237,C0786,4.0
C0239->C0240,C0804,4.0
C0241->C0242,C0784,4.0
C0242->C0243,C0802,4.0
C0245->C0246,C0795,4.0
C0249->C0250,C0787,4.0
C0250->C0251,C0801,4.0
C0252->C0253,C0786,4.0
C0254->C0255,C0779,4.0
C0260->C0261,C0800,4.0
C0263->C0264,C0793,4.0
C0270->C0271,C0775,4.0
C0273->C0274,C0772,4.0
C0276->C0277,C0786,4.0
C0280->C0281,C0780,4.0
C0285->C0286,C0796,4.0
C0287->C0288,C0779,4.0
C0288->C0289,C0794,4.0
C0290->C0291,C0770,4.0
C0292->C0293,C0788,4.0
C0298->C0299,C0789,4.0
C0301->C0302,C0805,4.0
C0304->C0305,C0796,4.0
C0305->C0306,C0786,4.0
C0310->C0311,C0794,4.0
C0311->C0312,C0769,4.0
C0313->C0314,C0793,4.0
C0315->C0316,C0779,4.0
C0317->C0318,C0778,4.0
C0318->C0319,C0791,4.0
C0325->C0326,C0768,4.0
C0329->C0330,C0793,4.0
C0331->C0332,C0778,4.0
C0332->C0333,C0792,4.0
C0333->C0334,C0771,4.0
C0334->C0335,C0783,4.0
C0340->C0341,C0768,4.0
C0343->C0344,C0769,4.0
C0345->C0346,C0770,4.0
C0347->C0348,C0803,4.0
C0355->C0356,C0777,4.0
C0364->C0365,C0801,4.0
C0366->C0367,C0774,4.0
C0372->C0373,C0768,4.0
C0377->C0378,C0776,4.0
C0381->C0382,C0768,4.0
C0382->C0383,C0781,4.0
C0385->C0386,C0774,4.0
C0387->C0388,C0801,4.0
C0393->C0394,C0777,4.0
C0395->C0396,C0774,4.0
C0398->C0399,C0771,4.0
C0399->C0400,C0799,4.0
C0403->C0404,C0792,4.0
C0405->C0406,C0783,4.0
C0406->C0407,C0776,4.0
C0409->C0410,C0777,4.0
C0410->C0411,C0795,4.0
C0416->C0417,C0791,4.0
C0420->C0421,C0778,4.0
C0421->C0422,C0768,4.0
C0422->C0423,C0802,4.0
C0426->C0427,C0775,4.0
C0429->C0430,C0804,4.0
C0432->C0433,C0786,4.0
C0439->C0440,C0793,4.0
C0441->C0442,C0803,4.0
C0448->C0449,C0796,4.0
C0452->C0453,C0805,4.0
C0453->C0454,C0768,4.0
C0454->C0455,C0773,4.0
C0459->C0460,C0795,4.0
C0460->C0461,C0789,4.0
C0463->C0464,C0802,4.0
C0464->C0465,C0800,4.0
C0467->C0468,C0785,4.0
C0470->C0471,C0779,4.0
C0472->C0473,C0794,4.0
C0474->C0475,C0771,4.0
C0478->C0479,C0783,4.0
C0481->C0482,C0793,4.0
C0482->C0483,C0786,4.0
C0483->C0484,C0803,4.0
C0490->C0491,C0779,4.0
C0491->C0492,C0804,4.0
C0493->C0494,C0771,4.0
C0494->C0495,C0790,4.0
C0501->C0502,C0801,4.0
C0502->C0503,C0780,4.0
C0504->C0505,C0795,4.0
C0506->C0507,C0781,4.0
C0509->C0510,C0803,4.0
C0510->C0511,C0770,4.0
C0512->C0513,C0802,4.0
C0513->C0514,C0796,4.0
C0514->C0515,C0804,4.0
C0517->C0518,C0778,4.0
C0518->C0519,C0785,4.0
C0524->C0525,C0795,4.0
C0527->C0528,C0784,4.0
C0528->C0529,C0785,4.0
C0529->C0530,C0794,4.0
C0531->C0532,C0792,4.0
C0532->C0533,C0793,4.0
C0534->C0535,C0788,4.0
C0536->C0537,C0780,4.0
C0537->C0538,C0774,4.0
C0538->C0539,C0782,4.0
C0541->C0542,C0786,4.0
C0542->C0543,C0768,4.0
C0543->C0544,C0771,4.0
C0549->C0550,C0802,4.0
C0552->C0553,C0800,4.0
C0553->C0554,C0787,4.0
C0554->C0555,C0777,4.0
C0557->C0558,C0805,4.0
C0566->C0567,C0792,4.0
C0570->C0571,C0781,4.0
C0572->C0573,C0800,4.0
C0573->C0574,C0795,4.0
C0574->C0575,C0798,4.0
C0575->C0576,C0790,4.0
C0576->C0577,C0793,4.0
C0582->C0583,C0800,4.0
C0585->C0586,C0789,4.0
C0588->C0589,C0772,4.0
C0592->C0593,C0769,4.0
C0598->C0599,C0793,4.0
C0600->C0601,C0768,4.0
C0603->C0604,C0779,4.0
C0604->C0605,C0805,4.0
C0606->C0607,C0777,4.0
C0610->C0611,C0795,4.0
C0614->C0615,C0801,4.0
C0616->C0617,C0794,4.0
C0617->C0618,C0800,4.0
C0620->C0621,C0776,4.0
C0621->C0622,C0786,4.0
C0624->C0625,C0804,4.0
C0626->C0627,C0784,4.0
C0627->C0628,C0802,4.0
C0630->C0631,C0795,4.0
C0635->C0636,C0787,4.0
C0636->C0637,C0801,4.0
C0638->C0639,C0786,4.0
C0640->C0641,C0779,4.0
C0646->C0647,C0800,4.0
C0649->C0650,C0793,4.0
C0651->C0652,C0792,4.0
C0657->C0658,C0775,4.0
C0660->C0661,C0772,4.0
C0663->C0664,C0786,4.0
C0667->C0668,C0780,4.0
C0669->C0670,C0803,4.0
C0673->C0674,C0796,4.0
C0675->C0676,C0779,4.0
C0676->C0677,C0794,4.0
C0678->C0679,C0770,4.0
C0680->C0681,C0788,4.0
C0686->C0687,C0789,4.0
C0689->C0690,C0805,4.0
C0693->C0694,C0796,4.0
C0694->C0695,C0786,4.0
C0699->C0700,C0794,4.0
C0700->C0701,C0769,4.0
C0702->C0703,C0793,4.0
C0704->C0705,C0779,4.0
C0706->C0707,C0778,4.0
C0707->C0708,C0791,4.0
C0715->C0716,C0768,4.0
C0719->C0720,C0793,4.0
C0721->C0722,C0778,4.0
C0722->C0723,C0792,4.0
C0723->C0724,C0771,4.0
C0724->C0725,C0783,4.0
