Col_A_P2,Col_B_Aux1,Col_C_Bin,Col_D_RHS
12.965763013,25.931526025,-757.852198,-378.926099
5.4177149544,10.835429909,-276.0947425,-138.0473713
18.594056935,37.18811387,-541.4066409,-270.7033205
19.228802625,38.45760525,-1246.699024,-576.8640787
3.9030647582,7.8061295163,-240.8811825,-117.0919427
14.853912476,29.707824951,-971.6952847,-445.6173743
11.927577237,23.855154474,-597.7190735,-298.8595368
6.7364312999,13.4728626,-371.3427543,-185.6713772
8.2928747644,16.585749529,-783.8138742,-248.7862429
9.3304386902,18.66087738,-708.5095757,-279.9131607
13.973811353,27.947622705,-694.0132829,-347.0066414
12.364530133,24.729060265,-329.8449366,-164.9224683
18.956387994,37.912775987,-658.1522473,-329.0761236
8.5434432722,17.086886544,-496.8601172,-248.4300586
2.0555975911,4.1111951821,-134.5065963,-61.66792773
15.600770048,31.201540097,-1003.155689,-468.0231015
10.101847188,20.203694376,-456.4945758,-228.2472879
5.0621937078,10.124387416,-322.2235194,-151.8658112
16.179465143,32.358930287,-857.7900026,-428.8950013
17.080550775,34.161101551,-568.3266355,-284.1633178
12.622989576,25.245979152,-629.9326352,-314.9663176
5.6556708256,11.311341651,-150.5690064,-75.28450321
6.5654981242,13.130996248,-417.6931777,-196.9649437
11.582106977,23.164213954,-482.1074346,-241.0537173
5.0014685199,10.00293704,-39.34701683,-19.67350841
2.4885531009,4.9771062018,-150.613525,-74.65659303
7.9887589769,15.977517954,-422.906725,-211.4533625
16.507046365,33.01409273,-1067.390947,-495.2113909
13.529285078,27.058570156,-474.9107906,-237.4553953
15.578742423,31.157484847,-728.7077084,-364.3538542
10.761149481,21.522298963,-683.0657449,-322.8344844
2.7188052532,5.4376105065,-152.1592716,-76.07963579
13.779745475,27.559490949,-701.9860052,-350.9930026
10.606247898,21.212495797,-481.3034536,-240.6517268
7.6321773971,15.264354794,-387.6363481,-193.818174
12.866232548,25.732465095,-713.6919982,-356.8459991
9.0251049958,18.050209992,-552.0314483,-270.7531499
19.22693292,38.45386584,-1282.173748,-576.8079876
12.65966785,25.319335701,-683.847362,-341.923681
15.68538781,31.37077562,-851.4023484,-425.7011742
3.0291503765,6.0583007531,-183.7830748,-90.8745113
7.616847816,15.233695632,-465.9109851,-228.5054345
4.6194694982,9.2389389963,-264.0626771,-132.0313386
7.5888212485,15.177642497,-450.5873448,-225.2936724
16.189197511,32.378395021,-654.4567235,-327.2283617
11.175206743,22.350413485,-580.020077,-290.0100385
6.7676459008,13.535291802,-422.9939513,-203.029377
16.153188265,32.306376529,-516.3630453,-258.1815227
14.161206786,28.322413571,-921.1503837,-424.8362036
6.6757063948,13.35141279,-424.3134362,-200.2711918
