Col_Res_W,Col_Qual_W
15.0,-3.889728904
15.0,-1.625314486
15.0,-5.578217081
-85.0,-14.42160197
-35.0,-1.951532379
15.0,-4.456173743
15.0,-3.578273171
115.0,0.0
115.0,0.0
115.0,0.0
-85.0,-10.48035851
15.0,-3.70935904
115.0,0.0
115.0,0.0
65.0,-0.308339639
-35.0,-7.800385024
15.0,-3.030554156
-85.0,-3.796645281
15.0,-4.853839543
15.0,-5.124165233
-35.0,-6.311494788
65.0,-0.848350624
65.0,-0.984824719
115.0,0.0
15.0,-1.500440556
-35.0,-1.24427655
-35.0,-3.994379488
15.0,-4.952113909
15.0,-4.058785523
-35.0,-7.789371212
65.0,-1.614172422
65.0,-0.407820788
-35.0,-6.889872737
115.0,0.0
115.0,0.0
-85.0,-9.649674411
-35.0,-4.512552498
65.0,-2.884039938
65.0,-1.898950178
65.0,-2.352808172
65.0,-0.454372556
115.0,0.0
-35.0,-2.309734749
115.0,0.0
65.0,-2.428379627
15.0,-3.352562023
115.0,0.0
65.0,-2.42297824
115.0,0.0
15.0,-2.002711918
