Col_Obj_Aux_1,Col_Obj_Aux_2,Col_Obj_Bin
-25.41762801,25.417628008,742.83346206
-10.62069878,10.620698777,270.62323494
-36.45113842,36.451138424,530.67731481
-37.69547166,37.695471658,1688.6893495
-7.651431545,7.6514315447,269.72672837
-29.11909013,29.11909013,1356.3359207
-23.38240495,23.38240495,585.87377579
-13.20586415,13.205864145,363.98366928
-16.25706144,16.257061438,2205.1601733
-18.29106544,18.291065443,1440.831489
-27.39377069,27.393770692,680.25967464
-24.23899211,24.238992114,323.30823454
-37.16143955,37.161439549,645.10931509
-16.74826717,16.74826717,487.01359183
-4.029721572,4.0297215716,187.91609233
-30.58320358,30.583203576,1320.1530264
-19.80330766,19.803307663,447.44799452
-9.923747368,9.9237473679,408.66380248
-31.71765719,31.717657186,840.79074926
-33.48411392,33.484113921,557.06382245
-24.74566696,24.74566696,617.44894521
-11.08717914,11.087179138,147.58510514
-12.87077273,12.87077273,528.70292352
-22.70515714,22.705157144,472.5532705
-9.804703835,9.804703835,38.56725732
-4.8784724,4.8784723997,154.15620564
-15.66088349,15.660883492,414.52577095
-32.35983595,32.359835947,1432.604066
-26.52233694,26.522336942,465.49924598
-30.54002139,30.540021391,714.26654337
-21.0957808,21.095780803,857.2540803
-5.32985066,5.3298506603,149.14385521
-27.01333074,27.013330737,688.0743975
-20.79211716,20.792117162,471.7652224
-14.96185344,14.961853443,379.95436476
-25.22251197,25.222511968,699.548407
-17.69249996,17.692499955,593.92588989
-37.69180635,37.691806354,1902.1008255
-24.81756977,24.817569765,670.29521695
-30.74908527,30.749085274,834.52968233
-5.938240378,5.9382403779,190.35152445
-14.93180187,14.931801869,501.35475313
-9.055846323,9.0558463227,258.82961504
-14.87685957,14.876859567,441.65783005
-31.73673618,31.736736178,641.48702737
-21.90748417,21.907484166,568.52552913
-13.26705616,13.267056156,499.62286823
-31.66614491,31.666144912,506.13002067
-27.76113414,27.76113414,1261.7018837
-13.08682117,13.086821167,535.23095026
