Variable_ID,Type,Lower_Bound,Upper_Bound,Obj_Coefficient
C0001,Continuous,0.0,50.0,2000.0
C0002,Continuous,0.0,30.0,2000.0
C0003,Continuous,0.0,20.0,2000.0
C0004,Continuous,0.0,30.0,2000.0
C0005,Continuous,0.0,20.0,2000.0
C0006,Continuous,0.0,50.0,2000.0
C0007,Continuous,0.0,20.0,3000.0
C0008,Continuous,0.0,20.0,3000.0
C0009,Continuous,0.0,50.0,4000.0
C0010,Continuous,0.0,20.0,500.0
C0011,Continuous,0.0,20.0,500.0
C0012,Continuous,0.0,30.0,500.0
C0013,Continuous,0.0,100.0,500.0
C0014,Continuous,0.0,20.0,500.0
C0015,Continuous,0.0,20.0,2000.0
C0016,Continuous,0.0,20.0,2000.0
C0017,Continuous,0.0,100.0,2000.0
C0018,Continuous,0.0,100.0,3000.0
C0019,Continuous,0.0,50.0,500.0
C0020,Continuous,0.0,30.0,500.0
C0021,Continuous,0.0,20.0,500.0
C0022,Continuous,0.0,20.0,500.0
C0023,Continuous,0.0,20.0,2000.0
C0024,Continuous,0.0,60.0,2000.0
C0025,Continuous,0.0,50.0,3000.0
C0026,Continuous,0.0,30.0,500.0
C0027,Continuous,0.0,20.0,500.0
C0028,Continuous,0.0,20.0,500.0
C0029,Continuous,0.0,20.0,2000.0
C0030,Continuous,0.0,20.0,2000.0
C0031,Continuous,0.0,30.0,3000.0
C0032,Continuous,0.0,30.0,3000.0
C0033,Continuous,0.0,10.0,500.0
C0034,Continuous,0.0,10.0,500.0
C0035,Continuous,0.0,10.0,500.0
C0036,Continuous,0.0,10.0,500.0
C0037,Continuous,0.0,10.0,500.0
C0038,Continuous,0.0,10.0,2000.0
C0039,Continuous,0.0,10.0,2000.0
C0040,Continuous,0.0,30.0,2000.0
C0041,Continuous,0.0,10.0,2000.0
C0042,Continuous,0.0,10.0,2000.0
C0043,Continuous,0.0,20.0,3000.0
C0044,Continuous,0.0,20.0,500.0
C0045,Continuous,0.0,30.0,500.0
C0046,Continuous,0.0,20.0,2000.0
C0047,Continuous,0.0,20.0,2000.0
C0048,Continuous,0.0,30.0,2000.0
C0049,Continuous,0.0,20.0,2000.0
C0050,Continuous,0.0,100.0,3000.0
C0051,Continuous,0.0,70.0,3000.0
C0052,Continuous,0.0,20.0,500.0
C0053,Continuous,0.0,30.0,500.0
C0054,Continuous,0.0,20.0,2000.0
C0055,Continuous,0.0,20.0,2000.0
C0056,Continuous,0.0,20.0,2000.0
C0057,Continuous,0.0,20.0,2000.0
C0058,Continuous,0.0,20.0,2000.0
C0059,Continuous,0.0,80.0,3000.0
C0060,Continuous,0.0,90.0,3000.0
C0061,Continuous,0.0,10.0,500.0
C0062,Continuous,0.0,20.0,2000.0
C0063,Continuous,0.0,20.0,2000.0
C0064,Continuous,0.0,20.0,3000.0
C0065,Continuous,0.0,50.0,3000.0
C0066,Continuous,0.0,20.0,500.0
C0067,Continuous,0.0,20.0,500.0
C0068,Continuous,0.0,20.0,2000.0
C0069,Continuous,0.0,20.0,2000.0
C0070,Continuous,0.0,20.0,2000.0
C0071,Continuous,0.0,20.0,2000.0
C0072,Continuous,0.0,20.0,2000.0
C0073,Continuous,0.0,50.0,3000.0
C0074,Continuous,0.0,20.0,2000.0
C0075,Continuous,0.0,20.0,2000.0
C0076,Continuous,0.0,20.0,2000.0
C0077,Continuous,0.0,50.0,2000.0
C0078,Continuous,0.0,20.0,2000.0
C0079,Continuous,0.0,20.0,2000.0
C0080,Continuous,0.0,100.0,3000.0
C0081,Continuous,0.0,100.0,3000.0
C0082,Continuous,0.0,20.0,2000.0
C0083,Continuous,0.0,20.0,2000.0
C0084,Continuous,0.0,50.0,3000.0
C0085,Continuous,0.0,50.0,3000.0
C0086,Continuous,0.0,10.0,500.0
C0087,Continuous,0.0,10.0,500.0
C0088,Continuous,0.0,10.0,500.0
C0089,Continuous,0.0,50.0,500.0
C0090,Continuous,0.0,50.0,2000.0
C0091,Continuous,0.0,30.0,500.0
C0092,Continuous,0.0,50.0,2000.0
C0093,Continuous,0.0,20.0,2000.0
C0094,Continuous,0.0,30.0,2000.0
C0095,Continuous,0.0,50.0,2000.0
C0096,Continuous,0.0,20.0,2000.0
C0097,Continuous,0.0,20.0,500.0
C0098,Continuous,0.0,50.0,2000.0
C0099,Continuous,0.0,30.0,2000.0
