Constraint_ID,Variable_ID,Coefficient
R0001,C0001,-1.0
R0001,C0116,1.0
R0002,C0002,-1.0
R0002,C0117,1.0
R0003,C0118,1.0
R0003,C0390,-1.0
R0003,C0393,1.0
R0004,C0003,-1.0
R0004,C0119,1.0
R0004,C0390,1.0
R0004,C0393,-1.0
R0005,C0120,1.0
R0005,C0396,-1.0
R0005,C0401,1.0
R0006,C0004,-1.0
R0006,C0121,1.0
R0006,C0396,1.0
R0006,C0401,-1.0
R0007,C0005,-1.0
R0007,C0122,1.0
R0007,C0406,1.0
R0008,C0123,1.0
R0008,C0406,-1.0
R0009,C0006,-1.0
R0009,C0124,1.0
R0010,C0007,-1.0
R0010,C0125,1.0
R0011,C0008,-1.0
R0011,C0126,1.0
R0012,C0009,-1.0
R0012,C0127,1.0
R0013,C0010,-1.0
R0013,C0128,1.0
R0013,C0391,-1.0
R0013,C0394,1.0
R0014,C0011,-1.0
R0014,C0129,1.0
R0014,C0391,1.0
R0014,C0394,-1.0
R0015,C0012,-1.0
R0015,C0130,1.0
R0015,C0397,-1.0
R0015,C0402,1.0
R0016,C0131,1.0
R0016,C0397,1.0
R0016,C0402,-1.0
R0017,C0013,-1.0
R0017,C0132,1.0
R0018,C0014,-1.0
R0018,C0133,1.0
R0019,C0015,-1.0
R0019,C0134,1.0
R0020,C0016,-1.0
R0020,C0135,1.0
R0020,C0432,1.0
R0021,C0017,-1.0
R0021,C0136,1.0
R0021,C0432,-1.0
R0022,C0018,-1.0
R0022,C0137,1.0
R0023,C0019,-1.0
R0023,C0138,1.0
R0023,C0392,-1.0
R0023,C0395,1.0
R0024,C0020,-1.0
R0024,C0139,1.0
R0024,C0392,1.0
R0024,C0395,-1.0
R0025,C0140,1.0
R0025,C0398,-1.0
R0025,C0403,1.0
R0026,C0141,1.0
R0026,C0398,1.0
R0026,C0403,-1.0
R0027,C0021,-1.0
R0027,C0142,1.0
R0027,C0407,1.0
R0028,C0143,1.0
R0028,C0407,-1.0
R0029,C0022,-1.0
R0029,C0144,1.0
R0030,C0023,-1.0
R0030,C0145,1.0
R0030,C0422,1.0
R0032,C0024,-1.0
R0032,C0147,1.0
R0032,C0422,-1.0
R0032,C0442,-1.0
R0033,C0025,-1.0
R0033,C0148,1.0
R0034,C0027,-1.0
R0034,C0150,1.0
R0034,C0399,-1.0
R0034,C0404,1.0
R0035,C0028,-1.0
R0035,C0151,1.0
R0035,C0399,1.0
R0035,C0404,-1.0
R0036,C0152,1.0
R0036,C0297,1.0
R0036,C0315,-1.0
R0036,C0408,1.0
R0037,C0153,1.0
R0037,C0298,1.0
R0037,C0316,-1.0
R0037,C0408,-1.0
R0037,C0412,-1.0
R0038,C0154,1.0
R0038,C0299,1.0
R0038,C0317,-1.0
R0038,C0412,1.0
R0039,C0155,1.0
R0039,C0300,1.0
R0039,C0318,-1.0
R0040,C0156,1.0
R0040,C0301,1.0
R0040,C0319,-1.0
R0041,C0157,1.0
R0041,C0302,1.0
R0041,C0320,-1.0
R0042,C0158,1.0
R0042,C0303,1.0
R0042,C0321,-1.0
R0042,C0416,1.0
R0043,C0159,1.0
R0043,C0306,1.0
R0043,C0324,-1.0
R0043,C0433,1.0
R0044,C0029,-1.0
R0044,C0160,1.0
R0044,C0304,1.0
R0044,C0322,-1.0
R0044,C0423,1.0
R0045,C0161,1.0
R0045,C0305,1.0
R0045,C0323,-1.0
R0045,C0428,1.0
R0046,C0162,1.0
R0046,C0307,1.0
R0046,C0325,-1.0
R0046,C0438,1.0
R0047,C0163,1.0
R0047,C0308,1.0
R0047,C0326,-1.0
R0047,C0443,1.0
R0048,C0030,-1.0
R0048,C0164,1.0
R0048,C0309,1.0
R0048,C0327,-1.0
R0048,C0416,-1.0
R0048,C0423,-1.0
R0048,C0428,-1.0
R0048,C0433,-1.0
R0048,C0438,-1.0
R0048,C0443,-1.0
R0049,C0165,1.0
R0049,C0310,1.0
R0049,C0328,-1.0
R0050,C0166,1.0
R0050,C0311,1.0
R0050,C0329,-1.0
R0051,C0167,1.0
R0051,C0312,1.0
R0051,C0330,-1.0
R0052,C0031,-1.0
R0052,C0168,1.0
R0052,C0313,1.0
R0052,C0331,-1.0
R0053,C0032,-1.0
R0053,C0169,1.0
R0053,C0314,1.0
R0053,C0332,-1.0
R0054,C0033,-1.0
R0054,C0170,1.0
R0054,C0400,-1.0
R0054,C0405,1.0
R0055,C0034,-1.0
R0055,C0171,1.0
R0055,C0400,1.0
R0055,C0405,-1.0
R0056,C0035,-1.0
R0056,C0172,1.0
R0056,C0297,-1.0
R0056,C0315,1.0
R0056,C0409,1.0
R0057,C0036,-1.0
R0057,C0173,1.0
R0057,C0298,-1.0
R0057,C0316,1.0
R0057,C0409,-1.0
R0057,C0413,-1.0
R0058,C0037,-1.0
R0058,C0174,1.0
R0058,C0299,-1.0
R0058,C0317,1.0
R0058,C0413,1.0
R0059,C0175,1.0
R0059,C0300,-1.0
R0059,C0318,1.0
R0060,C0038,-1.0
R0060,C0176,1.0
R0060,C0301,-1.0
R0060,C0319,1.0
R0061,C0177,1.0
R0061,C0302,-1.0
R0061,C0320,1.0
R0062,C0178,1.0
R0062,C0303,-1.0
R0062,C0321,1.0
R0062,C0417,1.0
R0063,C0179,1.0
R0063,C0306,-1.0
