Constraint_ID,Flow_Variable_ID,Flow_Coefficient,Facility_Variable_ID,Facility_Coefficient
R0175,C0290,-1.0,C0724,1000.0
R0176,C0291,-1.0,C0727,1000.0
R0177,C0292,-1.0,C0729,1000.0
R0178,C0293,-1.0,C0731,1000.0
R0179,C0294,-1.0,C0750,1000.0
R0180,C0295,-1.0,C0772,1000.0
R0181,C0296,-1.0,C0775,1000.0
R0182,C0297,-1.0,C0776,1000.0
R0183,C0298,-1.0,C0777,1000.0
R0184,C0299,-1.0,C0778,1000.0
R0185,C0300,-1.0,C0779,1000.0
R0186,C0301,-1.0,C0780,1000.0
R0187,C0302,-1.0,C0781,1000.0
R0188,C0303,-1.0,C0782,1000.0
R0189,C0304,-1.0,C0783,1000.0
R0190,C0305,-1.0,C0784,1000.0
R0191,C0306,-1.0,C0785,1000.0
R0192,C0307,-1.0,C0786,1000.0
R0193,C0308,-1.0,C0787,1000.0
R0194,C0309,-1.0,C0788,1000.0
R0195,C0310,-1.0,C0789,1000.0
R0196,C0311,-1.0,C0790,1000.0
R0197,C0312,-1.0,C0791,1000.0
R0198,C0313,-1.0,C0792,1000.0
R0199,C0314,-1.0,C0793,1000.0
R0200,C0315,-1.0,C0794,1000.0
R0201,C0316,-1.0,C0795,1000.0
R0202,C0317,-1.0,C0796,1000.0
R0203,C0318,-1.0,C0797,1000.0
R0204,C0319,-1.0,C0798,1000.0
R0205,C0320,-1.0,C0799,1000.0
R0206,C0321,-1.0,C0800,1000.0
R0207,C0322,-1.0,C0801,1000.0
R0208,C0323,-1.0,C0802,1000.0
R0209,C0324,-1.0,C0803,1000.0
R0210,C0325,-1.0,C0804,1000.0
R0211,C0326,-1.0,C0805,1000.0
R0212,C0327,-1.0,C0806,1000.0
R0213,C0328,-1.0,C0807,1000.0
R0214,C0329,-1.0,C0808,1000.0
R0215,C0330,-1.0,C0809,1000.0
R0216,C0331,-1.0,C0810,1000.0
R0217,C0332,-1.0,C0811,1000.0
R0218,C0333,-1.0,C0812,1000.0
R0219,C0334,-1.0,C0813,1000.0
R0220,C0335,-1.0,C0814,1000.0
R0221,C0336,-1.0,C0815,1000.0
R0222,C0337,-1.0,C0816,1000.0
R0223,C0338,-1.0,C0817,1000.0
R0224,C0339,-1.0,C0818,1000.0
R0225,C0340,-1.0,C0819,1000.0
R0226,C0341,-1.0,C0820,1000.0
R0227,C0342,-1.0,C0821,1000.0
R0228,C0343,-1.0,C0822,1000.0
R0229,C0344,-1.0,C0823,1000.0
R0230,C0345,-1.0,C0824,1000.0
R0231,C0346,-1.0,C0825,1000.0
R0232,C0347,-1.0,C0826,1000.0
R0233,C0348,-1.0,C0827,1000.0
R0234,C0349,-1.0,C0828,1000.0
R0235,C0350,-1.0,C0829,1000.0
R0236,C0351,-1.0,C0830,1000.0
R0237,C0352,-1.0,C0831,1000.0
R0238,C0353,-1.0,C0832,1000.0
R0239,C0354,-1.0,C0833,1000.0
R0240,C0355,-1.0,C0834,1000.0
R0241,C0356,-1.0,C0835,1000.0
R0242,C0357,-1.0,C0836,1000.0
R0243,C0358,-1.0,C0837,1000.0
R0244,C0359,-1.0,C0838,1000.0
R0245,C0360,-1.0,C0839,1000.0
R0246,C0361,-1.0,C0840,1000.0
R0247,C0362,-1.0,C0841,1000.0
R0248,C0363,-1.0,C0842,1000.0
R0249,C0364,-1.0,C0843,1000.0
R0250,C0365,-1.0,C0844,1000.0
R0251,C0366,-1.0,C0845,1000.0
R0252,C0367,-1.0,C0846,1000.0
R0253,C0368,-1.0,C0847,1000.0
R0254,C0369,-1.0,C0855,1000.0
R0255,C0370,-1.0,C0859,1000.0
R0256,C0371,-1.0,C0860,1000.0
R0257,C0372,-1.0,C0862,1000.0
R0258,C0373,-1.0,C0863,1000.0
R0259,C0374,-1.0,C0868,1000.0
R0260,C0375,-1.0,C0869,1000.0
R0261,C0376,-1.0,C0871,1000.0
R0262,C0377,-1.0,C0872,1000.0
R0263,C0378,-1.0,C0873,1000.0
R0264,C0379,-1.0,C0878,1000.0
R0265,C0380,-1.0,C0882,1000.0
R0266,C0381,-1.0,C0887,1000.0
R0267,C0382,-1.0,C0888,1000.0
