Constraint_ID,Variable_ID,Coefficient
R0333,C0116,-1.0
R0333,C0117,-1.0
R0333,C0118,-1.0
R0333,C0119,-1.0
R0333,C0120,-1.0
R0333,C0121,-1.0
R0333,C0122,-1.0
R0333,C0123,-1.0
R0333,C0124,-1.0
R0333,C0125,-1.0
R0333,C0126,-1.0
R0333,C0127,-1.0
R0333,C0546,1000.0
R0333,C0547,1000.0
R0333,C0548,1000.0
R0333,C0549,1000.0
R0333,C0550,1000.0
R0333,C0551,1000.0
R0333,C0552,1000.0
R0333,C0553,1000.0
R0333,C0554,1000.0
R0334,C0128,-1.0
R0334,C0129,-1.0
R0334,C0130,-1.0
R0334,C0131,-1.0
R0334,C0132,-1.0
R0334,C0133,-1.0
R0334,C0134,-1.0
R0334,C0135,-1.0
R0334,C0136,-1.0
R0334,C0137,-1.0
R0334,C0555,1000.0
R0334,C0556,1000.0
R0334,C0557,1000.0
R0334,C0558,1000.0
R0334,C0559,1000.0
R0334,C0560,1000.0
R0334,C0561,1000.0
R0334,C0562,1000.0
R0335,C0138,-1.0
R0335,C0139,-1.0
R0335,C0140,-1.0
R0335,C0141,-1.0
R0335,C0142,-1.0
R0335,C0143,-1.0
R0335,C0144,-1.0
R0335,C0145,-1.0
R0335,C0146,-1.0
R0335,C0147,-1.0
R0335,C0148,-1.0
R0335,C0563,1000.0
R0335,C0564,1000.0
R0335,C0565,1000.0
R0335,C0566,1000.0
R0335,C0567,1000.0
R0335,C0568,1000.0
R0335,C0569,1000.0
R0336,C0149,-1.0
R0336,C0150,-1.0
R0336,C0151,-1.0
R0336,C0152,-1.0
R0336,C0153,-1.0
R0336,C0154,-1.0
R0336,C0155,-1.0
R0336,C0156,-1.0
R0336,C0157,-1.0
R0336,C0158,-1.0
R0336,C0159,-1.0
R0336,C0160,-1.0
R0336,C0161,-1.0
R0336,C0162,-1.0
R0336,C0163,-1.0
R0336,C0164,-1.0
R0336,C0165,-1.0
R0336,C0166,-1.0
R0336,C0167,-1.0
R0336,C0168,-1.0
R0336,C0169,-1.0
R0336,C0570,1000.0
R0336,C0571,1000.0
R0336,C0572,1000.0
R0336,C0573,1000.0
R0336,C0574,1000.0
R0336,C0575,1000.0
R0337,C0170,-1.0
R0337,C0171,-1.0
R0337,C0172,-1.0
R0337,C0173,-1.0
R0337,C0174,-1.0
R0337,C0175,-1.0
R0337,C0176,-1.0
R0337,C0177,-1.0
R0337,C0178,-1.0
R0337,C0179,-1.0
R0337,C0180,-1.0
R0337,C0181,-1.0
R0337,C0182,-1.0
R0337,C0183,-1.0
R0337,C0184,-1.0
R0337,C0185,-1.0
R0337,C0186,-1.0
R0337,C0187,-1.0
R0337,C0188,-1.0
R0337,C0189,-1.0
R0337,C0576,1000.0
R0337,C0577,1000.0
R0337,C0578,1000.0
R0337,C0579,1000.0
R0337,C0580,1000.0
R0337,C0581,1000.0
R0338,C0190,-1.0
R0338,C0191,-1.0
R0338,C0192,-1.0
R0338,C0193,-1.0
R0338,C0194,-1.0
R0338,C0195,-1.0
R0338,C0196,-1.0
R0338,C0197,-1.0
R0338,C0198,-1.0
R0338,C0199,-1.0
R0338,C0200,-1.0
R0338,C0201,-1.0
R0338,C0202,-1.0
R0338,C0203,-1.0
R0338,C0204,-1.0
R0338,C0205,-1.0
R0338,C0206,-1.0
R0338,C0207,-1.0
R0338,C0582,1000.0
R0338,C0583,1000.0
R0338,C0584,1000.0
R0338,C0585,1000.0
R0339,C0208,-1.0
R0339,C0209,-1.0
R0339,C0210,-1.0
R0339,C0211,-1.0
R0339,C0212,-1.0
R0339,C0213,-1.0
R0339,C0214,-1.0
R0339,C0215,-1.0
R0339,C0216,-1.0
R0339,C0217,-1.0
R0339,C0218,-1.0
R0339,C0219,-1.0
R0339,C0220,-1.0
R0339,C0221,-1.0
R0339,C0222,-1.0
R0339,C0223,-1.0
R0339,C0224,-1.0
R0339,C0225,-1.0
R0339,C0226,-1.0
R0339,C0586,1000.0
R0339,C0587,1000.0
R0339,C0588,1000.0
R0339,C0589,1000.0
R0340,C0227,-1.0
R0340,C0228,-1.0
R0340,C0229,-1.0
R0340,C0230,-1.0
R0340,C0231,-1.0
R0340,C0590,1000.0
R0340,C0591,1000.0
R0340,C0592,1000.0
R0340,C0593,1000.0
R0340,C0594,1000.0
R0340,C0595,1000.0
R0340,C0596,1000.0
R0340,C0597,1000.0
R0340,C0598,1000.0
R0340,C0599,1000.0
R0340,C0600,1000.0
R0340,C0601,1000.0
R0341,C0232,-1.0
R0341,C0233,-1.0
R0341,C0234,-1.0
R0341,C0235,-1.0
R0341,C0236,-1.0
R0341,C0237,-1.0
R0341,C0238,-1.0
R0341,C0239,-1.0
R0341,C0240,-1.0
R0341,C0241,-1.0
R0341,C0242,-1.0
R0341,C0243,-1.0
R0341,C0244,-1.0
R0341,C0602,1000.0
R0341,C0603,1000.0
R0341,C0604,1000.0
R0341,C0605,1000.0
R0341,C0606,1000.0
R0341,C0607,1000.0
R0341,C0608,1000.0
R0341,C0609,1000.0
R0341,C0610,1000.0
R0341,C0611,1000.0
R0341,C0612,1000.0
R0341,C0613,1000.0
R0342,C0245,-1.0
R0342,C0246,-1.0
R0342,C0247,-1.0
R0342,C0248,-1.0
R0342,C0249,-1.0
