Constraint_ID,Variable_ID,Coefficient,RHS_Value
R0031,C0146,1.0,20.0
R0031,C0442,1.0,20.0
R0560,C0602,1.0,1.0
R0560,C0603,1.0,1.0
R0560,C0604,1.0,1.0
R0560,C0605,1.0,1.0
R0560,C0606,1.0,1.0
R0560,C0607,1.0,1.0
R0560,C0608,1.0,1.0
R0560,C0609,1.0,1.0
R0560,C0610,1.0,1.0
R0560,C0611,1.0,1.0
R0560,C0612,1.0,1.0
R0560,C0613,1.0,1.0
R0561,C0708,1.0,1.0
R0561,C0709,1.0,1.0
R0561,C0710,1.0,1.0
R0561,C0711,1.0,1.0
R0561,C0712,1.0,1.0
R0561,C0713,1.0,1.0
R0561,C0714,1.0,1.0
R0561,C0715,1.0,1.0
R0561,C0716,1.0,1.0
R0561,C0717,1.0,1.0
R0562,C0546,1.0,1.0
R0562,C0547,1.0,1.0
R0562,C0548,1.0,1.0
R0562,C0549,1.0,1.0
R0562,C0550,1.0,1.0
R0562,C0551,1.0,1.0
R0562,C0552,1.0,1.0
R0562,C0553,1.0,1.0
R0562,C0554,1.0,1.0
R0585,C0667,1.0,1.0
R0585,C0677,1.0,1.0
R0585,C0687,1.0,1.0
R0585,C0697,1.0,1.0
R0585,C0707,1.0,1.0
R0585,C0717,1.0,1.0
R0585,C0720,1.0,1.0
R0585,C0722,1.0,1.0
R0585,C0723,1.0,1.0
