From/To,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,99999.0,2373.0,3792.0,4660.0,5847.0,5806.0,5655.0,5680.0,5742.0,5804.0,5172.0,4471.0,4672.0,5573.0
2,2373.0,99999.0,2079.0,2947.0,4134.0,4093.0,3942.0,3967.0,4029.0,4091.0,3459.0,2758.0,2973.0,3860.0
3,3792.0,2079.0,99999.0,868.0,2037.0,1995.0,1844.0,1869.0,1931.0,1994.0,1361.0,660.0,922.0,1762.0
4,4660.0,2947.0,868.0,99999.0,1437.0,1395.0,1237.0,1269.0,1331.0,1394.0,1164.0,459.0,761.0,1551.0
5,5847.0,4134.0,2037.0,1437.0,99999.0,42.0,276.0,490.0,552.0,615.0,1340.0,1423.0,1492.0,1426.0
6,5806.0,4093.0,1995.0,1395.0,42.0,99999.0,234.0,449.0,511.0,573.0,1299.0,1382.0,1451.0,1385.0
7,5655.0,3942.0,1844.0,1237.0,276.0,234.0,99999.0,307.0,369.0,432.0,1148.0,1231.0,1300.0,1244.0
8,5680.0,3967.0,1869.0,1269.0,490.0,449.0,307.0,99999.0,57.0,120.0,881.0,1256.0,1325.0,934.0
9,5742.0,4029.0,1931.0,1331.0,552.0,511.0,369.0,57.0,99999.0,63.0,884.0,1317.0,1387.0,937.0
10,5804.0,4091.0,1994.0,1394.0,615.0,573.0,432.0,120.0,63.0,99999.0,924.0,1380.0,1449.0,977.0
11,5172.0,3459.0,1361.0,1164.0,1340.0,1299.0,1148.0,881.0,884.0,924.0,99999.0,736.0,805.0,414.0
12,4471.0,2758.0,660.0,459.0,1423.0,1382.0,1231.0,1256.0,1317.0,1380.0,736.0,99999.0,302.0,1149.0
13,4672.0,2973.0,922.0,761.0,1492.0,1451.0,1300.0,1325.0,1387.0,1449.0,805.0,302.0,99999.0,1218.0
14,5573.0,3860.0,1762.0,1551.0,1426.0,1385.0,1244.0,934.0,937.0,977.0,414.0,1149.0,1218.0,99999.0
