Input_Variable_ID,Output_Variable_ID,Yield_Ratio
C0001,C0103,1.0
C0001,C0106,1.0
C0001,C0109,1.0
C0018,C0103,1.0
C0018,C0106,1.0
C0018,C0109,1.0
C0035,C0103,1.0
C0035,C0106,1.0
C0035,C0109,1.0
C0052,C0103,1.0
C0052,C0106,1.0
C0052,C0109,1.0
C0069,C0103,1.0
C0069,C0106,1.0
C0069,C0109,1.0
C0086,C0103,1.0
C0086,C0106,1.0
C0086,C0109,1.0
C0002,C0104,0.8
C0002,C0107,0.8
C0002,C0110,0.8
C0019,C0104,0.8
C0019,C0107,0.8
C0019,C0110,0.8
C0036,C0104,0.8
C0036,C0107,0.8
C0036,C0110,0.8
C0053,C0104,0.8
C0053,C0107,0.8
C0053,C0110,0.8
C0070,C0104,0.8
C0070,C0107,0.8
C0070,C0110,0.8
C0087,C0104,0.8
C0087,C0107,0.8
C0087,C0110,0.8
C0003,C0105,0.2
C0003,C0108,0.2
C0003,C0111,0.2
C0020,C0105,0.2
C0020,C0108,0.2
C0020,C0111,0.2
C0037,C0105,0.2
C0037,C0108,0.2
C0037,C0111,0.2
C0054,C0105,0.2
C0054,C0108,0.2
C0054,C0111,0.2
C0071,C0105,0.2
C0071,C0108,0.2
C0071,C0111,0.2
C0088,C0105,0.2
C0088,C0108,0.2
C0088,C0111,0.2
C0004,C0112,1.0
C0004,C0115,1.0
C0004,C0118,1.0
C0021,C0112,1.0
C0021,C0115,1.0
C0021,C0118,1.0
C0038,C0112,1.0
C0038,C0115,1.0
C0038,C0118,1.0
C0055,C0112,1.0
C0055,C0115,1.0
C0055,C0118,1.0
C0072,C0112,1.0
C0072,C0115,1.0
C0072,C0118,1.0
C0089,C0112,1.0
C0089,C0115,1.0
C0089,C0118,1.0
C0005,C0113,0.8
C0005,C0116,0.8
C0005,C0119,0.8
C0022,C0113,0.8
C0022,C0116,0.8
C0022,C0119,0.8
C0039,C0113,0.8
C0039,C0116,0.8
C0039,C0119,0.8
C0056,C0113,0.8
C0056,C0116,0.8
C0056,C0119,0.8
C0073,C0113,0.8
C0073,C0116,0.8
C0073,C0119,0.8
C0090,C0113,0.8
C0090,C0116,0.8
C0090,C0119,0.8
C0006,C0121,1.0
C0006,C0124,1.0
C0006,C0127,1.0
C0023,C0121,1.0
C0023,C0124,1.0
C0023,C0127,1.0
C0040,C0121,1.0
C0040,C0124,1.0
C0040,C0127,1.0
C0057,C0121,1.0
C0057,C0124,1.0
C0057,C0127,1.0
C0074,C0121,1.0
C0074,C0124,1.0
C0074,C0127,1.0
C0091,C0121,1.0
C0091,C0124,1.0
C0091,C0127,1.0
C0007,C0122,0.8
C0007,C0125,0.8
C0007,C0128,0.8
C0024,C0122,0.8
C0024,C0125,0.8
C0024,C0128,0.8
C0041,C0122,0.8
C0041,C0125,0.8
C0041,C0128,0.8
C0058,C0122,0.8
C0058,C0125,0.8
C0058,C0128,0.8
C0075,C0122,0.8
C0075,C0125,0.8
C0075,C0128,0.8
C0092,C0122,0.8
C0092,C0125,0.8
C0092,C0128,0.8
C0008,C0123,0.2
C0008,C0126,0.2
C0008,C0129,0.2
C0025,C0123,0.2
C0025,C0126,0.2
C0025,C0129,0.2
C0042,C0123,0.2
C0042,C0126,0.2
C0042,C0129,0.2
C0059,C0123,0.2
C0059,C0126,0.2
C0059,C0129,0.2
C0076,C0123,0.2
C0076,C0126,0.2
C0076,C0129,0.2
C0093,C0123,0.2
C0093,C0126,0.2
C0093,C0129,0.2
C0009,C0130,1.0
C0009,C0133,1.0
C0009,C0136,1.0
C0026,C0130,1.0
C0026,C0133,1.0
C0026,C0136,1.0
C0043,C0130,1.0
C0043,C0133,1.0
C0043,C0136,1.0
C0060,C0130,1.0
C0060,C0133,1.0
C0060,C0136,1.0
C0077,C0130,1.0
C0077,C0133,1.0
C0077,C0136,1.0
C0094,C0130,1.0
C0094,C0133,1.0
C0094,C0136,1.0
C0010,C0131,0.8
C0010,C0134,0.8
