Variable_ID,Unit_Cost_Revenue,Type
C0001,-50.0,Continuous
C0002,-52.0,Continuous
C0003,-54.0,Continuous
C0004,-114.0,Continuous
C0005,-119.0,Continuous
C0006,-115.0,Continuous
C0007,-121.0,Continuous
C0008,-122.0,Continuous
C0009,-114.0,Continuous
C0010,-117.0,Continuous
C0011,-118.0,Continuous
C0012,-116.0,Continuous
C0013,-119.0,Continuous
C0014,-120.0,Continuous
C0015,-116.0,Continuous
C0016,-120.0,Continuous
C0017,-121.0,Continuous
C0018,-117.0,Continuous
C0019,-119.0,Continuous
C0020,-121.0,Continuous
C0021,-65.0,Continuous
C0022,-70.0,Continuous
C0023,-66.0,Continuous
C0024,-72.0,Continuous
C0025,-73.0,Continuous
C0026,-55.0,Continuous
C0027,-58.0,Continuous
C0028,-59.0,Continuous
C0029,-58.0,Continuous
C0030,-61.0,Continuous
C0031,-62.0,Continuous
C0032,-60.0,Continuous
C0033,-64.0,Continuous
C0034,-65.0,Continuous
C0035,-117.0,Continuous
C0036,-119.0,Continuous
C0037,-121.0,Continuous
C0038,-114.0,Continuous
C0039,-119.0,Continuous
C0040,-36.0,Continuous
C0041,-42.0,Continuous
C0042,-43.0,Continuous
C0043,-37.0,Continuous
C0044,-40.0,Continuous
C0045,-41.0,Continuous
C0046,-40.0,Continuous
C0047,-43.0,Continuous
C0048,-44.0,Continuous
C0049,-42.0,Continuous
C0050,-46.0,Continuous
C0051,-47.0,Continuous
C0052,-117.0,Continuous
C0053,-119.0,Continuous
C0054,-121.0,Continuous
C0055,-77.0,Continuous
C0056,-82.0,Continuous
C0057,-58.0,Continuous
C0058,-64.0,Continuous
C0059,-65.0,Continuous
C0060,-40.0,Continuous
C0061,-43.0,Continuous
C0062,-44.0,Continuous
C0063,-44.0,Continuous
C0064,-47.0,Continuous
C0065,-48.0,Continuous
C0066,-45.0,Continuous
C0067,-49.0,Continuous
C0068,-50.0,Continuous
C0069,-117.0,Continuous
C0070,-119.0,Continuous
C0071,-121.0,Continuous
C0072,-41.0,Continuous
C0073,-46.0,Continuous
C0074,-64.0,Continuous
C0075,-70.0,Continuous
C0076,-71.0,Continuous
C0077,-61.0,Continuous
C0078,-64.0,Continuous
C0079,-65.0,Continuous
C0080,-57.0,Continuous
C0081,-60.0,Continuous
C0082,-61.0,Continuous
C0083,-58.0,Continuous
C0084,-62.0,Continuous
C0085,-63.0,Continuous
C0086,-117.0,Continuous
C0087,-119.0,Continuous
C0088,-121.0,Continuous
C0089,-43.0,Continuous
C0090,-48.0,Continuous
C0091,-36.0,Continuous
C0092,-42.0,Continuous
C0093,-43.0,Continuous
C0094,-40.0,Continuous
C0095,-43.0,Continuous
C0096,-44.0,Continuous
C0097,-42.0,Continuous
C0098,-45.0,Continuous
C0099,-46.0,Continuous
C0100,-44.0,Continuous
C0101,-48.0,Continuous
C0102,-49.0,Continuous
C0103,255.0,Continuous
C0104,215.0,Continuous
C0105,315.0,Continuous
C0106,255.0,Continuous
C0107,215.0,Continuous
C0108,315.0,Continuous
C0109,250.0,Continuous
C0110,210.0,Continuous
C0111,310.0,Continuous
C0112,255.0,Continuous
C0113,215.0,Continuous
C0114,315.0,Continuous
C0115,255.0,Continuous
C0116,215.0,Continuous
C0117,315.0,Continuous
C0118,250.0,Continuous
C0119,210.0,Continuous
C0120,310.0,Continuous
C0121,250.0,Continuous
C0122,210.0,Continuous
C0123,310.0,Continuous
C0124,250.0,Continuous
C0125,210.0,Continuous
C0126,310.0,Continuous
C0127,245.0,Continuous
C0128,205.0,Continuous
C0129,305.0,Continuous
C0130,241.0,Continuous
C0131,201.0,Continuous
C0132,301.0,Continuous
C0133,241.0,Continuous
C0134,201.0,Continuous
C0135,301.0,Continuous
C0136,233.0,Continuous
C0137,193.0,Continuous
C0138,293.0,Continuous
C0139,241.0,Continuous
C0140,201.0,Continuous
C0141,301.0,Continuous
C0142,241.0,Continuous
C0143,201.0,Continuous
C0144,301.0,Continuous
C0145,233.0,Continuous
C0146,193.0,Continuous
C0147,293.0,Continuous
C0148,241.0,Continuous
C0149,201.0,Continuous
C0150,301.0,Continuous
C0151,241.0,Continuous
C0152,201.0,Continuous
C0153,301.0,Continuous
C0154,233.0,Continuous
C0155,193.0,Continuous
C0156,293.0,Continuous
C0157,-500000.0,Integer
C0158,-500000.0,Integer
C0159,-500000.0,Integer
C0160,-500000.0,Integer
C0161,-500000.0,Integer
C0162,-500000.0,Integer
C0163,-50000.0,Integer
C0164,-40000.0,Integer
C0165,-80000.0,Integer
C0166,-50000.0,Integer
C0167,-60000.0,Integer
C0168,-80000.0,Integer
C0169,-60000.0,Integer
C0170,-70000.0,Integer
C0171,-80000.0,Integer
C0172,-50000.0,Integer
C0173,-60000.0,Integer
C0174,-80000.0,Integer
C0175,-60000.0,Integer
C0176,-70000.0,Integer
C0177,-80000.0,Integer
C0178,-60000.0,Integer
C0179,-70000.0,Integer
C0180,-80000.0,Integer
