Mode_ID,Global_Resource_ID,Amount
C0232,1,18338.0
C0234,1,8400.0
C0240,1,28796.0
C0245,1,5600.0
C0250,1,31180.0
C0255,1,14000.0
C0261,1,6915.0
C0266,1,2800.0
C0272,1,11209.0
C0277,1,8400.0
C0282,1,10107.0
C0287,1,19600.0
C0293,1,2800.0
C0299,1,17148.0
C0304,1,16800.0
C0310,1,69440.0
C0315,1,84000.0
C0321,1,16800.0
C0327,1,44300.0
C0332,1,33600.0
C0338,1,5600.0
C0344,1,18298.0
C0349,1,33600.0
C0354,1,11200.0
C0360,1,5600.0
C0366,1,2800.0
C0372,1,2800.0
C0378,1,98608.0
C0383,1,162400.0
C0388,1,58800.0
C0394,1,5600.0
C0400,1,43943.0
C0405,1,50400.0
C0410,1,16800.0
C0416,1,5600.0
C0422,1,10729.0
C0427,1,16800.0
C0433,1,8400.0
C0439,1,5600.0
C0445,1,23919.0
C0450,1,33600.0
C0456,1,11200.0
C0462,1,2800.0
C0469,1,12925.0
C0474,1,8400.0
C0480,1,2800.0
C0485,1,8460.0
C0490,1,16800.0
C0496,1,11200.0
C0502,1,8400.0
C0511,1,2993.0
C0517,1,5600.0
C0523,1,5600.0
C0527,1,3308.0
C0533,1,2356.0
C0538,1,5600.0
C0549,1,22400.0
C0555,1,2800.0
C0607,1,9418.0
C0612,1,16800.0
C0618,1,32571.0
C0623,1,16800.0
C0630,1,8594.0
C0635,1,2800.0
C0641,1,5300.0
C0647,1,11200.0
C0669,1,19906.0
C0674,1,14000.0
C0680,1,2800.0
C0687,1,1432.0
C0693,1,5600.0
C0246,2,5600.0
C0251,2,31180.0
C0256,2,14000.0
C0262,2,6915.0
C0267,2,2800.0
C0273,2,11209.0
C0278,2,8400.0
C0283,2,10107.0
C0288,2,19600.0
C0294,2,2800.0
C0300,2,17148.0
C0305,2,16800.0
C0311,2,69440.0
C0316,2,84000.0
C0322,2,16800.0
C0328,2,44300.0
C0333,2,33600.0
C0339,2,5600.0
C0345,2,18298.0
C0350,2,33600.0
C0355,2,11200.0
C0361,2,5600.0
C0367,2,2800.0
C0373,2,2800.0
C0379,2,98608.0
C0384,2,162400.0
C0389,2,58800.0
C0395,2,5600.0
C0401,2,43943.0
C0406,2,50400.0
C0411,2,16800.0
C0417,2,5600.0
C0423,2,10729.0
C0428,2,16800.0
C0434,2,8400.0
C0440,2,5600.0
C0446,2,23919.0
C0451,2,33600.0
C0457,2,11200.0
C0463,2,2800.0
C0470,2,12925.0
C0475,2,8400.0
C0481,2,2800.0
C0486,2,8460.0
C0491,2,16800.0
C0497,2,11200.0
C0503,2,8400.0
C0528,2,3308.0
C0556,2,6740.0
C0561,2,5600.0
C0567,2,2800.0
C0573,2,11829.0
C0578,2,5600.0
C0584,2,2800.0
C0590,2,24888.0
C0595,2,28000.0
C0601,2,2800.0
C0608,2,9418.0
C0613,2,16800.0
C0619,2,32571.0
C0624,2,16800.0
C0631,2,8594.0
C0636,2,2800.0
C0642,2,5300.0
C0648,2,11200.0
C0652,2,30861.0
C0657,2,28000.0
C0663,2,8400.0
C0670,2,19906.0
C0675,2,14000.0
C0681,2,2800.0
C0688,2,1432.0
C0694,2,5600.0
C0233,3,18338.0
C0235,3,8400.0
C0257,3,14000.0
C0268,3,2800.0
C0279,3,8400.0
C0284,3,10107.0
C0289,3,19600.0
C0295,3,2800.0
C0301,3,17148.0
C0306,3,16800.0
C0312,3,69440.0
C0317,3,84000.0
C0323,3,16800.0
C0329,3,44300.0
C0334,3,33600.0
C0340,3,5600.0
C0346,3,18298.0
C0351,3,33600.0
C0356,3,11200.0
C0362,3,5600.0
