Mode_ID,Local_Resource_ID,Amount
C0232,1,18000.0
C0234,1,2400.0
C0698,1,22500.0
C0700,1,3000.0
C0233,2,18000.0
C0235,2,2400.0
C0699,2,22500.0
C0701,2,3000.0
C0236,3,32800.0
C0241,3,2400.0
C0702,3,41000.0
C0707,3,1500.0
C0237,4,32800.0
C0242,4,2400.0
C0703,4,41000.0
C0708,4,1500.0
C0238,5,32800.0
C0243,5,2400.0
C0704,5,41000.0
C0709,5,1500.0
C0239,6,32800.0
C0244,6,2400.0
C0705,6,41000.0
C0710,6,1500.0
C0240,7,32800.0
C0245,7,2400.0
C0706,7,41000.0
C0711,7,1500.0
C0247,8,32400.0
C0252,8,4800.0
C0713,8,40500.0
C0718,8,6000.0
C0248,9,32400.0
C0253,9,4800.0
C0714,9,40500.0
C0719,9,6000.0
C0249,10,32400.0
C0254,10,4800.0
C0715,10,40500.0
C0720,10,6000.0
C0250,11,32400.0
C0255,11,4800.0
C0716,11,40500.0
C0721,11,6000.0
C0251,12,32400.0
C0256,12,4800.0
C0717,12,40500.0
C0722,12,6000.0
C0258,13,6000.0
C0263,13,1200.0
C0724,13,7500.0
C0729,13,1500.0
C0259,14,6000.0
C0264,14,1200.0
C0725,14,7500.0
C0730,14,1500.0
C0260,15,6000.0
C0265,15,1200.0
C0726,15,7500.0
C0731,15,1500.0
C0261,16,6000.0
C0266,16,1200.0
C0727,16,7500.0
C0732,16,1500.0
C0262,17,6000.0
C0267,17,1200.0
C0728,17,7500.0
C0733,17,1500.0
C0268,18,1200.0
C0734,18,1500.0
C0269,19,15200.0
C0274,19,3600.0
C0735,19,19000.0
C0740,19,1500.0
C0270,20,15200.0
C0275,20,3600.0
C0736,20,19000.0
C0741,20,1500.0
C0271,21,15200.0
C0276,21,3600.0
C0737,21,19000.0
C0742,21,1500.0
C0272,22,15200.0
C0277,22,3600.0
C0738,22,19000.0
C0743,22,1500.0
C0273,23,15200.0
C0278,23,3600.0
C0739,23,19000.0
C0744,23,1500.0
C0280,24,12800.0
C0285,24,7600.0
C0291,24,800.0
C0746,24,16000.0
C0751,24,9500.0
C0281,25,12800.0
C0286,25,7600.0
C0292,25,800.0
C0747,25,16000.0
C0752,25,9500.0
C0282,26,12800.0
C0287,26,7600.0
C0293,26,800.0
C0748,26,16000.0
C0753,26,9500.0
C0283,27,12800.0
C0288,27,7600.0
C0294,27,800.0
C0749,27,16000.0
C0754,27,9500.0
C0284,28,12800.0
C0289,28,7600.0
C0295,28,800.0
C0750,28,16000.0
C0755,28,9500.0
C0290,29,7600.0
C0296,29,800.0
C0756,29,9500.0
C0297,30,16800.0
C0302,30,6400.0
C0757,30,21000.0
C0762,30,6500.0
C0298,31,16800.0
C0303,31,6400.0
C0758,31,21000.0
C0763,31,6500.0
C0299,32,16800.0
C0304,32,6400.0
C0759,32,21000.0
C0764,32,6500.0
C0300,33,16800.0
C0305,33,6400.0
C0760,33,21000.0
C0765,33,6500.0
C0301,34,16800.0
C0306,34,6400.0
C0761,34,21000.0
C0766,34,6500.0
C0307,35,6400.0
C0767,35,6500.0
C0308,36,61200.0
C0313,36,28800.0
C0319,36,4800.0
C0768,36,76500.0
C0773,36,24000.0
C0309,37,61200.0
C0314,37,28800.0
C0320,37,4800.0
C0769,37,76500.0
C0774,37,24000.0
C0310,38,61200.0
C0315,38,28800.0
C0321,38,4800.0
C0770,38,76500.0
C0775,38,24000.0
C0311,39,61200.0
C0316,39,28800.0
C0322,39,4800.0
C0771,39,76500.0
C0776,39,24000.0
C0312,40,61200.0
C0317,40,28800.0
C0323,40,4800.0
C0772,40,76500.0
C0777,40,24000.0
C0318,41,28800.0
C0324,41,4800.0
C0778,41,24000.0
C0325,42,43600.0
C0330,42,11600.0
C0336,42,1600.0
C0779,42,54500.0
C0784,42,10000.0
C0326,43,43600.0
C0331,43,11600.0
C0337,43,1600.0
C0780,43,54500.0
C0785,43,10000.0
C0327,44,43600.0
C0332,44,11600.0
C0338,44,1600.0
C0781,44,54500.0
C0786,44,10000.0
C0328,45,43600.0
C0333,45,11600.0
C0339,45,1600.0
C0782,45,54500.0
C0787,45,10000.0
C0329,46,43600.0
C0334,46,11600.0
C0340,46,1600.0
C0783,46,54500.0
C0788,46,10000.0
C0335,47,11600.0
C0341,47,1600.0
C0789,47,10000.0
C0342,48,22000.0
C0347,48,16000.0
C0352,48,3600.0
C0358,48,1200.0
C0364,48,400.0
C0370,48,400.0
C0790,48,27500.0
C0795,48,9000.0
C0801,48,500.0
C0343,49,22000.0
C0348,49,16000.0
C0353,49,3600.0
C0359,49,1200.0
C0365,49,400.0
C0371,49,400.0
C0791,49,27500.0
C0796,49,9000.0
C0802,49,500.0
C0344,50,22000.0
C0349,50,16000.0
C0354,50,3600.0
C0360,50,1200.0
C0366,50,400.0
C0372,50,400.0
C0792,50,27500.0
C0797,50,9000.0
C0803,50,500.0
C0345,51,22000.0
C0350,51,16000.0
C0355,51,3600.0
C0361,51,1200.0
C0367,51,400.0
C0373,51,400.0
C0793,51,27500.0
C0798,51,9000.0
C0804,51,500.0
C0346,52,22000.0
C0351,52,16000.0
C0356,52,3600.0
C0362,52,1200.0
C0368,52,400.0
C0374,52,400.0
C0794,52,27500.0
C0799,52,9000.0
C0805,52,500.0
C0357,53,3600.0
C0363,53,1200.0
C0369,53,400.0
C0375,53,400.0
C0800,53,9000.0
C0806,53,500.0
C0376,54,102800.0
C0381,54,76800.0
C0386,54,23600.0
C0392,54,1600.0
C0807,54,128500.0
C0812,54,53500.0
C0818,54,4000.0
C0377,55,102800.0
C0382,55,76800.0
C0387,55,23600.0
C0393,55,1600.0
C0808,55,128500.0
C0813,55,53500.0
C0819,55,4000.0
C0378,56,102800.0
C0383,56,76800.0
C0388,56,23600.0
C0394,56,1600.0
C0809,56,128500.0
C0814,56,53500.0
C0820,56,4000.0
C0379,57,102800.0
C0384,57,76800.0
C0389,57,23600.0
C0395,57,1600.0
C0810,57,128500.0
C0815,57,53500.0
C0821,57,4000.0
C0380,58,102800.0
C0385,58,76800.0
C0390,58,23600.0
C0396,58,1600.0
C0811,58,128500.0
C0816,58,53500.0
C0822,58,4000.0
C0391,59,23600.0
C0397,59,1600.0
C0817,59,53500.0
C0823,59,4000.0
C0398,60,50000.0
C0403,60,23200.0
C0408,60,6400.0
C0414,60,1600.0
C0824,60,62500.0
C0829,60,20000.0
C0835,60,2000.0
C0399,61,50000.0
C0404,61,23200.0
C0409,61,6400.0
C0415,61,1600.0
C0825,61,62500.0
C0830,61,20000.0
C0836,61,2000.0
C0400,62,50000.0
C0405,62,23200.0
C0410,62,6400.0
C0416,62,1600.0
C0826,62,62500.0
C0831,62,20000.0
C0837,62,2000.0
C0401,63,50000.0
C0406,63,23200.0
C0411,63,6400.0
C0417,63,1600.0
C0827,63,62500.0
C0832,63,20000.0
C0838,63,2000.0
C0402,64,50000.0
C0407,64,23200.0
C0412,64,6400.0
C0418,64,1600.0
C0828,64,62500.0
C0833,64,20000.0
C0839,64,2000.0
C0413,65,6400.0
C0419,65,1600.0
C0834,65,20000.0
C0840,65,2000.0
C0420,66,15200.0
C0425,66,7200.0
C0431,66,2800.0
C0437,66,1600.0
C0841,66,19000.0
C0846,66,5000.0
C0421,67,15200.0
C0426,67,7200.0
C0432,67,2800.0
C0438,67,1600.0
C0842,67,19000.0
C0847,67,5000.0
C0422,68,15200.0
C0427,68,7200.0
C0433,68,2800.0
C0439,68,1600.0
C0843,68,19000.0
C0848,68,5000.0
C0423,69,15200.0
C0428,69,7200.0
C0434,69,2800.0
C0440,69,1600.0
C0844,69,19000.0
C0849,69,5000.0
C0424,70,15200.0
C0429,70,7200.0
C0435,70,2800.0
C0441,70,1600.0
C0845,70,19000.0
C0850,70,5000.0
C0430,71,7200.0
C0436,71,2800.0
C0442,71,1600.0
C0851,71,5000.0
C0443,72,26800.0
C0448,72,15600.0
C0454,72,4400.0
C0460,72,800.0
C0852,72,33500.0
C0857,72,11500.0
C0444,73,26800.0
C0449,73,15600.0
C0455,73,4400.0
C0461,73,800.0
C0853,73,33500.0
C0858,73,11500.0
C0445,74,26800.0
C0450,74,15600.0
C0456,74,4400.0
C0462,74,800.0
C0854,74,33500.0
C0859,74,11500.0
C0446,75,26800.0
C0451,75,15600.0
C0457,75,4400.0
C0463,75,800.0
C0855,75,33500.0
C0860,75,11500.0
C0447,76,26800.0
C0452,76,15600.0
C0458,76,4400.0
C0464,76,800.0
C0856,76,33500.0
C0861,76,11500.0
C0453,77,15600.0
C0459,77,4400.0
C0465,77,800.0
C0862,77,11500.0
C0466,78,16000.0
C0471,78,4000.0
C0477,78,1200.0
C0863,78,20000.0
C0868,78,1500.0
C0467,79,16000.0
C0472,79,4000.0
C0478,79,1200.0
C0864,79,20000.0
C0869,79,1500.0
C0468,80,16000.0
C0473,80,4000.0
C0479,80,1200.0
C0865,80,20000.0
C0870,80,1500.0
C0469,81,16000.0
C0474,81,4000.0
C0480,81,1200.0
C0866,81,20000.0
C0871,81,1500.0
C0470,82,16000.0
C0475,82,4000.0
C0481,82,1200.0
C0867,82,20000.0
C0872,82,1500.0
C0476,83,4000.0
C0482,83,1200.0
C0873,83,1500.0
C0483,84,10800.0
C0488,84,6800.0
C0494,84,3600.0
C0500,84,2400.0
C0874,84,13500.0
C0879,84,4500.0
C0885,84,2000.0
C0484,85,10800.0
C0489,85,6800.0
C0495,85,3600.0
C0501,85,2400.0
C0875,85,13500.0
C0880,85,4500.0
C0886,85,2000.0
C0485,86,10800.0
C0490,86,6800.0
C0496,86,3600.0
C0502,86,2400.0
C0876,86,13500.0
C0881,86,4500.0
C0887,86,2000.0
C0486,87,10800.0
C0491,87,6800.0
C0497,87,3600.0
C0503,87,2400.0
C0877,87,13500.0
C0882,87,4500.0
C0888,87,2000.0
C0487,88,10800.0
C0492,88,6800.0
C0498,88,3600.0
C0504,88,2400.0
C0878,88,13500.0
C0883,88,4500.0
C0889,88,2000.0
C0493,89,6800.0
C0499,89,3600.0
C0505,89,2400.0
C0884,89,4500.0
C0890,89,2000.0
C0506,90,2400.0
C0512,90,2400.0
C0518,90,2400.0
C0891,90,3000.0
C0897,90,3000.0
C0507,91,2400.0
C0513,91,2400.0
C0519,91,2400.0
C0892,91,3000.0
C0898,91,3000.0
C0508,92,2400.0
C0514,92,2400.0
C0520,92,2400.0
C0893,92,3000.0
C0899,92,3000.0
C0509,93,2400.0
C0515,93,2400.0
C0521,93,2400.0
C0894,93,3000.0
C0900,93,3000.0
C0510,94,2400.0
C0516,94,2400.0
C0522,94,2400.0
C0895,94,3000.0
C0901,94,3000.0
