Task_ID,Mode_ID
1,C0232
1,C0233
2,C0234
2,C0235
3,C0236
3,C0237
3,C0238
3,C0239
3,C0240
4,C0241
4,C0242
4,C0243
4,C0244
4,C0245
4,C0246
5,C0247
5,C0248
5,C0249
5,C0250
5,C0251
6,C0252
6,C0253
6,C0254
6,C0255
6,C0256
6,C0257
7,C0258
7,C0259
7,C0260
7,C0261
7,C0262
8,C0263
8,C0264
8,C0265
8,C0266
8,C0267
8,C0268
9,C0269
9,C0270
9,C0271
9,C0272
9,C0273
10,C0274
10,C0275
10,C0276
10,C0277
10,C0278
10,C0279
11,C0280
11,C0281
11,C0282
11,C0283
11,C0284
12,C0285
12,C0286
12,C0287
12,C0288
12,C0289
12,C0290
13,C0291
13,C0292
13,C0293
13,C0294
13,C0295
13,C0296
14,C0297
14,C0298
14,C0299
14,C0300
14,C0301
15,C0302
15,C0303
15,C0304
15,C0305
15,C0306
15,C0307
16,C0308
16,C0309
16,C0310
16,C0311
16,C0312
17,C0313
17,C0314
17,C0315
17,C0316
17,C0317
17,C0318
18,C0319
18,C0320
18,C0321
18,C0322
18,C0323
18,C0324
19,C0325
19,C0326
19,C0327
19,C0328
19,C0329
20,C0330
20,C0331
20,C0332
20,C0333
20,C0334
20,C0335
21,C0336
21,C0337
21,C0338
21,C0339
21,C0340
21,C0341
22,C0342
22,C0343
22,C0344
22,C0345
22,C0346
23,C0347
23,C0348
23,C0349
23,C0350
23,C0351
24,C0352
24,C0353
24,C0354
24,C0355
24,C0356
24,C0357
25,C0358
25,C0359
25,C0360
25,C0361
25,C0362
25,C0363
26,C0364
26,C0365
26,C0366
26,C0367
26,C0368
26,C0369
27,C0370
27,C0371
27,C0372
27,C0373
27,C0374
27,C0375
28,C0376
28,C0377
28,C0378
28,C0379
28,C0380
29,C0381
29,C0382
29,C0383
29,C0384
29,C0385
30,C0386
30,C0387
30,C0388
30,C0389
30,C0390
30,C0391
31,C0392
31,C0393
31,C0394
31,C0395
31,C0396
31,C0397
32,C0398
32,C0399
32,C0400
32,C0401
32,C0402
33,C0403
33,C0404
33,C0405
33,C0406
33,C0407
34,C0408
34,C0409
34,C0410
34,C0411
34,C0412
34,C0413
35,C0414
35,C0415
35,C0416
35,C0417
35,C0418
35,C0419
36,C0420
36,C0421
36,C0422
36,C0423
36,C0424
37,C0425
37,C0426
37,C0427
37,C0428
37,C0429
37,C0430
38,C0431
38,C0432
38,C0433
38,C0434
38,C0435
38,C0436
39,C0437
39,C0438
39,C0439
39,C0440
39,C0441
39,C0442
40,C0443
40,C0444
40,C0445
40,C0446
40,C0447
41,C0448
41,C0449
41,C0450
41,C0451
41,C0452
41,C0453
42,C0454
42,C0455
42,C0456
42,C0457
42,C0458
42,C0459
43,C0460
43,C0461
43,C0462
43,C0463
43,C0464
43,C0465
44,C0466
44,C0467
44,C0468
44,C0469
44,C0470
45,C0471
45,C0472
45,C0473
45,C0474
45,C0475
45,C0476
46,C0477
46,C0478
46,C0479
46,C0480
46,C0481
46,C0482
47,C0483
47,C0484
47,C0485
47,C0486
47,C0487
48,C0488
48,C0489
48,C0490
48,C0491
48,C0492
48,C0493
49,C0494
49,C0495
49,C0496
49,C0497
49,C0498
49,C0499
50,C0500
50,C0501
50,C0502
50,C0503
50,C0504
50,C0505
51,C0506
51,C0507
51,C0508
51,C0509
51,C0510
51,C0511
52,C0512
52,C0513
52,C0514
52,C0515
52,C0516
52,C0517
53,C0518
53,C0519
53,C0520
53,C0521
53,C0522
53,C0523
54,C0524
54,C0525
54,C0526
54,C0527
54,C0528
55,C0529
55,C0530
55,C0531
55,C0532
55,C0533
56,C0534
56,C0535
56,C0536
56,C0537
56,C0538
57,C0539
57,C0540
57,C0541
57,C0542
57,C0543
58,C0544
58,C0545
58,C0546
58,C0547
58,C0548
58,C0549
59,C0550
59,C0551
59,C0552
59,C0553
59,C0554
59,C0555
60,C0556
60,C0557
60,C0558
60,C0559
60,C0560
61,C0561
61,C0562
61,C0563
61,C0564
61,C0565
61,C0566
62,C0567
62,C0568
62,C0569
62,C0570
62,C0571
62,C0572
63,C0573
63,C0574
63,C0575
63,C0576
63,C0577
64,C0578
64,C0579
64,C0580
64,C0581
64,C0582
64,C0583
65,C0584
65,C0585
65,C0586
65,C0587
65,C0588
65,C0589
66,C0590
66,C0591
66,C0592
66,C0593
66,C0594
67,C0595
67,C0596
67,C0597
67,C0598
67,C0599
67,C0600
68,C0601
68,C0602
68,C0603
68,C0604
68,C0605
68,C0606
69,C0607
69,C0608
69,C0609
69,C0610
69,C0611
70,C0612
70,C0613
70,C0614
70,C0615
70,C0616
70,C0617
71,C0618
71,C0619
71,C0620
71,C0621
71,C0622
72,C0623
72,C0624
72,C0625
72,C0626
72,C0627
72,C0628
73,C0629
73,C0630
73,C0631
73,C0632
73,C0633
74,C0634
74,C0635
74,C0636
74,C0637
74,C0638
74,C0639
75,C0640
75,C0641
75,C0642
75,C0643
75,C0644
75,C0645
76,C0646
76,C0647
76,C0648
76,C0649
76,C0650
76,C0651
77,C0652
77,C0653
77,C0654
77,C0655
77,C0656
78,C0657
78,C0658
78,C0659
78,C0660
78,C0661
78,C0662
79,C0663
79,C0664
79,C0665
79,C0666
79,C0667
79,C0668
80,C0669
80,C0670
80,C0671
80,C0672
80,C0673
81,C0674
81,C0675
81,C0676
81,C0677
81,C0678
81,C0679
82,C0680
82,C0681
82,C0682
82,C0683
82,C0684
82,C0685
83,C0686
83,C0687
83,C0688
83,C0689
83,C0690
83,C0691
84,C0692
84,C0693
84,C0694
84,C0695
84,C0696
84,C0697
85,C0698
85,C0699
86,C0700
86,C0701
87,C0702
87,C0703
87,C0704
87,C0705
87,C0706
88,C0707
88,C0708
88,C0709
88,C0710
88,C0711
88,C0712
89,C0713
89,C0714
89,C0715
89,C0716
89,C0717
90,C0718
90,C0719
90,C0720
90,C0721
90,C0722
90,C0723
91,C0724
91,C0725
91,C0726
91,C0727
91,C0728
92,C0729
92,C0730
