ShiftID,Emp1,Emp2,Emp3,Emp4,Emp5,Emp6,Emp7,Emp8,Emp9,Emp10,Emp11,Emp12,Emp13,Emp14,Emp15,Emp16,Emp17,Emp18,Emp19,Emp20,Emp21,Emp22,Emp23,Emp24,Emp25,Emp26,Emp27,Emp28,Emp29,Emp30,Emp31,Emp32,Emp33,Emp34,Emp35
1,6.0,3.0,1.0,8.0,50.0,30.0,68.0,50.0,84.0,70.0,27.0,24.0,30.0,50.0,36.0,42.0,26.0,28.0,17.0,29.0,25.0,24.0,11.0,16.0,26.0,11.0,30.0,10.0,14.0,6.0,8.0,19.0,18.0,47.0,52.0
2,6.0,3.0,1.0,8.0,50.0,30.0,68.0,50.0,84.0,70.0,27.0,24.0,30.0,50.0,36.0,42.0,26.0,28.0,17.0,29.0,25.0,24.0,11.0,16.0,26.0,11.0,30.0,10.0,14.0,6.0,8.0,19.0,18.0,47.0,52.0
3,6.0,3.0,1.0,8.0,50.0,30.0,68.0,50.0,84.0,70.0,27.0,24.0,30.0,50.0,36.0,42.0,26.0,28.0,17.0,29.0,25.0,24.0,11.0,16.0,26.0,11.0,30.0,10.0,14.0,6.0,8.0,19.0,18.0,47.0,52.0
4,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
5,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
6,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
7,73.0,73.0,67.0,64.0,52.0,66.0,75.0,81.0,100.0,90.0,41.0,47.0,48.0,22.0,32.0,106.0,85.0,93.0,83.0,97.0,94.0,94.0,81.0,82.0,93.0,81.0,89.0,79.0,74.0,75.0,69.0,65.0,56.0,89.0,65.0
8,73.0,73.0,67.0,64.0,52.0,66.0,75.0,81.0,100.0,90.0,41.0,47.0,48.0,22.0,32.0,106.0,85.0,93.0,83.0,97.0,94.0,94.0,81.0,82.0,93.0,81.0,89.0,79.0,74.0,75.0,69.0,65.0,56.0,89.0,65.0
9,73.0,73.0,67.0,64.0,52.0,66.0,75.0,81.0,100.0,90.0,41.0,47.0,48.0,22.0,32.0,106.0,85.0,93.0,83.0,97.0,94.0,94.0,81.0,82.0,93.0,81.0,89.0,79.0,74.0,75.0,69.0,65.0,56.0,89.0,65.0
10,25.0,19.0,23.0,24.0,55.0,38.0,69.0,50.0,86.0,69.0,46.0,38.0,48.0,71.0,55.0,46.0,38.0,26.0,21.0,20.0,20.0,11.0,13.0,5.0,3.0,9.0,15.0,11.0,14.0,15.0,20.0,26.0,30.0,67.0,73.0
11,25.0,19.0,23.0,24.0,55.0,38.0,69.0,50.0,86.0,69.0,46.0,38.0,48.0,71.0,55.0,46.0,38.0,26.0,21.0,20.0,20.0,11.0,13.0,5.0,3.0,9.0,15.0,11.0,14.0,15.0,20.0,26.0,30.0,67.0,73.0
12,25.0,19.0,23.0,24.0,55.0,38.0,69.0,50.0,86.0,69.0,46.0,38.0,48.0,71.0,55.0,46.0,38.0,26.0,21.0,20.0,20.0,11.0,13.0,5.0,3.0,9.0,15.0,11.0,14.0,15.0,20.0,26.0,30.0,67.0,73.0
13,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
14,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
15,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
16,22.0,26.0,30.0,36.0,67.0,79.0,77.0,76.0,97.0,110.0,55.0,52.0,49.0,74.0,62.0,17.0,16.0,1.0,10.0,12.0,8.0,19.0,21.0,28.0,27.0,24.0,35.0,28.0,36.0,29.0,34.0,46.0,44.0,36.0,57.0
17,22.0,26.0,30.0,36.0,67.0,79.0,77.0,76.0,97.0,110.0,55.0,52.0,49.0,74.0,62.0,17.0,16.0,1.0,10.0,12.0,8.0,19.0,21.0,28.0,27.0,24.0,35.0,28.0,36.0,29.0,34.0,46.0,44.0,36.0,57.0
18,22.0,26.0,30.0,36.0,67.0,79.0,77.0,76.0,97.0,110.0,55.0,52.0,49.0,74.0,62.0,17.0,16.0,1.0,10.0,12.0,8.0,19.0,21.0,28.0,27.0,24.0,35.0,28.0,36.0,29.0,34.0,46.0,44.0,36.0,57.0
19,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
20,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
21,12.0,8.0,2.0,1.0,50.0,23.0,63.0,42.0,78.0,62.0,22.0,14.0,24.0,46.0,30.0,50.0,30.0,34.0,27.0,34.0,31.0,33.0,17.0,19.0,31.0,19.0,28.0,15.0,18.0,11.0,6.0,13.0,12.0,61.0,51.0
22,57.0,65.0,65.0,71.0,88.0,92.0,105.0,109.0,135.0,117.0,72.0,76.0,58.0,88.0,75.0,41.0,44.0,53.0,57.0,63.0,58.0,71.0,65.0,72.0,77.0,68.0,83.0,71.0,78.0,68.0,71.0,80.0,77.0,20.0,30.0
23,57.0,65.0,65.0,71.0,88.0,92.0,105.0,109.0,135.0,117.0,72.0,76.0,58.0,88.0,75.0,41.0,44.0,53.0,57.0,63.0,58.0,71.0,65.0,72.0,77.0,68.0,83.0,71.0,78.0,68.0,71.0,80.0,77.0,20.0,30.0
24,57.0,65.0,65.0,71.0,88.0,92.0,105.0,109.0,135.0,117.0,72.0,76.0,58.0,88.0,75.0,41.0,44.0,53.0,57.0,63.0,58.0,71.0,65.0,72.0,77.0,68.0,83.0,71.0,78.0,68.0,71.0,80.0,77.0,20.0,30.0
