Customer_ID,Feature_ID
1,A09
1,A16
1,A18
1,A21
1,A23
1,A25
2,A10
2,A11
2,A16
2,A18
2,A19
2,A21
2,A25
3,A02
3,A09
3,A25
4,A02
4,A13
4,A18
4,A24
4,A25
5,A02
5,A03
5,A13
5,A19
5,A21
5,A22
5,A24
5,A25
6,A10
6,A19
6,A21
6,A22
6,A23
6,A25
7,A02
7,A22
7,A25
8,A09
8,A19
8,A21
8,A24
8,A25
9,A19
9,A21
9,A25
10,A08
10,A25
11,A02
11,A08
11,A13
11,A19
11,A25
12,A02
12,A11
12,A13
12,A15
12,A18
12,A21
12,A25
13,A06
13,A19
13,A25
14,A16
14,A19
14,A21
14,A24
14,A25
15,A02
15,A21
15,A25
16,A25
17,A05
17,A14
17,A15
17,A25
18,A02
18,A06
18,A07
18,A13
18,A15
18,A16
18,A18
18,A19
18,A22
18,A25
19,A11
19,A21
19,A25
20,A02
20,A14
20,A20
20,A25
21,A01
21,A02
21,A16
21,A24
21,A25
22,A21
22,A25
23,A02
23,A25
24,A13
24,A25
25,A07
25,A10
25,A13
25,A19
25,A21
25,A22
25,A24
25,A25
26,A02
26,A13
26,A20
26,A25
27,A02
27,A09
27,A19
27,A25
28,A02
28,A24
28,A25
29,A24
29,A25
30,A02
30,A23
30,A25
31,A13
31,A15
31,A21
31,A25
32,A18
32,A21
32,A25
33,A02
33,A19
33,A21
33,A25
34,A02
34,A18
34,A22
34,A25
35,A01
35,A16
35,A25
36,A18
36,A25
37,A19
37,A21
37,A23
37,A25
38,A02
38,A10
38,A21
38,A25
39,A02
39,A18
39,A19
39,A21
39,A24
39,A25
40,A14
40,A19
40,A21
40,A25
41,A02
41,A03
41,A10
41,A16
41,A19
41,A21
41,A24
41,A25
42,A16
42,A25
43,A20
43,A25
44,A11
44,A25
45,A08
45,A15
45,A25
46,A05
46,A25
47,A06
47,A20
47,A25
48,A01
48,A02
48,A04
48,A15
48,A25
49,A02
49,A18
49,A19
49,A25
50,A13
50,A24
50,A25
51,A03
51,A19
51,A21
51,A25
52,A01
52,A11
52,A16
52,A18
52,A19
52,A21
52,A25
53,A02
53,A14
53,A24
53,A25
54,A09
54,A15
54,A19
54,A25
55,A01
55,A04
55,A15
55,A16
55,A17
55,A21
55,A25
56,A06
56,A16
56,A25
57,A02
57,A08
57,A19
57,A21
57,A22
57,A24
57,A25
58,A21
58,A23
58,A25
59,A02
59,A15
59,A25
60,A06
60,A07
60,A09
60,A10
60,A19
60,A21
60,A23
60,A25
61,A02
61,A16
61,A21
61,A25
62,A14
62,A15
62,A21
62,A25
63,A02
63,A15
63,A21
63,A25
64,A03
64,A16
64,A21
64,A25
65,A01
65,A02
65,A13
65,A16
65,A18
65,A25
66,A11
66,A15
66,A19
66,A25
67,A14
67,A15
67,A25
68,A01
68,A02
68,A16
68,A19
68,A25
69,A01
69,A21
69,A25
70,A13
70,A15
70,A19
70,A25
71,A15
71,A17
71,A19
71,A25
72,A02
72,A16
72,A18
72,A19
72,A25
73,A02
73,A07
73,A11
73,A25
74,A06
74,A09
74,A15
74,A16
74,A21
74,A25
75,A19
75,A25
76,A15
76,A25
77,A01
77,A06
77,A09
77,A13
77,A19
77,A21
77,A25
78,A02
78,A16
78,A25
79,A02
79,A06
79,A11
79,A16
79,A25
80,A06
80,A10
80,A16
80,A21
80,A24
80,A25
81,A09
81,A15
81,A16
81,A19
81,A25
82,A02
82,A13
82,A14
82,A25
83,A01
83,A02
83,A11
83,A16
83,A24
83,A25
84,A02
84,A08
84,A25
85,A02
85,A14
85,A25
86,A14
86,A19
86,A25
87,A02
87,A09
87,A16
87,A19
87,A24
87,A25
88,A02
88,A04
88,A25
89,A13
89,A18
89,A25
90,A02
90,A11
90,A19
90,A25
91,A15
91,A17
91,A25
92,A06
92,A25
93,A16
93,A21
93,A25
94,A06
94,A13
94,A19
94,A23
94,A24
94,A25
95,A22
95,A24
95,A25
96,A13
96,A19
96,A25
97,A03
97,A09
97,A19
97,A21
97,A25
98,A09
98,A21
98,A22
98,A25
99,A02
99,A11
99,A19
99,A21
99,A25
100,A14
100,A25
101,A06
101,A13
101,A21
101,A25
102,A02
102,A15
102,A24
102,A25
103,A22
103,A25
104,A10
104,A11
104,A21
104,A25
105,A15
105,A19
105,A21
105,A25
106,A02
106,A19
106,A25
107,A01
107,A06
107,A08
107,A09
107,A17
107,A25
108,A02
108,A10
108,A13
108,A14
108,A16
108,A19
108,A21
108,A22
108,A24
108,A25
109,A02
109,A21
109,A24
109,A25
110,A02
110,A11
110,A19
110,A24
110,A25
111,A06
111,A19
111,A21
111,A25
112,A01
112,A16
112,A19
112,A25
113,A04
113,A16
113,A17
113,A19
113,A21
113,A24
113,A25
114,A02
114,A04
114,A24
114,A25
115,A06
115,A10
115,A13
115,A21
115,A25
116,A11
116,A19
116,A25
117,A12
117,A24
117,A25
118,A02
118,A06
118,A09
118,A15
118,A21
118,A24
118,A25
119,A07
119,A21
119,A25
120,A02
120,A06
120,A20
120,A25
121,A01
121,A12
121,A14
121,A16
121,A25
122,A13
122,A19
122,A24
122,A25
123,A02
123,A16
123,A19
123,A24
123,A25
124,A02
124,A11
124,A18
124,A19
124,A24
124,A25
125,A11
125,A13
125,A16
125,A19
125,A21
125,A25
126,A02
126,A08
126,A14
126,A19
126,A21
126,A25
127,A15
127,A19
127,A25
128,A02
128,A16
128,A19
128,A25
129,A18
129,A19
129,A21
129,A25
130,A18
130,A24
130,A25
131,A01
131,A02
131,A07
131,A13
131,A16
131,A25
132,A02
132,A06
132,A25
133,A07
133,A15
133,A21
133,A25
134,A02
134,A10
134,A15
134,A19
134,A25
135,A02
135,A13
135,A25
136,A16
136,A19
136,A21
136,A25
137,A09
137,A11
137,A13
137,A19
137,A25
138,A07
138,A19
138,A25
139,A02
139,A13
139,A19
139,A21
139,A25
140,A02
140,A16
140,A18
140,A19
140,A24
140,A25
141,A10
141,A25
142,A02
142,A05
142,A08
142,A09
142,A14
142,A19
142,A21
142,A24
142,A25
143,A10
143,A18
143,A19
143,A24
143,A25
144,A02
144,A10
144,A13
144,A19
144,A21
144,A24
144,A25
145,A02
145,A03
145,A09
145,A16
145,A19
145,A21
145,A22
145,A25
146,A09
146,A15
146,A25
147,A02
147,A17
147,A21
147,A25
148,A02
148,A05
148,A06
148,A11
148,A13
148,A14
148,A15
148,A16
148,A18
148,A19
148,A21
148,A24
148,A25
149,A08
149,A09
149,A19
149,A25
150,A11
150,A13
150,A19
150,A21
150,A25
151,A02
151,A09
151,A10
151,A12
151,A21
151,A22
151,A25
152,A02
152,A05
152,A06
152,A13
152,A19
152,A21
152,A24
152,A25
153,A16
153,A18
153,A21
153,A25
154,A13
154,A15
154,A19
154,A21
154,A25
155,A16
155,A24
155,A25
156,A09
156,A21
156,A25
157,A02
157,A11
157,A21
157,A25
158,A02
158,A11
158,A15
158,A21
158,A25
159,A09
159,A19
159,A25
160,A15
160,A16
160,A19
160,A21
160,A25
161,A18
161,A19
161,A21
161,A24
161,A25
162,A13
162,A21
162,A25
163,A20
163,A21
163,A23
163,A25
164,A02
164,A11
164,A16
164,A24
164,A25
165,A02
165,A14
165,A19
165,A21
165,A25
166,A13
166,A14
166,A25
167,A09
167,A21
167,A23
167,A24
167,A25
168,A10
168,A15
168,A19
168,A21
168,A25
