machine,stage,fixed_cost,unit_cost,max_qty
1,1,0.75,2.0833001,9.6000004
2,1,0.75,2.0833001,9.6000004
3,1,0.75,2.0833001,9.6000004
4,1,0.75,2.0833001,9.6000004
5,1,0.75,2.0833001,7.6799998
1,2,0.6667,2.9762001,6.7199998
2,2,0.6667,2.9762001,6.7199998
3,2,0.6667,2.9762001,6.7199998
4,2,0.6667,2.9762001,6.7199998
5,2,0.6667,2.9762001,5.3759999
1,3,0.75,3.4721999,5.7600002
2,3,0.75,3.4721999,5.7600002
3,3,0.75,3.4721999,5.7600002
4,3,0.75,3.4721999,5.7600002
5,3,0.75,3.4721999,4.6079998
1,4,0.75,2.2400999,8.9280005
2,4,0.75,2.2400999,8.9280005
3,4,0.75,2.2400999,8.9280005
4,4,0.75,2.2400999,8.9280005
5,4,0.75,2.2400999,7.1423998
1,5,0.75,2.0833001,9.6000004
2,5,0.75,2.0833001,9.6000004
3,5,0.75,2.0833001,9.6000004
4,5,0.75,2.0833001,9.6000004
5,5,0.75,2.0833001,7.6799998
