pairing_id,cost
x1,2164.0
x2,2046.0
x3,2568.0
x4,2604.0
x5,3126.0
x6,3024.0
x7,3578.0
x8,3212.0
x9,3834.0
x10,3534.0
x11,3734.0
x12,4170.0
x13,4100.0
x14,4604.0
x15,2578.0
x16,3208.0
x17,2914.0
x18,2938.0
x19,3550.0
x20,3692.0
x21,3474.0
x22,3558.0
x23,4170.0
x24,3984.0
x25,4006.0
x26,4192.0
x27,2006.0
x28,1580.0
x29,2478.0
x30,2628.0
x31,2202.0
x32,3098.0
x33,2798.0
x34,2642.0
x35,1128.0
x36,1116.0
x37,1178.0
x38,1126.0
x39,1170.0
x40,1110.0
x41,1756.0
x42,1902.0
x43,1800.0
x44,1336.0
x45,1352.0
x46,1352.0
x47,1296.0
x48,1314.0
x49,1314.0
x50,1360.0
x51,1344.0
x52,1336.0
x53,1168.0
x54,1224.0
x55,1344.0
x56,1350.0
x57,1334.0
x58,1274.0
x59,2100.0
x60,1804.0
x61,1814.0
x62,1298.0
x63,1316.0
x64,1316.0
x65,1306.0
x66,1290.0
x67,1308.0
x68,1320.0
x69,1344.0
x70,1328.0
x71,1150.0
x72,1188.0
x73,1206.0
x74,1186.0
x75,1246.0
x76,1210.0
x77,1648.0
x78,1960.0
x79,1636.0
x80,3420.0
x81,3264.0
x82,2892.0
x83,2468.0
x84,3364.0
x85,3530.0
x86,3104.0
x87,4000.0
x88,1102.0
x89,1290.0
x90,1374.0
x91,1096.0
x92,1164.0
x93,1120.0
x94,2060.0
x95,2342.0
x96,1842.0
x97,1346.0
x98,1322.0
x99,1346.0
x100,1306.0
x101,1284.0
x102,1306.0
x103,1354.0
x104,1330.0
x105,1332.0
x106,1450.0
x107,1784.0
x108,1308.0
x109,1568.0
x110,1790.0
x111,1314.0
x112,2540.0
x113,1808.0
x114,2064.0
x115,1310.0
x116,1286.0
x117,1310.0
x118,1300.0
x119,1276.0
x120,1300.0
x121,1338.0
x122,1314.0
x123,1314.0
x124,1628.0
x125,1266.0
x126,1138.0
x127,1174.0
x128,1650.0
x129,1400.0
x130,1642.0
x131,2400.0
x132,1898.0
x133,3684.0
x134,3528.0
x135,1836.0
x136,1752.0
x137,1378.0
x138,1414.0
x139,1370.0
