id,npv
1,390.0
2,-230.0
3,-29.0
4,-253.0
5,-16.0
6,-332.0
7,377.0
8,-284.0
9,265.0
10,-330.0
11,-97.0
12,281.0
13,-123.0
14,47.0
15,-339.0
16,-187.0
17,395.0
18,-289.0
19,50.0
20,-151.0
21,263.0
22,457.0
23,-170.0
24,-52.0
25,452.0
26,453.0
27,150.0
28,-103.0
29,371.0
30,-40.0
31,-140.0
32,381.0
33,-197.0
34,113.0
35,316.0
36,147.0
37,-239.0
38,-1.0
39,-7.0
40,-162.0
41,97.0
42,240.0
43,398.0
44,-171.0
45,-295.0
46,154.0
47,14.0
48,379.0
49,453.0
50,-269.0
51,248.0
52,326.0
53,-264.0
54,66.0
55,-152.0
56,-336.0
57,-42.0
58,173.0
59,280.0
60,155.0
61,-61.0
62,295.0
63,92.0
64,474.0
65,368.0
66,58.0
67,-167.0
68,217.0
69,-193.0
70,104.0
71,400.0
72,-58.0
73,-184.0
74,-169.0
75,379.0
76,-139.0
77,406.0
78,-138.0
79,390.0
80,159.0
81,-52.0
82,477.0
83,231.0
84,-232.0
85,152.0
86,263.0
87,-4.0
88,418.0
89,296.0
90,241.0
91,-55.0
92,-206.0
93,313.0
94,276.0
95,197.0
96,-35.0
97,294.0
98,473.0
99,-5.0
100,-177.0
101,-284.0
102,114.0
103,343.0
104,121.0
105,163.0
106,-112.0
107,-335.0
108,210.0
109,-222.0
110,228.0
111,361.0
112,218.0
113,-300.0
114,55.0
115,431.0
116,-48.0
117,83.0
118,-266.0
119,468.0
120,440.0
121,107.0
122,206.0
123,58.0
124,-57.0
125,27.0
126,-249.0
127,363.0
128,-327.0
129,-207.0
130,291.0
131,7.0
132,372.0
133,-30.0
134,-167.0
135,200.0
136,-261.0
137,288.0
138,266.0
139,183.0
140,30.0
141,-312.0
142,386.0
143,125.0
144,-23.0
145,10.0
146,-230.0
147,-119.0
148,-148.0
149,98.0
150,190.0
151,56.0
152,346.0
153,-188.0
154,33.0
155,-32.0
156,459.0
157,-353.0
158,-73.0
159,16.0
160,48.0
161,-142.0
162,275.0
163,218.0
164,-140.0
165,-114.0
166,-297.0
167,198.0
168,-147.0
169,-28.0
170,339.0
171,-46.0
172,-251.0
173,417.0
174,245.0
175,-315.0
176,-7.0
177,12.0
178,345.0
179,-135.0
180,-289.0
181,456.0
182,378.0
183,-37.0
184,354.0
185,270.0
186,195.0
187,367.0
188,80.0
189,-287.0
190,-124.0
191,-354.0
192,138.0
193,441.0
194,20.0
195,117.0
196,283.0
197,356.0
198,465.0
199,387.0
200,128.0
201,194.0
202,-280.0
203,172.0
204,-218.0
205,-237.0
206,-245.0
207,-282.0
208,-241.0
209,-147.0
210,69.0
211,358.0
212,-129.0
213,166.0
214,-285.0
215,27.0
216,41.0
217,340.0
218,114.0
219,-0.0
220,-49.0
221,-123.0
222,99.0
223,352.0
224,69.0
225,-52.0
226,-143.0
227,-109.0
228,-23.0
229,336.0
230,391.0
231,-161.0
232,57.0
233,317.0
234,313.0
235,371.0
236,383.0
237,-88.0
238,140.0
239,-101.0
240,-173.0
241,64.0
242,310.0
243,-10.0
244,-307.0
245,356.0
246,4.0
247,-107.0
248,33.0
249,308.0
250,55.0
251,-317.0
252,-56.0
253,7.0
254,-89.0
255,203.0
256,-180.0
257,-65.0
258,20.0
259,410.0
260,348.0
261,62.0
262,-164.0
263,80.0
264,252.0
265,-260.0
266,298.0
267,37.0
268,-171.0
269,393.0
270,-97.0
271,57.0
272,-298.0
273,309.0
274,-288.0
275,-296.0
276,-200.0
277,89.0
278,199.0
279,414.0
280,453.0
281,298.0
282,-32.0
283,-27.0
284,328.0
285,455.0
286,124.0
287,397.0
288,175.0
289,349.0
290,50.0
291,-179.0
292,226.0
293,-222.0
294,-71.0
295,264.0
296,351.0
297,-60.0
298,7.0
299,184.0
300,65.0
301,461.0
302,58.0
303,362.0
304,291.0
305,-289.0
306,56.0
307,-315.0
308,206.0
309,130.0
310,-68.0
311,-91.0
312,424.0
313,-257.0
314,14.0
315,229.0
316,254.0
317,-149.0
318,142.0
319,331.0
320,333.0
321,-207.0
322,-94.0
323,-262.0
324,348.0
325,245.0
326,132.0
327,-199.0
328,-59.0
329,263.0
330,-165.0
331,330.0
332,66.0
333,477.0
334,-204.0
335,251.0
336,-240.0
337,-116.0
338,156.0
339,366.0
340,-222.0
341,-205.0
342,-345.0
343,423.0
344,-238.0
345,461.0
346,-23.0
347,91.0
348,320.0
349,-142.0
350,166.0
351,-166.0
352,-73.0
353,215.0
354,-272.0
355,-293.0
356,287.0
357,-237.0
358,-321.0
359,189.0
360,171.0
361,-286.0
362,-357.0
363,-273.0
364,266.0
365,-49.0
366,335.0
367,476.0
368,49.0
369,-60.0
370,-31.0
371,-288.0
372,-141.0
373,-308.0
374,-152.0
375,-353.0
376,-236.0
377,-246.0
378,131.0
379,-158.0
380,25.0
381,-211.0
382,413.0
383,249.0
384,201.0
385,104.0
386,258.0
387,-138.0
388,286.0
389,-22.0
390,234.0
391,412.0
392,276.0
393,-134.0
394,-19.0
395,60.0
396,281.0
397,-79.0
398,-54.0
399,-190.0
400,-42.0
401,159.0
402,472.0
403,245.0
404,419.0
405,-18.0
406,45.0
407,-49.0
408,-152.0
409,-43.0
410,-291.0
411,303.0
412,-238.0
413,-129.0
414,205.0
415,-239.0
416,161.0
417,-141.0
418,-328.0
419,69.0
420,2.0
421,351.0
422,382.0
423,-186.0
424,-229.0
425,-250.0
426,40.0
427,-72.0
428,-214.0
429,32.0
430,323.0
431,-34.0
432,403.0
433,197.0
434,381.0
435,180.0
436,-109.0
437,-122.0
438,277.0
439,-44.0
440,58.0
441,-335.0
442,212.0
443,374.0
444,168.0
445,308.0
446,444.0
447,-287.0
448,-8.0
449,-151.0
450,424.0
451,398.0
452,-45.0
453,-5.0
454,-238.0
455,210.0
456,-287.0
457,443.0
458,-231.0
459,-9.0
460,285.0
461,-155.0
462,135.0
463,433.0
464,419.0
465,96.0
466,184.0
467,-255.0
468,472.0
469,-25.0
470,410.0
471,-266.0
472,64.0
473,397.0
474,-208.0
475,-207.0
476,-199.0
477,230.0
478,2.0
479,-249.0
480,-275.0
481,279.0
482,-195.0
483,-46.0
484,172.0
485,-87.0
486,-257.0
487,-119.0
488,349.0
489,-71.0
490,-169.0
491,341.0
492,251.0
493,-208.0
494,415.0
495,-335.0
496,335.0
497,-335.0
498,-109.0
499,300.0
500,-112.0
501,-321.0
502,329.0
503,-267.0
504,-269.0
505,-56.0
506,296.0
507,342.0
508,235.0
509,-45.0
510,310.0
511,-159.0
512,-19.0
513,410.0
514,-153.0
515,-282.0
516,-288.0
517,-321.0
518,-48.0
519,136.0
520,310.0
521,23.0
522,180.0
523,-221.0
524,-339.0
525,221.0
526,-290.0
527,180.0
528,110.0
529,306.0
530,407.0
531,1.0
532,-148.0
533,-166.0
534,-43.0
535,436.0
536,-306.0
537,-111.0
538,463.0
539,-44.0
540,-80.0
541,-29.0
542,-141.0
543,445.0
544,-225.0
545,-351.0
546,-218.0
547,-48.0
548,126.0
549,-340.0
550,174.0
551,-269.0
552,197.0
553,302.0
554,59.0
555,461.0
556,187.0
557,374.0
558,-295.0
559,196.0
560,-176.0
561,100.0
562,-206.0
563,-190.0
564,272.0
565,308.0
566,361.0
567,424.0
568,-109.0
569,66.0
570,266.0
571,372.0
572,-216.0
573,-0.0
574,456.0
575,-325.0
576,-11.0
577,-292.0
578,-175.0
579,163.0
580,289.0
581,177.0
582,-134.0
583,-80.0
584,-1.0
585,449.0
586,360.0
587,437.0
588,465.0
589,117.0
590,-236.0
591,362.0
592,-194.0
593,-229.0
594,459.0
595,133.0
596,14.0
597,-318.0
598,260.0
599,400.0
600,-120.0
601,-123.0
602,390.0
603,-187.0
604,108.0
605,29.0
606,346.0
607,415.0
608,-176.0
609,201.0
610,225.0
611,-238.0
612,11.0
613,-295.0
614,79.0
615,155.0
616,-345.0
617,351.0
618,-221.0
619,-44.0
620,232.0
621,320.0
622,285.0
623,266.0
624,-100.0
625,-106.0
626,-161.0
627,197.0
628,113.0
629,29.0
630,-227.0
631,50.0
632,341.0
633,355.0
634,-267.0
635,56.0
636,-183.0
637,295.0
638,339.0
639,-42.0
640,280.0
641,370.0
642,-173.0
643,-198.0
644,326.0
645,254.0
646,280.0
647,400.0
648,207.0
649,204.0
650,-207.0
651,-242.0
652,423.0
653,66.0
654,-103.0
655,-161.0
656,-172.0
657,-148.0
658,-180.0
659,-172.0
660,-166.0
661,118.0
662,328.0
663,-105.0
664,5.0
665,-146.0
666,296.0
667,55.0
668,245.0
669,-235.0
670,-290.0
671,-96.0
672,401.0
673,-320.0
674,-8.0
675,237.0
676,-89.0
677,221.0
678,-287.0
679,138.0
680,4.0
681,-116.0
682,4.0
683,-308.0
684,405.0
685,72.0
686,-127.0
687,242.0
688,-209.0
689,140.0
690,-33.0
691,-93.0
692,-242.0
693,379.0
694,394.0
695,-15.0
696,244.0
697,-311.0
698,-6.0
699,79.0
700,110.0
701,69.0
702,306.0
703,-83.0
704,228.0
705,-216.0
706,220.0
707,376.0
708,40.0
709,-239.0
710,-139.0
711,8.0
712,260.0
713,-109.0
714,23.0
715,53.0
716,249.0
717,97.0
718,241.0
719,12.0
720,248.0
721,-175.0
722,370.0
723,-79.0
724,293.0
725,-264.0
726,-257.0
727,75.0
728,300.0
729,328.0
730,94.0
731,181.0
732,-289.0
733,417.0
734,187.0
735,205.0
736,363.0
737,221.0
738,-267.0
739,-300.0
740,202.0
741,-197.0
742,-250.0
743,314.0
744,-317.0
745,246.0
746,341.0
747,-72.0
748,360.0
749,-253.0
750,123.0
751,220.0
752,306.0
753,-176.0
754,324.0
755,188.0
756,234.0
757,-258.0
758,99.0
759,353.0
760,-69.0
761,228.0
762,-306.0
763,48.0
764,-253.0
765,-224.0
766,-92.0
767,399.0
768,-275.0
769,9.0
770,197.0
771,385.0
772,83.0
773,-271.0
774,328.0
775,-244.0
776,-309.0
777,144.0
778,330.0
779,120.0
780,294.0
781,-62.0
782,312.0
783,-262.0
784,292.0
785,129.0
786,429.0
787,326.0
788,119.0
789,321.0
790,-214.0
791,146.0
792,-190.0
793,-53.0
794,225.0
795,336.0
796,-73.0
797,216.0
798,118.0
799,417.0
800,174.0
801,348.0
802,272.0
803,-67.0
804,-78.0
805,-295.0
806,-254.0
807,-91.0
808,-286.0
809,-148.0
810,-210.0
811,-303.0
812,259.0
813,-12.0
814,401.0
815,-275.0
816,-275.0
817,249.0
818,249.0
819,221.0
820,239.0
821,-213.0
822,301.0
823,23.0
824,88.0
825,-33.0
826,262.0
827,162.0
828,415.0
829,108.0
830,157.0
831,27.0
832,273.0
833,5.0
834,303.0
835,243.0
836,-98.0
837,363.0
838,-164.0
839,-153.0
840,61.0
841,-303.0
842,-164.0
843,28.0
844,249.0
845,-63.0
846,-185.0
847,-69.0
848,240.0
849,202.0
850,328.0
851,-272.0
852,306.0
853,250.0
854,-88.0
855,182.0
856,-167.0
857,-97.0
858,278.0
859,79.0
860,206.0
861,290.0
862,19.0
863,333.0
864,-151.0
865,-225.0
866,-304.0
867,64.0
868,388.0
869,-228.0
870,361.0
871,278.0
872,-21.0
873,-38.0
874,-218.0
875,-17.0
876,284.0
877,386.0
878,390.0
879,214.0
880,76.0
881,-253.0
882,82.0
883,-113.0
884,274.0
885,9.0
886,105.0
887,264.0
888,-211.0
889,-140.0
890,241.0
891,237.0
892,-234.0
893,-168.0
894,-202.0
895,223.0
896,79.0
897,216.0
898,-192.0
899,-130.0
900,136.0
901,-239.0
902,-207.0
903,164.0
904,-5.0
905,429.0
906,-190.0
907,408.0
908,183.0
909,230.0
910,-40.0
911,267.0
912,-199.0
913,367.0
914,-260.0
915,-72.0
916,-208.0
917,124.0
918,-177.0
919,21.0
920,114.0
921,-288.0
922,-58.0
923,387.0
924,-160.0
925,-100.0
926,251.0
927,-191.0
928,-294.0
929,194.0
930,-177.0
931,-250.0
932,-8.0
933,400.0
934,-140.0
935,309.0
936,-295.0
937,-228.0
938,-184.0
939,-41.0
940,384.0
941,58.0
942,-85.0
943,-215.0
944,-41.0
945,108.0
946,-91.0
947,296.0
948,427.0
949,260.0
950,-80.0
951,-190.0
952,387.0
953,-270.0
954,180.0
955,65.0
956,208.0
957,177.0
958,378.0
959,99.0
960,372.0
961,52.0
962,167.0
963,388.0
964,-184.0
965,363.0
966,146.0
967,238.0
968,288.0
969,-9.0
970,431.0
971,34.0
972,-20.0
973,-78.0
974,-102.0
975,-142.0
976,415.0
977,415.0
978,215.0
979,-97.0
980,-124.0
981,127.0
982,8.0
983,266.0
984,93.0
985,68.0
986,-289.0
987,78.0
988,343.0
989,19.0
990,391.0
991,371.0
992,126.0
993,-262.0
994,-130.0
995,-212.0
996,257.0
997,214.0
998,108.0
999,218.0
1000,-130.0
1001,-316.0
1002,341.0
1003,350.0
1004,115.0
1005,174.0
1006,-127.0
1007,15.0
1008,249.0
1009,342.0
1010,44.0
1011,-210.0
1012,6.0
1013,389.0
1014,237.0
1015,-30.0
1016,-140.0
1017,-75.0
1018,-99.0
1019,-27.0
1020,355.0
1021,139.0
1022,154.0
1023,-297.0
1024,-0.0
1025,48.0
1026,364.0
1027,-296.0
1028,334.0
1029,45.0
1030,-54.0
1031,153.0
1032,279.0
1033,104.0
1034,333.0
1035,196.0
1036,-262.0
1037,-302.0
1038,-205.0
1039,332.0
1040,33.0
1041,67.0
1042,-107.0
1043,326.0
1044,213.0
1045,-191.0
1046,115.0
1047,-245.0
1048,-125.0
1049,130.0
1050,-223.0
1051,-115.0
1052,300.0
1053,-77.0
1054,373.0
1055,429.0
1056,197.0
1057,-57.0
1058,-185.0
1059,-214.0
1060,360.0
1061,391.0
1062,224.0
1063,304.0
1064,-320.0
1065,-55.0
1066,14.0
1067,-5.0
1068,116.0
1069,52.0
1070,172.0
1071,-55.0
1072,257.0
1073,-151.0
