project_id,required_project_id
1734,2023
1734,2022
1734,2007
1734,2006
1734,1751
1733,2022
1733,2021
1733,2023
1733,2005
1733,1750
1732,2021
1732,2020
1732,2022
1732,2004
1732,1749
1731,2020
1731,2019
1731,2021
1731,2003
1731,1748
1730,2019
1730,2018
1730,2020
1730,2002
1730,1747
1729,2018
1729,2017
1729,2019
1729,2001
1729,1746
1728,2017
1728,2016
1728,2018
1728,2000
1728,1745
1727,2016
1727,2015
1727,2017
1727,1999
1727,1744
1726,2015
1726,2014
1726,2016
1726,1998
1726,1743
1725,2014
1725,2013
1725,2015
1725,1997
1725,1742
1724,2013
1724,2012
1724,2014
1724,1996
1724,1741
1723,2012
1723,2011
1723,2013
1723,1995
1723,1740
1722,2011
1722,2010
1722,2012
1722,1994
1722,1739
1721,2010
1721,2009
1721,2011
1721,1993
1721,1738
1720,2009
1720,2008
1720,2010
1720,1992
1720,1737
1719,2008
1719,2007
1719,2009
1719,1991
1719,1736
1718,2007
1718,2023
1718,2008
1718,1990
1718,1735
1717,2006
1717,2005
1717,1990
1717,1989
1717,2023
1716,2005
1716,2004
1716,2006
1716,1988
1716,2022
1715,2004
1715,2003
1715,2005
1715,1987
1715,2021
1714,2003
1714,2002
1714,2004
1714,1986
1714,2020
1713,2002
1713,2001
1713,2003
1713,1985
1713,2019
1712,2001
1712,2000
1712,2002
1712,1984
1712,2018
1711,2000
1711,1999
1711,2001
1711,1983
1711,2017
1710,1999
1710,1998
1710,2000
1710,1982
1710,2016
1709,1998
1709,1997
1709,1999
1709,1981
1709,2015
1708,1997
1708,1996
1708,1998
1708,1980
1708,2014
1707,1996
1707,1995
1707,1997
1707,1979
1707,2013
1706,1995
1706,1994
1706,1996
1706,1978
1706,2012
1705,1994
1705,1993
1705,1995
1705,1977
1705,2011
1704,1993
1704,1992
1704,1994
1704,1976
1704,2010
1703,1992
1703,1991
1703,1993
1703,1975
1703,2009
1702,1991
1702,1990
1702,1992
1702,1974
1702,2008
1701,1990
1701,2006
1701,1991
1701,1973
1701,2007
1700,1989
1700,1988
1700,1973
1700,1972
1700,2006
1699,1988
1699,1987
1699,1989
1699,1971
1699,2005
1698,1987
1698,1986
1698,1988
1698,1970
1698,2004
1697,1986
1697,1985
1697,1987
1697,1969
1697,2003
1696,1985
1696,1984
1696,1986
1696,1968
1696,2002
1695,1984
1695,1983
1695,1985
1695,1967
1695,2001
1694,1983
1694,1982
1694,1984
1694,1966
1694,2000
1693,1982
1693,1981
1693,1983
1693,1965
1693,1999
1692,1981
1692,1980
1692,1982
1692,1964
1692,1998
1691,1980
1691,1979
1691,1981
1691,1963
