project_id,res_id,cost
1,1,1835.0
10,1,2159.0
100,1,3183.0
1000,1,485.0
1001,1,2016.0
1002,1,2562.0
1003,1,1073.0
1004,1,3718.0
1005,1,2752.0
1006,1,3400.0
1007,1,3709.0
1008,1,1509.0
1009,1,1084.0
101,1,1711.0
1010,1,100.0
1011,1,1185.0
1012,1,1872.0
1013,1,420.0
1014,1,3719.0
1015,1,1742.0
1016,1,415.0
1017,1,729.0
1018,1,259.0
1019,1,2866.0
102,1,1587.0
1020,1,984.0
1021,1,1055.0
1022,1,1985.0
1023,1,690.0
1024,1,639.0
1025,1,3747.0
1026,1,3713.0
1027,1,3804.0
1028,1,3298.0
1029,1,1696.0
103,1,2016.0
1030,1,797.0
1031,1,1967.0
1032,1,1081.0
1033,1,3616.0
1034,1,808.0
1035,1,3913.0
1036,1,3923.0
1037,1,1831.0
1038,1,1121.0
1039,1,3717.0
104,1,1383.0
1040,1,2468.0
1041,1,2304.0
1042,1,3757.0
1043,1,2881.0
1044,1,1723.0
1045,1,3184.0
1046,1,1404.0
1047,1,3753.0
1048,1,2196.0
1049,1,1841.0
105,1,3449.0
1050,1,2824.0
1051,1,3240.0
1052,1,988.0
1053,1,272.0
1054,1,647.0
1055,1,3555.0
1056,1,1702.0
1057,1,1253.0
1058,1,3003.0
1059,1,2991.0
106,1,2058.0
1060,1,2640.0
1061,1,2875.0
1062,1,2311.0
1063,1,3694.0
1064,1,2620.0
1065,1,1454.0
1066,1,2739.0
1067,1,808.0
1068,1,4015.0
1069,1,598.0
107,1,435.0
1070,1,126.0
1071,1,3946.0
1072,1,860.0
1073,1,1881.0
1074,1,2533.0
1075,1,2842.0
1076,1,3930.0
1077,1,1363.0
1078,1,3018.0
1079,1,3288.0
108,1,3147.0
1080,1,13.0
1081,1,1928.0
1082,1,3206.0
1083,1,1990.0
1084,1,2053.0
1085,1,3841.0
1086,1,402.0
1087,1,440.0
1088,1,1803.0
1089,1,1299.0
109,1,1108.0
1090,1,1596.0
1091,1,1048.0
1092,1,2073.0
1093,1,693.0
1094,1,2051.0
1095,1,353.0
1096,1,1778.0
1097,1,283.0
1098,1,733.0
1099,1,1179.0
11,1,2747.0
110,1,2393.0
1100,1,3870.0
1101,1,2739.0
1102,1,3022.0
1103,1,3837.0
1104,1,2028.0
1105,1,1489.0
1106,1,3274.0
1107,1,2240.0
1108,1,3755.0
1109,1,705.0
111,1,3825.0
1110,1,1949.0
1111,1,1729.0
1112,1,1741.0
1113,1,2661.0
1114,1,3755.0
1115,1,3192.0
1116,1,1982.0
1117,1,3513.0
1118,1,695.0
1119,1,2959.0
112,1,1963.0
1120,1,351.0
1121,1,3618.0
1122,1,1054.0
1123,1,1197.0
1124,1,2575.0
1125,1,2502.0
1126,1,73.0
1127,1,2196.0
1128,1,4066.0
1129,1,2100.0
113,1,2513.0
1130,1,1014.0
1131,1,900.0
1132,1,3555.0
1133,1,4047.0
1134,1,847.0
1135,1,2190.0
1136,1,4022.0
1137,1,3367.0
1138,1,25.0
1139,1,185.0
114,1,1238.0
1140,1,355.0
1141,1,3997.0
1142,1,2609.0
1143,1,3818.0
1144,1,732.0
1145,1,1397.0
1146,1,642.0
1147,1,125.0
1148,1,2244.0
1149,1,2447.0
115,1,2153.0
1150,1,798.0
1151,1,670.0
1152,1,1167.0
1153,1,1341.0
1154,1,3479.0
1155,1,1266.0
1156,1,2396.0
1157,1,3006.0
1158,1,759.0
1159,1,2097.0
116,1,3944.0
1160,1,1551.0
1161,1,3610.0
1162,1,2609.0
1163,1,2253.0
1164,1,2646.0
1165,1,3358.0
1166,1,2481.0
1167,1,1068.0
1168,1,2557.0
1169,1,2585.0
117,1,3293.0
1170,1,3072.0
1171,1,2723.0
1172,1,2064.0
1173,1,1387.0
1174,1,2590.0
1175,1,2740.0
1176,1,4053.0
1177,1,3813.0
1178,1,629.0
1179,1,647.0
118,1,1108.0
1180,1,2673.0
1181,1,2497.0
1182,1,637.0
1183,1,2273.0
1184,1,3879.0
1185,1,3306.0
1186,1,2909.0
1187,1,1203.0
1188,1,3725.0
1189,1,1439.0
119,1,1817.0
1190,1,1824.0
1191,1,1274.0
1192,1,3755.0
1194,1,3492.0
1195,1,1180.0
1196,1,1399.0
1197,1,2221.0
1198,1,1318.0
1199,1,3245.0
12,1,2686.0
120,1,1348.0
1200,1,33.0
1201,1,3378.0
1202,1,2261.0
1203,1,3071.0
1204,1,3551.0
1205,1,1512.0
1206,1,2782.0
1207,1,282.0
1208,1,599.0
1209,1,890.0
121,1,2668.0
1210,1,3890.0
1211,1,1964.0
1212,1,1351.0
1213,1,2433.0
1214,1,589.0
1215,1,915.0
1216,1,2002.0
1217,1,1326.0
1218,1,2772.0
1219,1,1983.0
122,1,1782.0
1220,1,528.0
1221,1,229.0
1222,1,4046.0
1223,1,2760.0
1224,1,1075.0
1225,1,327.0
1226,1,93.0
1227,1,166.0
1228,1,2681.0
1229,1,910.0
123,1,3608.0
1230,1,738.0
1231,1,1797.0
1232,1,4047.0
1233,1,346.0
1234,1,2247.0
1235,1,2690.0
1236,1,2746.0
1237,1,1480.0
1238,1,3324.0
1239,1,1041.0
124,1,1599.0
1240,1,935.0
1241,1,121.0
1242,1,341.0
1243,1,294.0
1244,1,875.0
1245,1,76.0
1246,1,2116.0
1247,1,1210.0
1248,1,1438.0
1249,1,832.0
125,1,2800.0
1250,1,3228.0
1251,1,1567.0
1252,1,3351.0
1253,1,2539.0
1254,1,3026.0
1255,1,2570.0
1256,1,1568.0
1257,1,3647.0
1258,1,2317.0
1259,1,1778.0
126,1,1176.0
1260,1,2863.0
1261,1,1488.0
1262,1,1474.0
1263,1,3875.0
1264,1,1122.0
1265,1,377.0
1266,1,3314.0
1267,1,3629.0
1268,1,2969.0
1269,1,2573.0
127,1,768.0
1270,1,402.0
1271,1,3221.0
1272,1,3492.0
1273,1,2274.0
1274,1,1135.0
1275,1,1635.0
1276,1,2942.0
1277,1,2402.0
1278,1,1436.0
1279,1,3887.0
128,1,1727.0
1280,1,3350.0
1281,1,1385.0
1282,1,2417.0
1283,1,2668.0
1284,1,3826.0
1285,1,1495.0
1286,1,846.0
1287,1,3877.0
1288,1,292.0
1289,1,1274.0
129,1,3093.0
1290,1,2146.0
1291,1,1580.0
1292,1,1180.0
1293,1,1992.0
1294,1,3983.0
1295,1,2837.0
1296,1,2788.0
1297,1,3732.0
1298,1,3746.0
1299,1,3146.0
13,1,2930.0
130,1,1931.0
1300,1,3010.0
1301,1,1431.0
1302,1,3464.0
1303,1,3235.0
1304,1,2554.0
1305,1,3810.0
1306,1,3461.0
1307,1,3804.0
1308,1,1036.0
1309,1,1458.0
131,1,331.0
1310,1,1642.0
1311,1,1513.0
1312,1,2820.0
1313,1,3531.0
1314,1,1941.0
1315,1,2569.0
1316,1,2226.0
1317,1,1070.0
1318,1,1814.0
1319,1,1742.0
132,1,2842.0
1320,1,733.0
1321,1,1861.0
1322,1,2386.0
1323,1,1465.0
1324,1,624.0
1325,1,959.0
1326,1,2074.0
1327,1,3012.0
1328,1,3945.0
1329,1,2405.0
133,1,2767.0
1330,1,3250.0
1331,1,2958.0
1332,1,823.0
1333,1,3348.0
1334,1,75.0
1335,1,1276.0
1336,1,167.0
1337,1,3919.0
1338,1,2378.0
1339,1,1564.0
134,1,2528.0
1340,1,2390.0
1341,1,675.0
1342,1,2184.0
1343,1,2571.0
1344,1,3068.0
1345,1,439.0
1346,1,3625.0
1347,1,2327.0
1348,1,1365.0
1349,1,506.0
135,1,1251.0
1350,1,3196.0
1351,1,3607.0
1352,1,843.0
1353,1,3492.0
1354,1,3686.0
1355,1,264.0
1356,1,1081.0
1357,1,424.0
1358,1,34.0
1359,1,2917.0
136,1,1749.0
1360,1,1616.0
1361,1,2207.0
1362,1,106.0
1363,1,3762.0
1364,1,354.0
1365,1,3421.0
1366,1,2938.0
1367,1,764.0
1368,1,2503.0
1369,1,2712.0
137,1,3516.0
1370,1,510.0
1371,1,618.0
1372,1,2947.0
1373,1,1418.0
1374,1,1817.0
1375,1,1556.0
1376,1,103.0
1377,1,3064.0
1378,1,3.0
1379,1,112.0
138,1,1903.0
1380,1,2960.0
1381,1,2334.0
1382,1,540.0
1383,1,1004.0
1384,1,3098.0
1385,1,3993.0
1386,1,2576.0
1387,1,3228.0
1388,1,1623.0
1389,1,3275.0
139,1,1847.0
1390,1,666.0
1391,1,190.0
1392,1,3467.0
1393,1,755.0
1394,1,432.0
1395,1,1283.0
1396,1,831.0
1397,1,1067.0
1398,1,2509.0
1399,1,476.0
14,1,3606.0
140,1,2411.0
1400,1,2138.0
1401,1,2483.0
1402,1,2648.0
1403,1,2345.0
1404,1,3231.0
1405,1,70.0
1406,1,1425.0
1407,1,599.0
1408,1,1064.0
1409,1,2604.0
141,1,2782.0
1410,1,781.0
1411,1,3712.0
1412,1,607.0
1413,1,2150.0
1414,1,229.0
1415,1,3542.0
1416,1,2362.0
1417,1,1249.0
1418,1,2586.0
1419,1,1501.0
142,1,2124.0
1420,1,2544.0
1421,1,2705.0
1422,1,1110.0
1423,1,2577.0
1424,1,796.0
1425,1,747.0
1426,1,725.0
1427,1,3637.0
1428,1,1830.0
1429,1,2403.0
143,1,1108.0
1430,1,648.0
1431,1,1708.0
1432,1,2771.0
1433,1,2555.0
1434,1,2667.0
1435,1,3139.0
1436,1,1532.0
1437,1,257.0
1438,1,2223.0
1439,1,3672.0
144,1,3283.0
1440,1,3715.0
1441,1,3614.0
1442,1,3394.0
1443,1,201.0
1444,1,58.0
1445,1,3678.0
1446,1,1659.0
1447,1,2432.0
1448,1,343.0
1449,1,1507.0
145,1,1535.0
1450,1,3053.0
1451,1,3546.0
1452,1,2519.0
1453,1,3575.0
1454,1,1900.0
1455,1,278.0
1456,1,509.0
1457,1,78.0
1458,1,3394.0
1459,1,2986.0
146,1,3759.0
1460,1,1018.0
1461,1,790.0
1462,1,2846.0
1463,1,2542.0
1464,1,1329.0
1465,1,1148.0
1466,1,1179.0
1467,1,870.0
1468,1,3284.0
1469,1,2759.0
147,1,3127.0
1470,1,3353.0
1471,1,1599.0
1472,1,1690.0
1473,1,2737.0
1474,1,100.0
1475,1,3243.0
1476,1,3830.0
1477,1,3548.0
1478,1,1678.0
1479,1,3333.0
148,1,2224.0
1480,1,1003.0
1481,1,1756.0
1482,1,3755.0
1483,1,2552.0
1484,1,2193.0
1485,1,1574.0
1486,1,327.0
1487,1,3588.0
1488,1,889.0
1489,1,82.0
149,1,443.0
1490,1,162.0
1491,1,3149.0
1492,1,590.0
1493,1,1833.0
1494,1,1967.0
1495,1,757.0
1496,1,3455.0
1497,1,214.0
1498,1,1227.0
1499,1,1809.0
15,1,3369.0
150,1,407.0
1500,1,3385.0
1501,1,2666.0
1502,1,132.0
1503,1,2897.0
1504,1,3881.0
1505,1,3521.0
1506,1,3833.0
1507,1,3022.0
1508,1,2501.0
1509,1,1503.0
151,1,3146.0
1510,1,3869.0
1511,1,199.0
1512,1,26.0
1513,1,3153.0
1514,1,2132.0
1515,1,3476.0
1516,1,73.0
1517,1,878.0
1518,1,1576.0
1519,1,1535.0
152,1,2269.0
1520,1,822.0
1521,1,1095.0
